Name,Location,ID,GRID_ID,fuzz,Manual_GRID,,,,,,
University of Guanajuato,Mexico,university-guanajuato,grid.412891.7,103,grid.412891.7,,,,,,
Kazan National Research Technological University,Russian Federation,kazan-national-research-technological-university,grid.77914.3c,103,grid.77914.3c,,,,,,
Manipal Academy of Higher Education,India,manipal-academy-higher-education,grid.411639.8,103,grid.411639.8,,,,,,
MichoacÃ¡n University of San NicolÃ¡s of Hidalgo,Mexico,michoacan-university-san-nicolas-hidalgo,grid.412205.0,103,grid.412205.0,,,,,,
National University of the South,Argentina,national-university-south,grid.412236.0,103,grid.412236.0,,,,,,
PSG College of Technology,India,psg-college-technology,grid.465015.3,103,grid.465015.3,,,,,,
University of Sonora,Mexico,university-sonora,grid.11893.32,103,grid.11893.32,,,,,,
SRM Institute of Science and Technology,India,srm-institute-science-and-technology,grid.412427.6,103,grid.412742.6,,,,,,
Western ParanÃ¡ State University,Brazil,western-parana-state-university,grid.441662.3,103,grid.441662.3,,,,,,
St Petersburg Electrotechnical University (LETI),Russian Federation,st-petersburg-electrotechnical-university-leti,grid.9905.5,103,grid.9905.5,,,,,,
University of Veracruz,Mexico,universidad-veracruzana,grid.42707.36,103,grid.42707.36,,,,,,
University of Victoria (UVIC),Canada,university-victoria-uvic,grid.143640.4,103,grid.143640.4,,,,,,
Kazakh National Research Technical University after K.I. Satbayev,Kazakhstan,kazakh-national-research-technical-university-after-ki-satbayev,grid.440916.e,103,grid.440916.e,,,,,,
Central Queensland University (CQUniversity Australia),Australia,central-queensland-university-cquniversity-australia,grid.1023.0,103,grid.1023.0,,,,,,
Tallinn University of Technology (TalTech),Estonia,tallinn-university-technology-taltech,grid.6988.f,103,grid.6988.f,,,,,,
Kazakh National Agrarian University KazNAU,Kazakhstan,kazakh-national-agrarian-university-kaznau,grid.171588.2,103,grid.171588.2,,,,,,
Anna University,India,anna-university,grid.252262.3,103,grid.252262.3,,,,,,
Thapar Institute of Engineering & Technology,India,thapar-institute-engineering-technology,grid.412436.6,103,grid.412436.6,,,,,,
University of Wisconsin,United States,university-of-wisconsin,-1,102,grid.14003.36,,,,,,
Georgia Health Sciences University,United States,georgia-health-sciences-university,-1,102,grid.410427.4,,,,,,
"Rutgers, The State University of New Jersey",unitedstates,Rutgers-The-State-University-of-New-Jersey,-1,86,grid.430387.b,,,,,,
Texas A&M; University - College Station,unitedstates,Texas-AM-University---College-Station,-1,86,grid.264756.4,,,,,,
Mayo Medical School,unitedstates,Mayo-Medical-School,-1,86,grid.66875.3a,,,,,,
Swiss Federal Institute of Technology of Lausanne,switzerland,Swiss-Federal-Institute-of-Technology-of-Lausanne,-1,86,grid.5333.6,,,,,,
University of Paris Diderot (Paris 7),france,University-of-Paris-Diderot-(Paris-7),-1,86,grid.7452.4,,,,,,
University of Roma - La Sapienza,italy,University-of-Roma---La-Sapienza,-1,86,grid.7841.a,,,,,,
