rank,Name,Location,Overall,Teaching,Rechearch,Citations,Industry_Income,Internationals_Outlook,n_students,student_staff_ratio,n_international_students,m_v_ratio,href,Times_Higher_Education_World_University_ID,item,GRID_ID,fuzz
1,California Institute of Technology,United States,94.3,92.2,98.1,99.7,89.1,67.0,94.3,92.2,98.1,99.7,/world-university-rankings/california-institute-technology,california-institute-technology,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
2,Harvard University,United States,93.3,92.9,98.6,98.9,44.0,67.6,93.3,92.9,98.6,98.9,/world-university-rankings/harvard-university,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
3,University of Oxford,United Kingdom,93.2,88.6,97.7,95.5,72.9,90.7,93.2,88.6,97.7,95.5,/world-university-rankings/university-oxford,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
4,Stanford University,United States,92.9,91.5,96.7,99.1,63.1,69.0,92.9,91.5,96.7,99.1,/world-university-rankings/stanford-university,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
5,University of Cambridge,United Kingdom,92.0,89.7,95.6,95.2,51.1,87.8,92.0,89.7,95.6,95.2,/world-university-rankings/university-cambridge,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
6,Massachusetts Institute of Technology,United States,91.9,89.1,88.2,100.0,95.7,84.3,91.9,89.1,88.2,100.0,/world-university-rankings/massachusetts-institute-technology,massachusetts-institute-technology,http://www.wikidata.org/entity/Q49108,grid.116068.8,
7,Princeton University,United States,90.9,86.6,94.7,99.6,82.7,61.2,90.9,86.6,94.7,99.6,/world-university-rankings/princeton-university,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
8,"University of California, Berkeley",United States,89.5,84.2,96.7,99.1,44.8,58.5,89.5,84.2,96.7,99.1,/world-university-rankings/university-california-berkeley,university-california-berkeley,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
9,Imperial College London,United Kingdom,87.5,84.6,88.3,89.4,72.7,92.7,87.5,84.6,88.3,89.4,/world-university-rankings/imperial-college-london,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
9,Yale University,United States,87.5,88.5,90.8,94.0,42.0,59.8,87.5,88.5,90.8,94.0,/world-university-rankings/yale-university,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,University of Chicago,United States,87.1,83.9,89.9,97.3,36.8,65.2,87.1,83.9,89.9,97.3,/world-university-rankings/university-chicago,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
12,"University of California, Los Angeles",United States,85.5,82.4,90.5,95.3,-,49.2,85.5,82.4,90.5,95.3,/world-university-rankings/university-california-los-angeles,university-california-los-angeles,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
13,ETH Zurich,Switzerland,84.6,78.2,90.2,83.5,73.2,96.6,84.6,78.2,90.2,83.5,/world-university-rankings/eth-zurich,eth-zurich,,grid.5801.c,103.0
14,Columbia University,United States,84.4,83.9,79.4,95.3,-,68.3,84.4,83.9,79.4,95.3,/world-university-rankings/columbia-university,columbia-university,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
15,Johns Hopkins University,United States,83.0,75.6,84.2,93.6,100.0,59.7,83.0,75.6,84.2,93.6,/world-university-rankings/johns-hopkins-university,johns-hopkins-university,http://www.wikidata.org/entity/Q193727,grid.21107.35,
16,University of Pennsylvania,United States,81.0,79.0,82.0,94.4,43.0,43.8,81.0,79.0,82.0,94.4,/world-university-rankings/university-pennsylvania,university-pennsylvania,http://www.wikidata.org/entity/Q49117,grid.25879.31,
17,University of Michigan,United States,80.9,77.0,86.5,88.9,55.7,49.8,80.9,77.0,86.5,88.9,/world-university-rankings/university-michigan,university-michigan,http://www.wikidata.org/entity/Q230492,grid.214458.e,
