rank,Name,Location,Overall,Teaching,Rechearch,Citations,Industry_Income,Internationals_Outlook,n_students,student_staff_ratio,n_international_students,m_v_ratio,href,Times_Higher_Education_World_University_ID,item,GRID_ID,fuzz
1,California Institute of Technology,United States,95.5,96.3,99.4,99.7,95.6,59.8,95.5,96.3,99.4,99.7,/world-university-rankings/california-institute-technology,california-institute-technology,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
2,Stanford University,United States,93.7,95.0,98.8,99.3,62.4,56.6,93.7,95.0,98.8,99.3,/world-university-rankings/stanford-university,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,University of Oxford,United Kingdom,93.7,89.7,98.1,95.6,79.8,88.7,93.7,89.7,98.1,95.6,/world-university-rankings/university-oxford,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
4,Harvard University,United States,93.6,94.9,98.6,99.2,39.9,63.7,93.6,94.9,98.6,99.2,/world-university-rankings/harvard-university,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
5,Massachusetts Institute of Technology,United States,93.1,92.9,89.2,99.9,92.9,81.6,93.1,92.9,89.2,99.9,/world-university-rankings/massachusetts-institute-technology,massachusetts-institute-technology,http://www.wikidata.org/entity/Q49108,grid.116068.8,
6,Princeton University,United States,92.7,89.5,99.4,99.8,79.5,54.5,92.7,89.5,99.4,99.8,/world-university-rankings/princeton-university,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
7,University of Cambridge,United Kingdom,92.6,91.2,95.6,96.2,59.1,83.6,92.6,91.2,95.6,96.2,/world-university-rankings/university-cambridge,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
8,Imperial College London,United Kingdom,90.6,88.0,90.9,93.0,87.5,91.4,90.6,88.0,90.9,93.0,/world-university-rankings/imperial-college-london,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
9,"University of California, Berkeley",United States,90.5,85.1,99.3,99.3,65.4,49.7,90.5,85.1,99.3,99.3,/world-university-rankings/university-california-berkeley,university-california-berkeley,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
10,University of Chicago,United States,90.4,89.6,92.9,98.7,-,55.3,90.4,89.6,92.9,98.7,/world-university-rankings/university-chicago,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
11,Yale University,United States,89.2,93.2,92.5,94.8,38.2,54.7,89.2,93.2,92.5,94.8,/world-university-rankings/yale-university,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
12,ETH Zurich,Switzerland,87.8,82.5,92.7,86.6,-,95.7,87.8,82.5,92.7,86.6,/world-university-rankings/eth-zurich,eth-zurich,,grid.5801.c,103.0
13,"University of California, Los Angeles",United States,87.7,87.3,93.8,95.9,-,42.3,87.7,87.3,93.8,95.9,/world-university-rankings/university-california-los-angeles,university-california-los-angeles,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
14,Columbia University,United States,87.0,89.7,82.0,96.1,-,66.1,87.0,89.7,82.0,96.1,/world-university-rankings/columbia-university,columbia-university,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
15,University of Pennsylvania,United States,86.6,90.0,89.4,96.2,43.7,38.1,86.6,90.0,89.4,96.2,/world-university-rankings/university-pennsylvania,university-pennsylvania,http://www.wikidata.org/entity/Q49117,grid.25879.31,
16,Johns Hopkins University,United States,85.6,81.8,85.5,95.3,100.0,57.3,85.6,81.8,85.5,95.3,/world-university-rankings/johns-hopkins-university,johns-hopkins-university,http://www.wikidata.org/entity/Q193727,grid.21107.35,
17,UCL,United Kingdom,85.5,83.5,88.8,86.8,45.1,89.0,85.5,83.5,88.8,86.8,/world-university-rankings/ucl,ucl,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
18,Cornell University,United States,83.3,77.0,92.1,91.8,39.5,53.8,83.3,77.0,92.1,91.8,/world-university-rankings/cornell-university,cornell-university,http://www.wikidata.org/entity/Q49115,grid.5386.8,
19,Northwestern University,United States,83.1,77.6,87.3,98.2,64.4,33.8,83.1,77.6,87.3,98.2,/world-university-rankings/northwestern-university,northwestern-university,http://www.wikidata.org/entity/Q309350,grid.16753.36,
20,University of Michigan,United States,82.6,76.1,91.4,91.6,53.9,47.6,82.6,76.1,91.4,91.6,/world-university-rankings/university-michigan,university-michigan,http://www.wikidata.org/entity/Q230492,grid.214458.e,
21,University of Toronto,Canada,82.2,79.6,89.4,85.1,42.9,65.1,82.2,79.6,89.4,85.1,/world-university-rankings/university-toronto,university-toronto,http://www.wikidata.org/entity/Q180865,grid.17063.33,
22,Carnegie Mellon University,United States,81.5,71.8,87.0,95.5,55.9,51.4,81.5,71.8,87.0,95.5,/world-university-rankings/carnegie-mellon-university,carnegie-mellon-university,http://www.wikidata.org/entity/Q190080,grid.147455.6,
23,Duke University,United States,81.2,72.3,81.5,97.0,100.0,45.8,81.2,72.3,81.5,97.0,/world-university-rankings/duke-university,duke-university,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
24,University of Washington,United States,79.9,74.7,81.3,97.0,41.3,39.1,79.9,74.7,81.3,97.0,/world-university-rankings/university-washington,university-washington,http://www.wikidata.org/entity/Q219563,grid.34477.33,
25,Georgia Institute of Technology,United States,78.8,70.2,79.5,90.3,74.9,66.3,78.8,70.2,79.5,90.3,/world-university-rankings/georgia-institute-technology,georgia-institute-technology,http://www.wikidata.org/entity/Q864855,grid.213917.f,
25,University of Texas at Austin,United States,78.8,75.5,80.7,91.0,57.9,42.1,78.8,75.5,80.7,91.0,/world-university-rankings/university-texas-austin,university-texas-austin,http://www.wikidata.org/entity/Q49213,grid.89336.37,
27,The University of Tokyo,Japan,78.3,87.9,89.9,71.3,59.0,27.6,78.3,87.9,89.9,71.3,/world-university-rankings/university-tokyo,university-tokyo,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
28,University of Melbourne,Australia,77.9,68.4,82.5,83.7,67.6,77.2,77.9,68.4,82.5,83.7,/world-university-rankings/university-melbourne,university-melbourne,http://www.wikidata.org/entity/Q319078,grid.1008.9,
29,National University of Singapore,Singapore,77.5,74.4,87.2,67.2,77.4,92.3,77.5,74.4,87.2,67.2,/world-university-rankings/national-university-singapore,national-university-singapore,http://www.wikidata.org/entity/Q738236,grid.4280.e,
30,University of British Columbia,Canada,77.3,69.1,80.4,84.0,42.4,82.1,77.3,69.1,80.4,84.0,/world-university-rankings/university-british-columbia,university-british-columbia,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
31,University of Wisconsin-Madison,United States,76.9,76.1,80.1,88.2,54.8,29.8,76.9,76.1,80.1,88.2,/world-university-rankings/university-wisconsin-madison,university-wisconsin-madison,http://www.wikidata.org/entity/Q838330,grid.14003.36,
32,University of Edinburgh,United Kingdom,76.1,68.4,71.3,90.8,43.8,78.9,76.1,68.4,71.3,90.8,/world-university-rankings/university-edinburgh,university-edinburgh,http://www.wikidata.org/entity/Q160302,grid.4305.2,
33,University of Illinois at Urbana-Champaign,United States,75.8,74.2,84.9,80.8,-,36.0,75.8,74.2,84.9,80.8,/world-university-rankings/university-illinois-urbana-champaign,university-illinois-urbana-champaign,http://www.wikidata.org/entity/Q457281,grid.35403.31,
34,McGill University,Canada,75.7,74.4,80.4,75.2,40.3,75.9,75.7,74.4,80.4,75.2,/world-university-rankings/mcgill-university,mcgill-university,http://www.wikidata.org/entity/Q201492,grid.14709.3b,
35,"University of California, Santa Barbara",United States,75.6,56.1,73.5,99.4,100.0,58.3,75.6,56.1,73.5,99.4,/world-university-rankings/university-california-santa-barbara,university-california-santa-barbara,http://www.wikidata.org/entity/Q263064,grid.133342.4,
35,University of Hong Kong,Hong Kong,75.6,78.4,85.9,62.1,62.5,81.7,75.6,78.4,85.9,62.1,/world-university-rankings/university-hong-kong,university-hong-kong,http://www.wikidata.org/entity/Q15568,grid.194645.b,
37,Australian National University,Australia,75.4,68.6,83.5,73.5,39.6,90.0,75.4,68.6,83.5,73.5,/world-university-rankings/australian-national-university,australian-national-university,http://www.wikidata.org/entity/Q127990,grid.1001.0,
38,"University of California, San Diego",United States,75.2,63.4,79.0,96.2,43.9,34.2,75.2,63.4,79.0,96.2,/world-university-rankings/university-california-san-diego,university-california-san-diego,http://www.wikidata.org/entity/Q622664,grid.266100.3,
39,London School of Economics and Political Science,United Kingdom,73.1,70.8,80.8,66.5,42.9,87.2,73.1,70.8,80.8,66.5,/world-university-rankings/london-school-economics-and-political-science,london-school-economics-and-political-science,http://www.wikidata.org/entity/Q174570,grid.13063.37,
