rank,Name,Location,Overall,Teaching,Rechearch,Citations,Industry_Income,Internationals_Outlook,n_students,student_staff_ratio,n_international_students,m_v_ratio,href,Times_Higher_Education_World_University_ID,item,GRID_ID,fuzz
1,Harvard University,United States,96.1,99.7,98.7,98.8,34.5,72.4,96.1,99.7,98.7,98.8,/world-university-rankings/harvard-university,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
2,California Institute of Technology,United States,96.0,97.7,98.0,99.9,83.7,54.6,96.0,97.7,98.0,99.9,/world-university-rankings/california-institute-technology,california-institute-technology,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
3,Massachusetts Institute of Technology,United States,95.6,97.8,91.4,99.9,87.5,82.3,95.6,97.8,91.4,99.9,/world-university-rankings/massachusetts-institute-technology,massachusetts-institute-technology,http://www.wikidata.org/entity/Q49108,grid.116068.8,
4,Stanford University,United States,94.3,98.3,98.1,99.2,64.3,29.5,94.3,98.3,98.1,99.2,/world-university-rankings/stanford-university,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
5,Princeton University,United States,94.2,90.9,95.4,99.9,-,70.3,94.2,90.9,95.4,99.9,/world-university-rankings/princeton-university,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
6,University of Cambridge,United Kingdom,91.2,90.5,94.1,94.0,57.0,77.7,91.2,90.5,94.1,94.0,/world-university-rankings/university-cambridge,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
6,University of Oxford,United Kingdom,91.2,88.2,93.9,95.1,73.5,77.2,91.2,88.2,93.9,95.1,/world-university-rankings/university-oxford,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
8,"University of California, Berkeley",United States,91.1,84.2,99.3,97.8,-,39.6,91.1,84.2,99.3,97.8,/world-university-rankings/university-california-berkeley,university-california-berkeley,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
9,Imperial College London,United Kingdom,90.6,89.2,94.5,88.3,92.9,90.0,90.6,89.2,94.5,88.3,/world-university-rankings/imperial-college-london,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
10,Yale University,United States,89.5,92.1,89.7,91.5,-,59.2,89.5,92.1,89.7,91.5,/world-university-rankings/yale-university,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
