rank,Name,Location,Overall,Teaching,Rechearch,Citations,Industry_Income,Internationals_Outlook,n_students,student_staff_ratio,n_international_students,m_v_ratio,href,Times_Higher_Education_World_University_ID,item,GRID_ID,fuzz
31,Peking University,China,79.3,88.8,80.4,76.7,48.3,57.5,"42,547",8.9,17%,48 : 52,/world-university-rankings/peking-university,peking-university,http://www.wikidata.org/entity/Q16952,grid.11135.37,
=32,LMU Munich,Germany,78.3,69.9,76.1,90.2,100.0,65.6,"35,389",36.0,16%,61 : 39,/world-university-rankings/lmu-munich,lmu-munich,http://www.wikidata.org/entity/Q55044,grid.5252.0,
=32,University of Melbourne,Australia,78.3,68.0,73.4,90.3,74.0,93.1,"45,030",26.6,42%,56 : 44,/world-university-rankings/university-melbourne,university-melbourne,http://www.wikidata.org/entity/Q319078,grid.1008.9,
34,Georgia Institute of Technology,United States,77.5,62.5,76.1,95.1,62.2,77.1,"21,903",21.5,27%,32 : 68,/world-university-rankings/georgia-institute-technology,georgia-institute-technology,http://www.wikidata.org/entity/Q864855,grid.213917.f,
35,École Polytechnique Fédérale de Lausanne,Switzerland,76.9,66.5,66.5,92.8,69.1,98.7,"10,343",11.4,57%,28 : 72,/world-university-rankings/ecole-polytechnique-federale-de-lausanne,ecole-polytechnique-federale-de-lausanne,http://www.wikidata.org/entity/Q262760,grid.5333.6,
36,University of Hong Kong,Hong Kong,76.3,72.6,78.4,73.7,56.5,99.7,"18,122",18.1,43%,54 : 46,/world-university-rankings/university-hong-kong,university-hong-kong,http://www.wikidata.org/entity/Q15568,grid.194645.b,
37,University of British Columbia,Canada,76.0,60.8,72.6,92.8,42.9,93.9,"53,566",18.6,30%,54 : 46,/world-university-rankings/university-british-columbia,university-british-columbia,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
38,King’s College London,United Kingdom,75.8,61.1,68.7,95.2,45.9,95.3,"24,293",12.1,42%,62 : 38,/world-university-rankings/kings-college-london,kings-college-london,http://www.wikidata.org/entity/Q245247,grid.13097.3c,
39,University of Texas at Austin,United States,75.4,68.8,74.2,94.8,48.7,38.0,"48,561",17.1,10%,51 : 49,/world-university-rankings/university-texas-austin,university-texas-austin,http://www.wikidata.org/entity/Q49213,grid.89336.37,
40,Karolinska Institute,Sweden,74.9,56.1,72.1,96.2,68.6,77.5,"7,898",9.2,19%,68 : 32,/world-university-rankings/karolinska-institute,karolinska-institute,http://www.wikidata.org/entity/Q219564,grid.4714.6,
41,Hong Kong University of Science and Technology,Hong Kong,74.5,56.8,67.6,93.9,65.8,98.0,"10,394",23.6,31%,,/world-university-rankings/hong-kong-university-science-and-technology,hong-kong-university-science-and-technology,http://www.wikidata.org/entity/Q1333303,grid.24515.37,
41,Paris Sciences et Lettres – PSL Research University Paris,France,74.4,74.3,67.8,82.2,49.8,78.3,"20,722",11.3,26%,44 : 56,/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris,paris-sciences-et-lettres-psl-research-university-paris,http://www.wikidata.org/entity/Q1163431,grid.440907.e,
42,The University of Tokyo,Japan,74.1,84.0,87.2,61.3,67.2,35.9,"25,828",7.6,11%,,/world-university-rankings/university-tokyo,university-tokyo,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
43,University of Wisconsin-Madison,United States,73.9,70.3,71.0,89.9,46.8,45.6,"39,193",10.5,12%,,/world-university-rankings/university-wisconsin-madison,university-wisconsin-madison,http://www.wikidata.org/entity/Q838330,grid.14003.36,
=44,McGill University,Canada,73.7,64.1,69.4,86.3,42.3,89.4,"31,060",13.0,28%,58 : 42,/world-university-rankings/mcgill-university,mcgill-university,http://www.wikidata.org/entity/Q201492,grid.14709.3b,
=44,Technical University of Munich,Germany,73.7,62.9,68.6,88.3,100.0,70.5,"39,726",50.6,24%,34 : 66,/world-university-rankings/technical-university-munich,technical-university-munich,http://www.wikidata.org/entity/Q157808,grid.6936.a,
47,Heidelberg University,Germany,73.2,68.1,59.0,95.9,55.6,65.7,"20,953",16.6,17%,54 : 46,/world-university-rankings/heidelberg-university-0,heidelberg-university-0,http://www.wikidata.org/entity/Q151510,grid.7700.0,
48,KU Leuven,Belgium,72.6,56.9,70.4,88.9,99.9,70.1,"44,719",36.5,15%,49 : 51,/world-university-rankings/ku-leuven,ku-leuven,http://www.wikidata.org/entity/Q833670,grid.5596.f,
49,Australian National University,Australia,72.4,55.5,70.6,87.3,49.1,95.0,"16,840",18.5,39%,52 : 48,/world-university-rankings/australian-national-university,australian-national-university,http://www.wikidata.org/entity/Q127990,grid.1001.0,
50,University of Illinois at Urbana-Champaign,United States,72.3,63.2,73.5,86.7,49.4,53.5,"43,908",17.9,24%,47 : 53,/world-university-rankings/university-illinois-urbana-champaign,university-illinois-urbana-champaign,http://www.wikidata.org/entity/Q457281,grid.35403.31,
51,"Nanyang Technological University, Singapore",Singapore,72.2,55.4,65.8,88.6,83.1,95.4,"25,738",16.7,28%,48 : 52,/world-university-rankings/nanyang-technological-university-singapore,nanyang-technological-university-singapore,http://www.wikidata.org/entity/Q721064,grid.59025.3b,
52,"University of California, Santa Barbara",United States,71.5,50.9,65.0,98.8,83.4,67.0,"23,457",27.9,16%,52 : 48,/world-university-rankings/university-california-santa-barbara,university-california-santa-barbara,http://www.wikidata.org/entity/Q263064,grid.133342.4,
53,Brown University,United States,71.4,67.3,57.3,95.4,36.2,60.4,"9,082",10.7,21%,,/world-university-rankings/brown-university,brown-university,http://www.wikidata.org/entity/Q49114,grid.40263.33,
53,Chinese University of Hong Kong,Hong Kong,71.4,59.3,64.9,84.5,54.1,98.6,"17,883",18.4,33%,,/world-university-rankings/chinese-university-hong-kong,chinese-university-hong-kong,http://www.wikidata.org/entity/Q15570,grid.10784.3a,
54,Washington University in St Louis,United States,70.9,63.1,56.6,99.1,39.5,56.5,"13,074",7.3,20%,,/world-university-rankings/washington-university-st-louis,washington-university-st-louis,http://www.wikidata.org/entity/Q777403,grid.4367.6,
56,University of North Carolina at Chapel Hill,United States,70.0,62.2,61.4,96.8,42.4,36.8,"34,226",9.4,8%,57 : 43,/world-university-rankings/university-north-carolina-chapel-hill,university-north-carolina-chapel-hill,http://www.wikidata.org/entity/Q192334,grid.10698.36,
57,University of Manchester,United Kingdom,69.9,57.7,62.0,87.2,45.0,90.1,"36,530",14.5,39%,53 : 47,/world-university-rankings/university-manchester,university-manchester,http://www.wikidata.org/entity/Q230899,grid.5379.8,
58,Delft University of Technology,Netherlands,69.2,58.1,71.4,70.0,99.6,91.6,"17,880",20.0,29%,28 : 72,/world-university-rankings/delft-university-technology,delft-university-technology,http://www.wikidata.org/entity/Q752663,grid.5292.c,
=59,"University of California, Davis",United States,68.5,59.3,63.6,85.6,52.7,61.2,"37,847",13.5,13%,57 : 43,/world-university-rankings/university-california-davis,university-california-davis,http://www.wikidata.org/entity/Q129421,grid.27860.3b,
=59,University of Sydney,Australia,68.5,50.2,61.4,89.1,68.1,87.8,"43,333",20.5,35%,58 : 42,/world-university-rankings/university-sydney,university-sydney,http://www.wikidata.org/entity/Q487556,grid.1013.3,
=59,Wageningen University & Research,Netherlands,68.5,49.2,53.6,96.8,100.0,81.7,"13,214",20.9,29%,55 : 45,/world-university-rankings/wageningen-university-research,wageningen-university-research,http://www.wikidata.org/entity/Q422208,grid.4818.5,
62,University of Amsterdam,Netherlands,67.9,50.1,61.9,92.3,42.9,74.0,"23,778",12.3,12%,56 : 44,/world-university-rankings/university-amsterdam,university-amsterdam,http://www.wikidata.org/entity/Q214341,grid.7177.6,
63,Seoul National University,South Korea,67.5,74.6,71.1,64.2,77.2,35.1,"26,066",12.3,12%,,/world-university-rankings/seoul-national-university,seoul-national-university,http://www.wikidata.org/entity/Q39913,grid.31501.36,
64,Purdue University,United States,67.4,61.6,68.6,71.1,64.6,71.8,"39,409",17.0,23%,42 : 58,/world-university-rankings/purdue-university,purdue-university,http://www.wikidata.org/entity/Q217741,grid.169077.e,
65,Kyoto University,Japan,67.3,75.9,77.5,55.0,95.6,31.1,"22,420",8.8,8%,24 : 76,/world-university-rankings/kyoto-university,kyoto-university,http://www.wikidata.org/entity/Q336264,grid.258799.8,
66,University of Southern California,United States,67.0,53.2,56.6,93.8,39.2,66.3,"35,510",11.6,25%,53 : 47,/world-university-rankings/university-southern-california,university-southern-california,http://www.wikidata.org/entity/Q4614,grid.42505.36,
67,Humboldt University of Berlin,Germany,66.9,64.1,65.8,72.6,41.8,67.2,"33,000",59.0,17%,,/world-university-rankings/humboldt-university-berlin,humboldt-university-berlin,http://www.wikidata.org/entity/Q152087,grid.7468.d,
68,Leiden University,Netherlands,66.3,46.5,62.4,87.3,74.6,74.1,"26,321",18.0,13%,57 : 43,/world-university-rankings/leiden-university,leiden-university,http://www.wikidata.org/entity/Q156598,grid.5132.5,
69,University of Queensland,Australia,66.0,47.3,57.4,86.5,70.3,91.7,"38,187",34.4,31%,55 : 45,/world-university-rankings/university-queensland,university-queensland,http://www.wikidata.org/entity/Q866012,grid.1003.2,
70,Erasmus University Rotterdam,Netherlands,65.8,40.6,55.7,97.2,56.8,84.5,"22,019",19.6,22%,50 : 50,/world-university-rankings/erasmus-university-rotterdam,erasmus-university-rotterdam,http://www.wikidata.org/entity/Q633529,grid.6906.9,
=71,University of Minnesota Twin Cities,United States,65.3,56.8,58.7,85.6,79.4,39.4,"60,620",12.3,11%,52 : 48,/world-university-rankings/university-minnesota-0,university-minnesota-0,http://www.wikidata.org/entity/Q238101,grid.17635.36,
=71,Ohio State University,United States,65.3,56.7,54.9,87.1,52.9,58.3,"53,540",12.8,12%,49 : 51,/world-university-rankings/ohio-state-university,ohio-state-university,http://www.wikidata.org/entity/Q309331,grid.261331.4,
73,Sorbonne University,France,65.1,63.2,53.1,80.6,39.0,67.3,"42,681",14.3,19%,59 : 41,/world-university-rankings/sorbonne-university,sorbonne-university,http://www.wikidata.org/entity/Q41497113,grid.462844.8,101.0
=74,Boston University,United States,65.0,56.3,44.8,96.8,36.5,62.3,"25,095",8.4,27%,60 : 40,/world-university-rankings/boston-university,boston-university,http://www.wikidata.org/entity/Q49110,grid.189504.1,
=74,Utrecht University,Netherlands,65.0,43.8,61.2,90.7,62.9,63.1,"31,551",14.3,7%,59 : 41,/world-university-rankings/utrecht-university,utrecht-university,http://www.wikidata.org/entity/Q221653,grid.5477.1,
76,University of Freiburg,Germany,64.7,50.5,53.1,85.8,100.0,71.6,"22,005",44.5,22%,55 : 45,/world-university-rankings/university-freiburg,university-freiburg,http://www.wikidata.org/entity/Q153987,grid.5963.9,
77,McMaster University,Canada,64.4,44.0,48.2,94.3,93.5,80.5,"24,602",27.3,16%,53 : 47,/world-university-rankings/mcmaster-university,mcmaster-university,http://www.wikidata.org/entity/Q632891,grid.25073.33,
78,University of Bristol,United Kingdom,64.3,44.8,48.6,96.1,40.5,86.3,"20,570",13.2,27%,53 : 47,/world-university-rankings/university-bristol,university-bristol,http://www.wikidata.org/entity/Q459506,grid.5337.2,
=79,University of Groningen,Netherlands,64.1,42.5,54.4,90.7,79.7,77.5,"26,183",23.8,18%,52 : 48,/world-university-rankings/university-groningen,university-groningen,http://www.wikidata.org/entity/Q850730,grid.4830.f,
=79,University of Warwick,United Kingdom,64.1,48.0,51.8,87.0,41.5,93.3,"19,649",13.3,41%,50 : 50,/world-university-rankings/university-warwick,university-warwick,http://www.wikidata.org/entity/Q865528,grid.7372.1,
81,Pennsylvania State University,United States,63.8,53.2,62.5,81.1,50.8,46.4,"45,704",15.0,15%,46 : 54,/world-university-rankings/pennsylvania-state-university,pennsylvania-state-university,http://www.wikidata.org/entity/Q739627,grid.29857.31,
=82,"University of Maryland, College Park",United States,63.7,47.8,57.7,93.2,38.7,41.2,"32,099",16.2,10%,47 : 53,/world-university-rankings/university-maryland-college-park,university-maryland-college-park,http://www.wikidata.org/entity/Q503415,grid.164295.d,
=82,Sungkyunkwan University (SKKU),South Korea,63.7,58.4,59.1,74.8,96.9,48.8,"23,359",19.5,14%,42 : 58,/world-university-rankings/sungkyunkwan-university-skku,sungkyunkwan-university-skku,http://www.wikidata.org/entity/Q41085,grid.264381.a,
=84,Emory University,United States,63.6,56.0,39.7,98.4,43.6,56.4,"12,647",4.2,20%,58 : 42,/world-university-rankings/emory-university,emory-university,http://www.wikidata.org/entity/Q621043,grid.189967.8,
=84,Monash University,Australia,63.6,46.1,53.7,83.8,74.1,88.7,"49,728",34.6,35%,57 : 43,/world-university-rankings/monash-university,monash-university,http://www.wikidata.org/entity/Q598841,grid.1002.3,
86,Rice University,United States,63.5,50.9,40.4,97.9,44.6,75.1,"6,554",8.9,28%,42 : 58,/world-university-rankings/rice-university,rice-university,http://www.wikidata.org/entity/Q842909,grid.21940.3e,
=87,RWTH Aachen University,Germany,63.3,56.7,60.7,71.3,98.8,56.2,"44,517",61.8,19%,32 : 68,/world-university-rankings/rwth-aachen-university,rwth-aachen-university,http://www.wikidata.org/entity/Q273263,grid.1957.a,
=87,Uppsala University,Sweden,63.3,44.3,55.7,87.7,77.3,67.4,"25,061",16.9,14%,56 : 44,/world-university-rankings/uppsala-university,uppsala-university,http://www.wikidata.org/entity/Q185246,grid.8993.b,
89,University of Tübingen,Germany,63.2,50.0,54.4,84.9,67.0,62.6,"28,743",39.2,14%,58 : 42,/world-university-rankings/university-tubingen,university-tubingen,http://www.wikidata.org/entity/Q153978,grid.10392.39,
=90,Charité - Universitätsmedizin Berlin,Germany,63.0,47.6,46.1,93.2,87.8,63.1,"6,943",17.5,19%,64 : 36,/world-university-rankings/charite-universitatsmedizin-berlin,charite-universitatsmedizin-berlin,http://www.wikidata.org/entity/Q162684,grid.6363.0,
=90,University of Montreal,Canada,63.0,47.8,50.2,84.6,74.3,85.0,"37,311",20.3,23%,59 : 41,/world-university-rankings/university-montreal,university-montreal,http://www.wikidata.org/entity/Q392189,grid.14848.31,
=90,University of Zurich,Switzerland,63.0,46.5,46.4,89.6,53.4,91.4,"26,340",14.7,20%,57 : 43,/world-university-rankings/university-zurich,university-zurich,http://www.wikidata.org/entity/Q206702,grid.7400.3,
=93,University of Science and Technology of China,China,62.9,62.3,54.7,77.1,89.2,32.2,"16,152",8.4,4%,,/world-university-rankings/university-science-and-technology-china,university-science-and-technology-china,http://www.wikidata.org/entity/Q1074103,grid.59053.3a,
=93,University of Glasgow,United Kingdom,62.8,41.2,48.3,93.6,40.1,92.3,"24,235",15.3,36%,58 : 42,/world-university-rankings/university-glasgow,university-glasgow,http://www.wikidata.org/entity/Q192775,grid.8756.c,
=93,Michigan State University,United States,62.8,56.5,54.2,79.8,37.9,62.9,"44,951",17.0,17%,51 : 49,/world-university-rankings/michigan-state-university,michigan-state-university,http://www.wikidata.org/entity/Q270222,grid.17088.36,
=96,"University of California, Irvine",United States,62.7,44.5,47.6,94.6,60.8,69.3,"31,089",16.7,24%,53 : 47,/world-university-rankings/university-california-irvine,university-california-irvine,http://www.wikidata.org/entity/Q868421,grid.266093.8,
=96,University of New South Wales,Australia,62.7,45.0,54.1,82.3,52.4,92.6,"41,358",30.5,36%,47 : 53,/world-university-rankings/university-new-south-wales,university-new-south-wales,http://www.wikidata.org/entity/Q734764,grid.1005.4,
98,Lund University,Sweden,62.5,41.9,53.2,87.4,78.0,77.3,"28,454",11.8,17%,54 : 46,/world-university-rankings/lund-university,lund-university,http://www.wikidata.org/entity/Q218506,grid.4514.4,
=99,Dartmouth College,United States,62.4,59.6,38.9,95.9,41.3,40.1,"6,172",6.7,15%,48 : 52,/world-university-rankings/dartmouth-college,dartmouth-college,http://www.wikidata.org/entity/Q49116,grid.254880.3,
=99,University of Helsinki,Finland,62.4,46.2,57.6,87.5,37.4,54.4,"22,418",16.6,6%,65 : 35,/world-university-rankings/university-helsinki,university-helsinki,http://www.wikidata.org/entity/Q28695,grid.7737.4,
101,Zhejiang University,China,62.2,69.4,68.4,47.9,100.0,53.3,"36,031",10.9,18%,21 : 79,/world-university-rankings/zhejiang-university,zhejiang-university,http://www.wikidata.org/entity/Q197543,grid.13402.34,
102,Korea Advanced Institute of Science and Technology (KAIST),South Korea,61.8,61.7,59.3,67.8,99.9,35.7,"9,587",10.4,9%,20 : 80,/world-university-rankings/korea-advanced-institute-science-and-technology-kaist,korea-advanced-institute-science-and-technology-kaist,http://www.wikidata.org/entity/Q39949,grid.37172.30,
103,University of Basel,Switzerland,61.5,43.1,39.4,90.1,99.4,96.1,"12,852",18.0,27%,55 : 45,/world-university-rankings/university-basel,university-basel,http://www.wikidata.org/entity/Q372608,grid.6612.3,
104,Free University of Berlin,Germany,61.4,61.3,64.3,57.2,42.4,74.0,"35,032",56.4,21%,59 : 41,/world-university-rankings/free-university-berlin,free-university-berlin,http://www.wikidata.org/entity/Q153006,grid.14095.39,
104,Fudan University,China,61.4,63.7,57.2,68.9,50.2,42.2,"34,393",12.2,11%,51 : 49,/world-university-rankings/fudan-university,fudan-university,http://www.wikidata.org/entity/Q495015,grid.8547.e,
106,University of Sheffield,United Kingdom,61.2,46.0,46.0,86.5,43.1,87.2,"25,577",14.9,35%,50 : 50,/world-university-rankings/university-sheffield,university-sheffield,http://www.wikidata.org/entity/Q823917,grid.11835.3e,
107,University of Virginia,United States,61.0,53.8,41.1,92.7,44.1,47.7,"24,295",9.4,12%,53 : 47,/world-university-rankings/university-virginia,university-virginia,http://www.wikidata.org/entity/Q213439,grid.27755.32,
108,École Polytechnique,France,60.8,58.6,46.6,68.2,70.6,94.0,"2,908",5.6,36%,21 : 79,/world-university-rankings/ecole-polytechnique,ecole-polytechnique,http://www.wikidata.org/entity/Q273626,grid.10877.39,
109,Georgetown University,United States,60.7,56.0,36.0,93.2,64.6,46.9,"15,801",8.5,17%,54 : 46,/world-university-rankings/georgetown-university,georgetown-university,http://www.wikidata.org/entity/Q333886,grid.213910.8,
=110,University of Bern,Switzerland,60.3,45.1,41.7,85.5,83.1,86.5,"10,967",16.7,15%,56 : 44,/world-university-rankings/university-bern,university-bern,http://www.wikidata.org/entity/Q659080,grid.5734.5,
=110,University of Bonn,Germany,60.3,48.4,40.7,89.9,87.4,59.7,"37,708",70.2,13%,55 : 45,/world-university-rankings/university-bonn,university-bonn,http://www.wikidata.org/entity/Q152171,grid.10388.32,
=110,City University of Hong Kong,Hong Kong,60.3,43.7,46.3,80.6,63.2,99.8,"9,928",11.2,41%,57 : 43,/world-university-rankings/city-university-hong-kong,city-university-hong-kong,http://www.wikidata.org/entity/Q787360,grid.35030.35,
=110,University of Pittsburgh,United States,60.3,47.8,44.5,95.9,40.4,38.2,"26,517",5.9,11%,52 : 48,/world-university-rankings/university-pittsburgh,university-pittsburgh,http://www.wikidata.org/entity/Q235034,grid.21925.3d,
=114,University of Colorado Boulder,United States,59.9,45.0,43.2,96.5,39.2,46.4,"31,625",15.5,12%,44 : 56,/world-university-rankings/university-colorado-boulder,university-colorado-boulder,http://www.wikidata.org/entity/Q736674,grid.266190.a,
=114,Durham University,United Kingdom,59.9,44.7,47.0,82.0,37.7,90.9,"16,565",14.8,30%,54 : 46,/world-university-rankings/durham-university,durham-university,http://www.wikidata.org/entity/Q458393,grid.8250.f,
=116,University of Birmingham,United Kingdom,59.7,38.9,43.3,91.5,39.8,88.5,"28,354",15.1,28%,56 : 44,/world-university-rankings/university-birmingham,university-birmingham,http://www.wikidata.org/entity/Q223429,grid.6572.6,
=116,University of Copenhagen,Denmark,59.7,44.2,39.4,90.8,45.8,83.2,"32,157",4.4,16%,55 : 45,/world-university-rankings/university-copenhagen,university-copenhagen,http://www.wikidata.org/entity/Q186285,grid.5254.6,
118,University of Southampton,United Kingdom,59.6,39.7,42.0,90.2,40.7,93.9,"24,078",13.9,36%,52 : 48,/world-university-rankings/university-southampton,university-southampton,http://www.wikidata.org/entity/Q76473,grid.5491.9,
119,University of York,United Kingdom,59.3,41.2,45.7,86.4,36.2,84.9,"15,194",14.9,25%,56 : 44,/world-university-rankings/university-york,university-york,http://www.wikidata.org/entity/Q967165,grid.5685.e,
120,Trinity College Dublin,Ireland,59.2,43.7,47.0,79.8,43.4,93.3,"16,293",21.6,28%,59 : 41,/world-university-rankings/trinity-college-dublin,trinity-college-dublin,http://www.wikidata.org/entity/Q258464,grid.8217.c,
=121,University of Oslo,Norway,59.1,39.8,44.2,91.2,41.8,73.3,"20,552",13.3,17%,62 : 38,/world-university-rankings/university-oslo,university-oslo,http://www.wikidata.org/entity/Q486156,grid.5510.1,
=121,Vanderbilt University,United States,59.1,46.5,39.4,96.6,47.0,41.9,"12,038",3.1,14%,54 : 46,/world-university-rankings/vanderbilt-university,vanderbilt-university,http://www.wikidata.org/entity/Q29052,grid.152326.1,
=123,Aarhus University,Denmark,59.0,37.0,51.4,84.2,63.0,75.3,"26,867",14.8,11%,54 : 46,/world-university-rankings/aarhus-university,aarhus-university,http://www.wikidata.org/entity/Q924265,grid.7048.b,
=123,Arizona State University,United States,59.0,42.7,47.4,88.7,38.6,58.6,"46,362",20.8,20%,43 : 57,/world-university-rankings/arizona-state-university,arizona-state-university,http://www.wikidata.org/entity/Q670897,grid.215654.1,
