rank,Name,Location,Overall,Teaching,Rechearch,Citations,Industry_Income,Internationals_Outlook,n_students,student_staff_ratio,n_international_students,m_v_ratio,href,Times_Higher_Education_World_University_ID,item,GRID_ID,fuzz
1,University of Oxford,United Kingdom,96.0,91.8,99.5,99.1,67.0,96.3,"20,298",11.0,40%,46 : 54,/world-university-rankings/university-oxford,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
2,University of Cambridge,United Kingdom,94.8,92.1,98.8,97.1,52.9,94.3,"18,749",10.9,37%,46 : 54,/world-university-rankings/university-cambridge,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
3,Stanford University,United States,94.7,93.6,96.8,99.9,64.6,79.3,"15,878",7.4,23%,43 : 57,/world-university-rankings/stanford-university,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
4,Massachusetts Institute of Technology,United States,94.2,91.9,92.7,99.9,87.6,89.0,"11,231",8.7,34%,38 : 62,/world-university-rankings/massachusetts-institute-technology,massachusetts-institute-technology,http://www.wikidata.org/entity/Q49108,grid.116068.8,
5,California Institute of Technology,United States,94.1,94.5,97.2,99.2,88.2,62.3,"2,255",6.5,29%,33 : 67,/world-university-rankings/california-institute-technology,california-institute-technology,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
6,Harvard University,United States,93.6,90.1,98.4,99.6,48.7,79.7,"20,595",9.1,26%,48 : 52,/world-university-rankings/harvard-university,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
7,Princeton University,United States,92.3,89.9,93.6,99.4,57.3,80.1,"7,996",8.2,24%,45 : 55,/world-university-rankings/princeton-university,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
8,Yale University,United States,91.3,91.6,93.5,97.8,51.5,68.3,"12,318",5.2,20%,50 : 50,/world-university-rankings/yale-university,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
9,Imperial College London,United Kingdom,90.3,85.8,87.7,97.8,67.3,97.1,"16,425",11.7,56%,38 : 62,/world-university-rankings/imperial-college-london,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
10,University of Chicago,United States,90.2,90.2,90.1,99.0,41.4,70.9,"13,562",6.1,25%,44 : 56,/world-university-rankings/university-chicago,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
11,ETH Zurich,Switzerland,89.3,83.3,91.4,93.8,56.1,98.2,"18,171",12.3,39%,31 : 69,/world-university-rankings/eth-zurich,eth-zurich,,grid.5801.c,103.0
=12,Johns Hopkins University,United States,89.0,81.9,90.5,98.5,95.5,71.9,"16,146",4.6,25%,52 : 48,/world-university-rankings/johns-hopkins-university,johns-hopkins-university,http://www.wikidata.org/entity/Q193727,grid.21107.35,
=12,University of Pennsylvania,United States,89.0,87.4,89.2,98.4,70.3,63.6,"20,443",6.4,20%,52 : 48,/world-university-rankings/university-pennsylvania,university-pennsylvania,http://www.wikidata.org/entity/Q49117,grid.25879.31,
14,UCL,United Kingdom,87.8,79.1,90.1,95.9,42.4,95.8,"31,696",10.6,51%,57 : 43,/world-university-rankings/ucl,ucl,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
15,"University of California, Berkeley",United States,87.7,78.7,92.3,99.7,49.3,69.8,"36,468",13.2,17%,51 : 49,/world-university-rankings/university-california-berkeley,university-california-berkeley,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
16,Columbia University,United States,87.2,85.4,83.1,98.8,44.8,79.0,"26,586",6.0,37%,,/world-university-rankings/columbia-university,columbia-university,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
17,"University of California, Los Angeles",United States,86.4,82.6,87.9,97.8,49.4,62.1,"39,464",9.2,17%,53 : 47,/world-university-rankings/university-california-los-angeles,university-california-los-angeles,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
18,Duke University,United States,85.4,84.1,78.8,98.2,100.0,61.0,"15,037",4.4,18%,48 : 52,/world-university-rankings/duke-university,duke-university,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
19,Cornell University,United States,85.1,79.7,85.4,97.4,36.9,71.8,"21,904",9.8,25%,49 : 51,/world-university-rankings/cornell-university,cornell-university,http://www.wikidata.org/entity/Q49115,grid.5386.8,
20,University of Michigan,United States,84.1,80.0,85.9,96.0,45.9,58.0,"41,831",8.3,17%,48 : 52,/world-university-rankings/university-michigan,university-michigan,http://www.wikidata.org/entity/Q230492,grid.214458.e,
21,University of Toronto,Canada,84.0,75.8,86.3,92.8,50.3,82.8,"72,202",19.0,19%,,/world-university-rankings/university-toronto,university-toronto,http://www.wikidata.org/entity/Q180865,grid.17063.33,
22,Tsinghua University,China,82.9,87.7,94.1,74.8,99.8,45.8,"36,912",11.9,11%,34 : 66,/world-university-rankings/tsinghua-university,tsinghua-university,http://www.wikidata.org/entity/Q16955,grid.12527.33,
23,National University of Singapore,Singapore,82.4,77.3,88.8,78.9,67.6,95.5,"30,727",17.4,28%,50 : 50,/world-university-rankings/national-university-singapore,national-university-singapore,http://www.wikidata.org/entity/Q738236,grid.4280.e,
24,Carnegie Mellon University,United States,82.0,69.0,81.2,99.3,48.1,79.4,"13,033",13.3,47%,40 : 60,/world-university-rankings/carnegie-mellon-university,carnegie-mellon-university,http://www.wikidata.org/entity/Q190080,grid.147455.6,
25,Northwestern University,United States,81.7,69.0,83.6,97.8,75.8,63.0,"17,600",13.0,19%,48 : 52,/world-university-rankings/northwestern-university,northwestern-university,http://www.wikidata.org/entity/Q309350,grid.16753.36,
26,London School of Economics and Political Science,United Kingdom,81.3,71.0,83.1,91.0,34.8,92.5,"10,028",11.8,70%,52 : 48,/world-university-rankings/london-school-economics-and-political-science,london-school-economics-and-political-science,http://www.wikidata.org/entity/Q174570,grid.13063.37,
27,New York University,United States,81.0,77.7,76.1,96.6,38.9,65.0,"44,433",8.9,32%,56 : 44,/world-university-rankings/new-york-university,new-york-university,http://www.wikidata.org/entity/Q49210,grid.137628.9,
28,University of Washington,United States,80.4,70.7,79.7,98.9,47.6,59.3,"45,476",11.3,16%,53 : 47,/world-university-rankings/university-washington,university-washington,http://www.wikidata.org/entity/Q219563,grid.34477.33,
29,University of Edinburgh,United Kingdom,79.8,69.2,73.7,96.8,38.2,93.3,"28,153",12.7,41%,60 : 40,/world-university-rankings/university-edinburgh,university-edinburgh,http://www.wikidata.org/entity/Q160302,grid.4305.2,
30,"University of California, San Diego",United States,79.7,65.4,79.2,98.2,96.0,59.9,"31,687",12.9,20%,46 : 54,/world-university-rankings/university-california-san-diego,university-california-san-diego,http://www.wikidata.org/entity/Q622664,grid.266100.3,
