rank,Name,Location,Overall,Teaching,Rechearch,Citations,Industry_Income,Internationals_Outlook,n_students,student_staff_ratio,n_international_students,m_v_ratio,href,Times_Higher_Education_World_University_ID,item,GRID_ID,fuzz
1,California Institute of Technology,United States,95.2,95.6,97.6,99.8,97.8,64.0,"2,243",6.9,26%,33 : 67,/world-university-rankings/california-institute-technology,california-institute-technology,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
2,University of Oxford,United Kingdom,94.2,86.5,98.9,98.8,73.1,94.4,"19,919",11.6,34%,46 : 54,/world-university-rankings/university-oxford,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
3,Stanford University,United States,93.9,92.5,96.2,99.9,63.3,76.3,"15,596",7.8,22%,42 : 58,/world-university-rankings/stanford-university,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
4,University of Cambridge,United Kingdom,92.8,88.2,96.7,97.0,55,91.5,"18,812",11.8,34%,46 : 54,/world-university-rankings/university-cambridge,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
5,Massachusetts Institute of Technology,United States,92,89.4,88.6,99.7,95.4,84.0,"11,074",9.0,33%,37 : 63,/world-university-rankings/massachusetts-institute-technology,massachusetts-institute-technology,http://www.wikidata.org/entity/Q49108,grid.116068.8,
6,Harvard University,United States,91.6,83.6,99.0,99.8,45.2,77.2,"20,152",8.9,25%,,/world-university-rankings/harvard-university,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
7,Princeton University,United States,90.1,85.1,91.9,99.3,52.1,78.5,"7,929",8.4,27%,45 : 55,/world-university-rankings/princeton-university,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
8,Imperial College London,United Kingdom,89.1,83.3,88.5,96.7,53.7,96.0,"15,060",11.7,51%,37 : 63,/world-university-rankings/imperial-college-london,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
9,ETH Zurich,Switzerland,88.3,77.0,95.0,91.1,80,97.9,"18,178",14.7,37%,31 : 69,/world-university-rankings/eth-zurich,eth-zurich,,grid.5801.c,103.0
10,University of Chicago,United States,87.9,85.7,88.9,99.2,36.6,65.0,"14,221",6.9,20%,42 : 58,/world-university-rankings/university-chicago,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
11,Johns Hopkins University,United States,87.6,77.6,90.4,98.2,100,70.0,"15,128",3.6,23%,50 : 50,/world-university-rankings/johns-hopkins-university,johns-hopkins-university,http://www.wikidata.org/entity/Q193727,grid.21107.35,
12,Yale University,United States,87.4,86.5,87.8,97.2,43.3,64.3,"11,751",4.4,20%,50 : 50,/world-university-rankings/yale-university,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
13,"University of California, Berkeley",United States,87.2,80.4,91.1,99.7,47.9,61.9,"36,186",16.4,15%,50 : 50,/world-university-rankings/university-california-berkeley,university-california-berkeley,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
14,UCL,United Kingdom,87.1,78.1,91.0,94.2,40.5,94.4,"26,607",10.7,46%,56 : 44,/world-university-rankings/ucl,ucl,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
15,Columbia University,United States,86.1,85.9,82.2,98.1,-,73.5,"25,055",5.9,28%,,/world-university-rankings/columbia-university,columbia-university,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
16,"University of California, Los Angeles",United States,85.8,80.8,88.6,98.5,47.9,56.4,"38,206",10.3,15%,52 : 48,/world-university-rankings/university-california-los-angeles,university-california-los-angeles,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
17,University of Pennsylvania,United States,85.2,82.0,86.9,98.6,47.9,49.5,"20,376",6.5,20%,51 : 49,/world-university-rankings/university-pennsylvania,university-pennsylvania,http://www.wikidata.org/entity/Q49117,grid.25879.31,
18,Cornell University,United States,84,77.9,86.1,97.2,33.7,63.9,"21,424",10.2,19%,48 : 52,/world-university-rankings/cornell-university,cornell-university,http://www.wikidata.org/entity/Q49115,grid.5386.8,
19,University of Toronto,Canada,83.9,75.9,89.3,90.9,49.1,77.8,"66,198",19.5,15%,,/world-university-rankings/university-toronto,university-toronto,http://www.wikidata.org/entity/Q180865,grid.17063.33,
20,Duke University,United States,82.7,76.0,78.0,99.0,100,56.5,"15,172",4.8,17%,49 : 51,/world-university-rankings/duke-university,duke-university,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
21,University of Michigan,United States,82.4,76.8,85.2,94.4,56.3,53.7,"41,786",9.0,16%,48 : 52,/world-university-rankings/university-michigan,university-michigan,http://www.wikidata.org/entity/Q230492,grid.214458.e,
22,Carnegie Mellon University,United States,82.3,67.4,88.8,99.1,57.5,57.1,"11,885",13.1,35%,39 : 61,/world-university-rankings/carnegie-mellon-university,carnegie-mellon-university,http://www.wikidata.org/entity/Q190080,grid.147455.6,
23,London School of Economics and Political Science,United Kingdom,81.3,69.8,80.6,94.3,32.2,93.6,"9,233",12.1,70%,53 : 47,/world-university-rankings/london-school-economics-and-political-science,london-school-economics-and-political-science,http://www.wikidata.org/entity/Q174570,grid.13063.37,
24,University of Edinburgh,United Kingdom,80.3,68.6,77.2,96.3,36.1,89.8,"25,774",14.1,36%,58 : 42,/world-university-rankings/university-edinburgh,university-edinburgh,http://www.wikidata.org/entity/Q160302,grid.4305.2,
25,Northwestern University,United States,79.5,69.8,78.4,96.5,81.2,53.9,"18,334",13.8,15%,48 : 52,/world-university-rankings/northwestern-university,northwestern-university,http://www.wikidata.org/entity/Q309350,grid.16753.36,
26,National University of Singapore,Singapore,79.2,71.7,84.5,79.4,49.8,96.2,"31,592",15.5,34%,49 : 51,/world-university-rankings/national-university-singapore,national-university-singapore,http://www.wikidata.org/entity/Q738236,grid.4280.e,
27,King’s College London,United Kingdom,78.2,64.5,75.8,93.8,40.1,93.8,"21,394",11.4,37%,61 : 39,/world-university-rankings/kings-college-london,kings-college-london,http://www.wikidata.org/entity/Q245247,grid.13097.3c,
28,Karolinska Institute,Sweden,77.5,60.6,81.1,92.2,75.8,73.1,"7,774",11.5,22%,70 : 30,/world-university-rankings/karolinska-institute,karolinska-institute,http://www.wikidata.org/entity/Q219564,grid.4714.6,
29,LMU Munich,Germany,77.3,70.5,77.4,85.7,100,62.8,"35,691",15.5,13%,62 : 38,/world-university-rankings/lmu-munich,lmu-munich,http://www.wikidata.org/entity/Q55044,grid.5252.0,
30,New York University,United States,77.2,74.7,72.3,95.3,30.4,49.3,"42,056",6.8,19%,55 : 45,/world-university-rankings/new-york-university,new-york-university,http://www.wikidata.org/entity/Q49210,grid.137628.9,
31,École Polytechnique Fédérale de Lausanne,Switzerland,76.1,61.3,67.5,94.6,65.4,98.6,"9,666",10.5,54%,27 : 73,/world-university-rankings/ecole-polytechnique-federale-de-lausanne,ecole-polytechnique-federale-de-lausanne,http://www.wikidata.org/entity/Q262760,grid.5333.6,
32,University of Washington,United States,75.6,67.1,70.0,98.6,43.1,51.2,"44,020",11.8,13%,53 : 47,/world-university-rankings/university-washington,university-washington,http://www.wikidata.org/entity/Q219563,grid.34477.33,
33,University of Melbourne,Australia,75.4,62.0,75.5,86.6,64.6,87.1,"40,128",23.7,35%,55 : 45,/world-university-rankings/university-melbourne,university-melbourne,http://www.wikidata.org/entity/Q319078,grid.1008.9,
