rank,Name,Location,Overall,Teaching,Rechearch,Citations,Industry_Income,Internationals_Outlook,n_students,student_staff_ratio,n_international_students,m_v_ratio,href,Times_Higher_Education_World_University_ID,item,GRID_ID,fuzz
1,California Institute of Technology,United States,94.8,95.7,98.2,99.9,97.0,56.0,94.8,95.7,98.2,99.9,/world-university-rankings/california-institute-technology,california-institute-technology,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
2,Harvard University,United States,93.9,95.8,97.4,99.8,35.9,67.5,93.9,95.8,97.4,99.8,/world-university-rankings/harvard-university,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
2,Stanford University,United States,93.9,94.8,98.9,99.8,63.8,57.2,93.9,94.8,98.9,99.8,/world-university-rankings/stanford-university,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
4,University of Oxford,United Kingdom,93.6,89.5,96.6,97.9,62.1,91.9,93.6,89.5,96.6,97.9,/world-university-rankings/university-oxford,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
5,Princeton University,United States,92.9,91.5,99.1,100.0,81.0,49.6,92.9,91.5,99.1,100.0,/world-university-rankings/princeton-university,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
6,University of Cambridge,United Kingdom,92.4,90.5,94.2,97.3,55.5,85.3,92.4,90.5,94.2,97.3,/world-university-rankings/university-cambridge,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
7,Massachusetts Institute of Technology,United States,92.3,92.7,87.4,100.0,94.4,79.2,92.3,92.7,87.4,100.0,/world-university-rankings/massachusetts-institute-technology,massachusetts-institute-technology,http://www.wikidata.org/entity/Q49108,grid.116068.8,
8,Imperial College London,United Kingdom,90.7,88.8,88.7,93.9,93.1,92.2,90.7,88.8,88.7,93.9,/world-university-rankings/imperial-college-london,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
9,University of Chicago,United States,90.2,89.4,90.8,99.4,-,58.8,90.2,89.4,90.8,99.4,/world-university-rankings/university-chicago,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
10,"University of California, Berkeley",United States,89.8,82.8,99.4,99.4,62.5,50.4,89.8,82.8,99.4,99.4,/world-university-rankings/university-california-berkeley,university-california-berkeley,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
11,Yale University,United States,89.1,92.3,91.2,96.7,34.7,55.5,89.1,92.3,91.2,96.7,/world-university-rankings/yale-university,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
12,Columbia University,United States,87.5,89.1,81.8,97.8,-,67.6,87.5,89.1,81.8,97.8,/world-university-rankings/columbia-university,columbia-university,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
13,"University of California, Los Angeles",United States,87.3,85.9,92.5,97.3,-,41.0,87.3,85.9,92.5,97.3,/world-university-rankings/university-california-los-angeles,university-california-los-angeles,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
14,Johns Hopkins University,United States,85.8,78.9,86.5,97.3,100.0,59.9,85.8,78.9,86.5,97.3,/world-university-rankings/johns-hopkins-university,johns-hopkins-university,http://www.wikidata.org/entity/Q193727,grid.21107.35,
15,ETH Zurich,Switzerland,85.0,79.1,85.8,87.2,-,97.5,85.0,79.1,85.8,87.2,/world-university-rankings/eth-zurich,eth-zurich,,grid.5801.c,103.0
16,University of Pennsylvania,United States,84.9,87.0,86.1,97.9,41.9,34.3,84.9,87.0,86.1,97.9,/world-university-rankings/university-pennsylvania,university-pennsylvania,http://www.wikidata.org/entity/Q49117,grid.25879.31,
17,UCL,United Kingdom,83.2,77.8,84.3,89.0,41.4,91.8,83.2,77.8,84.3,89.0,/world-university-rankings/ucl,ucl,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
18,University of Michigan,United States,82.8,75.4,90.0,94.3,53.3,47.2,82.8,75.4,90.0,94.3,/world-university-rankings/university-michigan,university-michigan,http://www.wikidata.org/entity/Q230492,grid.214458.e,
19,University of Toronto,Canada,81.6,76.9,87.4,86.5,44.9,69.0,81.6,76.9,87.4,86.5,/world-university-rankings/university-toronto,university-toronto,http://www.wikidata.org/entity/Q180865,grid.17063.33,
20,Cornell University,United States,80.5,70.4,87.2,93.5,-,53.4,80.5,70.4,87.2,93.5,/world-university-rankings/cornell-university,cornell-university,http://www.wikidata.org/entity/Q49115,grid.5386.8,
21,Carnegie Mellon University,United States,78.4,65.7,79.5,97.4,60.7,55.0,78.4,65.7,79.5,97.4,/world-university-rankings/carnegie-mellon-university,carnegie-mellon-university,http://www.wikidata.org/entity/Q190080,grid.147455.6,
22,Duke University,United States,77.4,62.6,77.9,97.4,100.0,46.9,77.4,62.6,77.9,97.4,/world-university-rankings/duke-university,duke-university,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
22,University of British Columbia,Canada,77.4,68.6,78.6,85.2,40.6,88.7,77.4,68.6,78.6,85.2,/world-university-rankings/university-british-columbia,university-british-columbia,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
24,Georgia Institute of Technology,United States,77.0,66.6,73.8,91.9,99.2,65.0,77.0,66.6,73.8,91.9,/world-university-rankings/georgia-institute-technology,georgia-institute-technology,http://www.wikidata.org/entity/Q864855,grid.213917.f,
25,University of Washington,United States,76.5,70.8,74.0,98.2,31.8,36.9,76.5,70.8,74.0,98.2,/world-university-rankings/university-washington,university-washington,http://www.wikidata.org/entity/Q219563,grid.34477.33,
26,Northwestern University,United States,76.2,66.3,75.5,98.6,56.6,35.3,76.2,66.3,75.5,98.6,/world-university-rankings/northwestern-university,northwestern-university,http://www.wikidata.org/entity/Q309350,grid.16753.36,
27,University of Wisconsin-Madison,United States,75.8,74.3,77.3,90.6,55.3,23.8,75.8,74.3,77.3,90.6,/world-university-rankings/university-wisconsin-madison,university-wisconsin-madison,http://www.wikidata.org/entity/Q838330,grid.14003.36,
28,McGill University,Canada,75.5,72.8,78.4,77.1,35.1,81.4,75.5,72.8,78.4,77.1,/world-university-rankings/mcgill-university,mcgill-university,http://www.wikidata.org/entity/Q201492,grid.14709.3b,
29,University of Texas at Austin,United States,74.9,69.5,76.1,89.6,57.7,38.8,74.9,69.5,76.1,89.6,/world-university-rankings/university-texas-austin,university-texas-austin,http://www.wikidata.org/entity/Q49213,grid.89336.37,
30,The University of Tokyo,Japan,74.3,86.1,80.3,69.1,76.6,23.0,74.3,86.1,80.3,69.1,/world-university-rankings/university-tokyo,university-tokyo,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
31,University of Illinois at Urbana-Champaign,United States,74.2,67.9,81.3,81.5,-,50.7,74.2,67.9,81.3,81.5,/world-university-rankings/university-illinois-urbana-champaign,university-illinois-urbana-champaign,http://www.wikidata.org/entity/Q457281,grid.35403.31,
32,Karolinska Institute,Sweden,73.1,69.9,73.8,73.1,78.5,82.0,73.1,69.9,73.8,73.1,/world-university-rankings/karolinska-institute,karolinska-institute,http://www.wikidata.org/entity/Q219564,grid.4714.6,
33,"University of California, San Diego",United States,73.0,61.4,72.0,97.8,51.8,31.5,73.0,61.4,72.0,97.8,/world-university-rankings/university-california-san-diego,university-california-san-diego,http://www.wikidata.org/entity/Q622664,grid.266100.3,
34,University of Hong Kong,Hong Kong,72.3,74.0,80.1,60.5,64.1,83.7,72.3,74.0,80.1,60.5,/world-university-rankings/university-hong-kong,university-hong-kong,http://www.wikidata.org/entity/Q15568,grid.194645.b,
35,"University of California, Santa Barbara",United States,72.1,55.0,65.3,99.9,85.0,52.6,72.1,55.0,65.3,99.9,/world-university-rankings/university-california-santa-barbara,university-california-santa-barbara,http://www.wikidata.org/entity/Q263064,grid.133342.4,
36,University of Edinburgh,United Kingdom,72.0,63.0,61.4,92.3,41.3,79.8,72.0,63.0,61.4,92.3,/world-university-rankings/university-edinburgh,university-edinburgh,http://www.wikidata.org/entity/Q160302,grid.4305.2,
