rank,Name,Location,Overall,Teaching,Rechearch,Citations,Industry_Income,Internationals_Outlook,n_students,student_staff_ratio,n_international_students,m_v_ratio,href,Times_Higher_Education_World_University_ID,item,GRID_ID,fuzz
1,University of Oxford,United Kingdom,94.3,86.7,99.5,99.1,63.7,95.0,"20,409",11.2,38%,46 : 54,/world-university-rankings/university-oxford,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
2,University of Cambridge,United Kingdom,93.2,87.8,97.8,97.5,51.5,93.0,"18,389",10.9,35%,45 : 55,/world-university-rankings/university-cambridge,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
=3,California Institute of Technology,United States,93.0,90.3,97.5,99.5,92.6,59.7,"2,209",6.5,27%,31 : 69,/world-university-rankings/california-institute-technology,california-institute-technology,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
=3,Stanford University,United States,93.0,89.1,96.7,99.9,60.5,77.6,"15,845",7.5,22%,42 : 58,/world-university-rankings/stanford-university,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
5,Massachusetts Institute of Technology,United States,92.5,87.3,91.9,100.0,88.4,87.6,"11,177",8.7,34%,37 : 63,/world-university-rankings/massachusetts-institute-technology,massachusetts-institute-technology,http://www.wikidata.org/entity/Q49108,grid.116068.8,
6,Harvard University,United States,91.8,84.2,98.4,99.7,46.4,79.7,"20,326",8.9,26%,,/world-university-rankings/harvard-university,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
7,Princeton University,United States,91.1,85.7,93.9,99.6,58.0,78.7,"7,955",8.3,24%,45 : 55,/world-university-rankings/princeton-university,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
8,Imperial College London,United Kingdom,89.2,81.7,88.7,96.7,71.6,96.6,"15,857",11.4,55%,37 : 63,/world-university-rankings/imperial-college-london,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
9,University of Chicago,United States,88.6,85.3,90.1,99.4,39.8,69.6,"13,525",6.2,25%,44 : 56,/world-university-rankings/university-chicago,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
=10,ETH Zurich,Switzerland,87.7,76.4,92.0,94.3,60.3,98.1,"19,233",14.6,38%,31 : 69,/world-university-rankings/eth-zurich,eth-zurich,,grid.5801.c,103.0
=10,University of Pennsylvania,United States,87.7,83.7,90.1,98.5,56.9,61.3,"20,361",6.5,20%,50 : 50,/world-university-rankings/university-pennsylvania,university-pennsylvania,http://www.wikidata.org/entity/Q49117,grid.25879.31,
12,Yale University,United States,87.6,86.7,87.0,98.4,45.1,64.6,"12,155",4.3,21%,49 : 51,/world-university-rankings/yale-university,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
13,Johns Hopkins University,United States,86.5,76.1,88.1,98.4,95.8,70.6,"15,498",4.3,24%,52 : 48,/world-university-rankings/johns-hopkins-university,johns-hopkins-university,http://www.wikidata.org/entity/Q193727,grid.21107.35,
14,Columbia University,United States,86.0,82.2,83.3,98.8,41.3,76.6,"26,587",6.1,32%,,/world-university-rankings/columbia-university,columbia-university,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
15,"University of California, Los Angeles",United States,85.7,80.7,88.1,97.9,48.6,59.5,"39,279",9.6,17%,53 : 47,/world-university-rankings/university-california-los-angeles,university-california-los-angeles,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
16,UCL,United Kingdom,85.3,74.4,88.2,94.6,41.2,94.6,"30,304",10.5,49%,56 : 44,/world-university-rankings/ucl,ucl,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
17,Duke University,United States,85.1,80.7,80.6,98.3,100.0,62.5,"15,256",4.5,22%,49 : 51,/world-university-rankings/duke-university,duke-university,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
18,"University of California, Berkeley",United States,84.3,77.4,84.5,99.8,37.5,64.5,"36,182",13.1,17%,52 : 48,/world-university-rankings/university-california-berkeley,university-california-berkeley,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
19,Cornell University,United States,84.2,76.2,86.6,97.6,34.6,69.2,"21,850",9.8,24%,49 : 51,/world-university-rankings/cornell-university,cornell-university,http://www.wikidata.org/entity/Q49115,grid.5386.8,
20,Northwestern University,United States,83.3,72.6,86.7,96.9,78.2,59.2,"17,466",12.8,18%,48 : 52,/world-university-rankings/northwestern-university,northwestern-university,http://www.wikidata.org/entity/Q309350,grid.16753.36,
21,University of Michigan,United States,83.1,77.2,86.3,95.7,46.2,55.8,"41,818",8.6,16%,48 : 52,/world-university-rankings/university-michigan,university-michigan,http://www.wikidata.org/entity/Q230492,grid.214458.e,
=22,National University of Singapore,Singapore,82.8,77.4,88.2,81.3,61.9,95.8,"30,602",17.0,30%,51 : 49,/world-university-rankings/national-university-singapore,national-university-singapore,http://www.wikidata.org/entity/Q738236,grid.4280.e,
=22,University of Toronto,Canada,82.8,74.6,84.8,92.6,46.5,80.1,"69,427",18.7,17%,,/world-university-rankings/university-toronto,university-toronto,http://www.wikidata.org/entity/Q180865,grid.17063.33,
24,Carnegie Mellon University,United States,81.9,65.8,83.7,99.7,50.4,79.1,"12,676",13.5,45%,39 : 61,/world-university-rankings/carnegie-mellon-university,carnegie-mellon-university,http://www.wikidata.org/entity/Q190080,grid.147455.6,
=25,London School of Economics and Political Science,United Kingdom,79.4,71.8,72.0,94.9,33.7,92.2,"10,065",12.2,71%,52 : 48,/world-university-rankings/london-school-economics-and-political-science,london-school-economics-and-political-science,http://www.wikidata.org/entity/Q174570,grid.13063.37,
=25,University of Washington,United States,79.4,67.9,79.9,99.0,47.3,56.5,"44,945",11.4,16%,52 : 48,/world-university-rankings/university-washington,university-washington,http://www.wikidata.org/entity/Q219563,grid.34477.33,
=27,University of Edinburgh,United Kingdom,79.2,66.8,74.2,97.0,36.3,92.0,"26,759",12.5,40%,59 : 41,/world-university-rankings/university-edinburgh,university-edinburgh,http://www.wikidata.org/entity/Q160302,grid.4305.2,
=27,New York University,United States,79.2,73.7,77.4,96.5,37.0,53.4,"43,860",9.6,26%,56 : 44,/world-university-rankings/new-york-university,new-york-university,http://www.wikidata.org/entity/Q49210,grid.137628.9,
=27,Peking University,China,79.2,83.0,85.1,74.2,100.0,53.0,"42,136",8.9,16%,47 : 53,/world-university-rankings/peking-university,peking-university,http://www.wikidata.org/entity/Q16952,grid.11135.37,
30,Tsinghua University,China,79.0,80.2,93.2,71.4,99.8,41.0,"42,089",13.7,9%,32 : 68,/world-university-rankings/tsinghua-university,tsinghua-university,http://www.wikidata.org/entity/Q16955,grid.12527.33,
31,"University of California, San Diego",United States,78.7,62.9,79.8,98.6,96.5,51.9,"29,633",12.8,17%,46 : 54,/world-university-rankings/university-california-san-diego,university-california-san-diego,http://www.wikidata.org/entity/Q622664,grid.266100.3,
32,University of Melbourne,Australia,77.5,64.9,74.2,90.3,70.1,92.7,"42,116",26.6,40%,55 : 45,/world-university-rankings/university-melbourne,university-melbourne,http://www.wikidata.org/entity/Q319078,grid.1008.9,
33,Georgia Institute of Technology,United States,77.0,59.7,78.9,94.3,60.2,75.0,"20,773",20.7,27%,31 : 69,/world-university-rankings/georgia-institute-technology,georgia-institute-technology,http://www.wikidata.org/entity/Q864855,grid.213917.f,
=34,University of British Columbia,Canada,76.2,61.8,72.2,93.4,42.6,92.2,"51,889",18.1,29%,54 : 46,/world-university-rankings/university-british-columbia,university-british-columbia,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
=34,LMU Munich,Germany,76.2,65.4,72.3,91.3,100.0,66.3,"36,091",15.6,15%,61 : 39,/world-university-rankings/lmu-munich,lmu-munich,http://www.wikidata.org/entity/Q55044,grid.5252.0,
36,King’s College London,United Kingdom,75.6,59.3,71.2,94.4,43.9,94.5,"23,207",12.0,41%,62 : 38,/world-university-rankings/kings-college-london,kings-college-london,http://www.wikidata.org/entity/Q245247,grid.13097.3c,
37,University of Illinois at Urbana-Champaign,United States,75.4,65.8,78.9,88.9,56.0,52.8,"43,402",22.8,23%,46 : 54,/world-university-rankings/university-illinois-urbana-champaign,university-illinois-urbana-champaign,http://www.wikidata.org/entity/Q457281,grid.35403.31,
=38,École Polytechnique Fédérale de Lausanne,Switzerland,75.3,58.8,66.8,94.2,76.0,98.7,"9,928",11.2,55%,28 : 72,/world-university-rankings/ecole-polytechnique-federale-de-lausanne,ecole-polytechnique-federale-de-lausanne,http://www.wikidata.org/entity/Q262760,grid.5333.6,
=38,Karolinska Institute,Sweden,75.3,57.0,74.4,95.9,71.4,70.3,"7,424",10.9,19%,68 : 32,/world-university-rankings/karolinska-institute,karolinska-institute,http://www.wikidata.org/entity/Q219564,grid.4714.6,
40,University of Hong Kong,Hong Kong,75.1,68.8,77.9,74.2,54.0,99.5,"18,364",18.0,42%,54 : 46,/world-university-rankings/university-hong-kong,university-hong-kong,http://www.wikidata.org/entity/Q15568,grid.194645.b,
41,Technical University of Munich,Germany,73.5,60.3,71.2,88.4,100.0,66.8,"38,689",54.4,23%,34 : 66,/world-university-rankings/technical-university-munich,technical-university-munich,http://www.wikidata.org/entity/Q157808,grid.6936.a,
42,McGill University,Canada,73.2,63.4,70.8,84.7,39.8,87.5,"30,940",13.3,26%,57 : 43,/world-university-rankings/mcgill-university,mcgill-university,http://www.wikidata.org/entity/Q201492,grid.14709.3b,
43,University of Wisconsin-Madison,United States,73.1,68.4,73.9,86.5,45.8,43.4,"38,960",10.7,12%,51 : 49,/world-university-rankings/university-wisconsin-madison,university-wisconsin-madison,http://www.wikidata.org/entity/Q838330,grid.14003.36,
44,Hong Kong University of Science and Technology,Hong Kong,72.7,55.2,68.4,93.1,58.1,83.4,"10,214",23.1,31%,,/world-university-rankings/hong-kong-university-science-and-technology,hong-kong-university-science-and-technology,http://www.wikidata.org/entity/Q1333303,grid.24515.37,
45,Heidelberg University,Germany,72.3,63.6,62.2,94.2,56.0,64.7,"28,876",23.2,17%,55 : 45,/world-university-rankings/heidelberg-university-0,heidelberg-university-0,http://www.wikidata.org/entity/Q151510,grid.7700.0,
46,The University of Tokyo,Japan,72.2,79.5,85.2,63.7,52.7,32.2,"26,000",6.7,10%,,/world-university-rankings/university-tokyo,university-tokyo,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
47,KU Leuven,Belgium,71.8,54.2,70.9,88.7,99.9,68.3,"44,412",37.1,15%,50 : 50,/world-university-rankings/ku-leuven,ku-leuven,http://www.wikidata.org/entity/Q833670,grid.5596.f,
48,Australian National University,Australia,71.6,52.7,72.0,85.5,61.1,94.3,"15,986",19.3,35%,52 : 48,/world-university-rankings/australian-national-university,australian-national-university,http://www.wikidata.org/entity/Q127990,grid.1001.0,
49,University of Texas at Austin,United States,71.4,60.9,68.3,95.7,48.2,36.7,"48,561",17.1,10%,51 : 49,/world-university-rankings/university-texas-austin,university-texas-austin,http://www.wikidata.org/entity/Q49213,grid.89336.37,
=50,Brown University,United States,70.8,63.8,57.9,96.7,34.1,59.0,"8,898",10.7,20%,,/world-university-rankings/brown-university,brown-university,http://www.wikidata.org/entity/Q49114,grid.40263.33,
=50,Washington University in St Louis,United States,70.8,60.8,59.7,99.4,36.9,52.1,"12,600",7.5,17%,,/world-university-rankings/washington-university-st-louis,washington-university-st-louis,http://www.wikidata.org/entity/Q777403,grid.4367.6,
52,"Nanyang Technological University, Singapore",Singapore,70.5,49.5,63.0,90.7,94.0,95.9,"25,499",16.3,31%,48 : 52,/world-university-rankings/nanyang-technological-university-singapore,nanyang-technological-university-singapore,http://www.wikidata.org/entity/Q721064,grid.59025.3b,
53,"University of California, Santa Barbara",United States,70.0,50.0,61.5,98.8,82.0,65.4,"23,054",28.1,14%,52 : 48,/world-university-rankings/university-california-santa-barbara,university-california-santa-barbara,http://www.wikidata.org/entity/Q263064,grid.133342.4,
=54,"University of California, Davis",United States,69.5,60.9,64.5,86.0,53.4,63.7,"37,365",13.8,10%,56 : 44,/world-university-rankings/university-california-davis,university-california-davis,http://www.wikidata.org/entity/Q129421,grid.27860.3b,
=54,University of Manchester,United Kingdom,69.5,56.3,65.3,84.3,44.1,88.7,"35,318",14.6,38%,52 : 48,/world-university-rankings/university-manchester,university-manchester,http://www.wikidata.org/entity/Q230899,grid.5379.8,
=56,University of Minnesota Twin Cities,United States,69.0,57.6,67.9,87.5,90.4,37.7,"60,949",17.4,11%,51 : 49,/world-university-rankings/university-minnesota-0,university-minnesota-0,http://www.wikidata.org/entity/Q238101,grid.17635.36,
=56,University of North Carolina at Chapel Hill,United States,69.0,57.9,61.8,96.7,39.2,41.5,"34,684",9.7,8%,56 : 44,/world-university-rankings/university-north-carolina-chapel-hill,university-north-carolina-chapel-hill,http://www.wikidata.org/entity/Q192334,grid.10698.36,
58,Chinese University of Hong Kong,Hong Kong,68.5,57.0,64.4,80.6,56.8,86.6,"18,072",17.3,31%,,/world-university-rankings/chinese-university-hong-kong,chinese-university-hong-kong,http://www.wikidata.org/entity/Q15570,grid.10784.3a,
59,University of Amsterdam,Netherlands,68.4,51.3,62.6,91.9,49.9,72.2,"23,495",12.3,12%,57 : 43,/world-university-rankings/university-amsterdam,university-amsterdam,http://www.wikidata.org/entity/Q214341,grid.7177.6,
60,Purdue University,United States,68.2,62.3,68.9,73.4,63.5,69.9,"38,770",17.4,23%,42 : 58,/world-university-rankings/purdue-university,purdue-university,http://www.wikidata.org/entity/Q217741,grid.169077.e,
61,University of Sydney,Australia,67.8,50.2,63.1,85.9,67.9,84.6,"44,553",21.6,32%,57 : 43,/world-university-rankings/university-sydney,university-sydney,http://www.wikidata.org/entity/Q487556,grid.1013.3,
62,Humboldt University of Berlin,Germany,67.4,61.9,67.1,76.1,38.6,65.6,"32,172",56.5,17%,,/world-university-rankings/humboldt-university-berlin,humboldt-university-berlin,http://www.wikidata.org/entity/Q152087,grid.7468.d,
63,Delft University of Technology,Netherlands,67.3,53.4,72.0,68.5,99.8,88.5,"17,057",19.6,27%,28 : 72,/world-university-rankings/delft-university-technology,delft-university-technology,http://www.wikidata.org/entity/Q752663,grid.5292.c,
64,Wageningen University & Research,Netherlands,67.2,46.6,53.6,95.2,100.0,80.6,"12,326",19.7,29%,55 : 45,/world-university-rankings/wageningen-university-research,wageningen-university-research,http://www.wikidata.org/entity/Q422208,grid.4818.5,
65,University of Queensland,Australia,67.0,47.6,59.4,87.8,76.2,88.8,"38,968",35.7,26%,55 : 45,/world-university-rankings/university-queensland,university-queensland,http://www.wikidata.org/entity/Q866012,grid.1003.2,
66,University of Southern California,United States,66.8,49.8,58.4,95.6,37.9,63.0,"38,380",12.8,23%,53 : 47,/world-university-rankings/university-southern-california,university-southern-california,http://www.wikidata.org/entity/Q4614,grid.42505.36,
67,Leiden University,Netherlands,66.0,44.6,63.2,87.8,78.8,70.5,"24,825",18.2,12%,57 : 43,/world-university-rankings/leiden-university,leiden-university,http://www.wikidata.org/entity/Q156598,grid.5132.5,
68,Utrecht University,Netherlands,65.8,45.5,63.1,89.9,72.6,59.6,"31,522",15.2,7%,59 : 41,/world-university-rankings/utrecht-university,utrecht-university,http://www.wikidata.org/entity/Q221653,grid.5477.1,
69,"University of Maryland, College Park",United States,65.7,49.6,63.0,93.5,38.4,39.0,"31,772",16.5,10%,48 : 52,/world-university-rankings/university-maryland-college-park,university-maryland-college-park,http://www.wikidata.org/entity/Q503415,grid.164295.d,
=70,Boston University,United States,65.4,57.1,45.9,97.2,34.0,60.0,"24,833",8.6,25%,60 : 40,/world-university-rankings/boston-university,boston-university,http://www.wikidata.org/entity/Q49110,grid.189504.1,
=70,Ohio State University,United States,65.4,55.5,56.2,88.0,52.0,56.4,"53,190",12.7,13%,49 : 51,/world-university-rankings/ohio-state-university,ohio-state-university,http://www.wikidata.org/entity/Q309331,grid.261331.4,
=72,Erasmus University Rotterdam,Netherlands,65.2,38.9,57.2,96.7,51.7,80.6,"22,047",20.1,20%,49 : 51,/world-university-rankings/erasmus-university-rotterdam,erasmus-university-rotterdam,http://www.wikidata.org/entity/Q633529,grid.6906.9,
=72,Paris Sciences et Lettres – PSL Research University Paris,France,65.2,57.0,52.0,85.0,48.2,76.7,"19,978",10.1,25%,,/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris,paris-sciences-et-lettres-psl-research-university-paris,http://www.wikidata.org/entity/Q1163431,grid.440907.e,
