rank,Name,Location,Overall,Teaching,Rechearch,Citations,Industry_Income,Internationals_Outlook,n_students,student_staff_ratio,n_international_students,m_v_ratio,href,Times_Higher_Education_World_University_ID,item,GRID_ID,fuzz
1,California Institute of Technology,United States,94.9,94.4,98.2,99.8,91.2,65.8,94.9,94.4,98.2,99.8,/world-university-rankings/california-institute-technology,california-institute-technology,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
2,Harvard University,United States,93.9,95.3,98.5,99.1,40.6,66.2,93.9,95.3,98.5,99.1,/world-university-rankings/harvard-university,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
2,University of Oxford,United Kingdom,93.9,89.0,98.5,95.4,90.3,90.2,93.9,89.0,98.5,95.4,/world-university-rankings/university-oxford,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
4,Stanford University,United States,93.8,94.7,96.8,99.1,61.3,68.0,93.8,94.7,96.8,99.1,/world-university-rankings/stanford-university,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
5,Massachusetts Institute of Technology,United States,93.0,92.9,89.0,100.0,94.3,82.0,93.0,92.9,89.0,100.0,/world-university-rankings/massachusetts-institute-technology,massachusetts-institute-technology,http://www.wikidata.org/entity/Q49108,grid.116068.8,
6,Princeton University,United States,92.7,89.9,97.6,99.7,80.5,59.6,92.7,89.9,97.6,99.7,/world-university-rankings/princeton-university,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
7,University of Cambridge,United Kingdom,92.3,90.6,95.3,95.7,52.8,86.7,92.3,90.6,95.3,95.7,/world-university-rankings/university-cambridge,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
8,"University of California, Berkeley",United States,89.8,83.2,97.5,99.3,59.5,57.3,89.8,83.2,97.5,99.3,/world-university-rankings/university-california-berkeley,university-california-berkeley,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
9,University of Chicago,United States,87.8,85.6,88.2,98.0,-,58.6,87.8,85.6,88.2,98.0,/world-university-rankings/university-chicago,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
10,Imperial College London,United Kingdom,87.5,84.5,88.1,90.0,72.3,91.8,87.5,84.5,88.1,90.0,/world-university-rankings/imperial-college-london,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
11,Yale University,United States,87.4,89.5,90.5,93.5,38.7,57.6,87.4,89.5,90.5,93.5,/world-university-rankings/yale-university,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
12,"University of California, Los Angeles",United States,86.3,84.8,91.0,95.6,-,46.4,86.3,84.8,91.0,95.6,/world-university-rankings/university-california-los-angeles,university-california-los-angeles,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
13,Columbia University,United States,85.2,86.6,79.1,95.6,-,68.0,85.2,86.6,79.1,95.6,/world-university-rankings/columbia-university,columbia-university,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
14,ETH Zurich,Switzerland,84.5,77.6,88.2,85.0,78.8,96.7,84.5,77.6,88.2,85.0,/world-university-rankings/eth-zurich,eth-zurich,,grid.5801.c,103.0
15,Johns Hopkins University,United States,83.7,75.7,85.1,95.0,100.0,59.3,83.7,75.7,85.1,95.0,/world-university-rankings/johns-hopkins-university,johns-hopkins-university,http://www.wikidata.org/entity/Q193727,grid.21107.35,
16,University of Pennsylvania,United States,81.0,79.8,81.2,95.0,45.2,40.6,81.0,79.8,81.2,95.0,/world-university-rankings/university-pennsylvania,university-pennsylvania,http://www.wikidata.org/entity/Q49117,grid.25879.31,
17,Duke University,United States,79.3,73.9,73.0,96.7,100.0,50.0,79.3,73.9,73.0,96.7,/world-university-rankings/duke-university,duke-university,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
