,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,unitedstates,100,100,100,100,100,100,72.4,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,1,University of Cambridge,University-of-Cambridge,unitedkingdom,73.6,99.8,93.4,53.3,56.6,70.9,66.9,http://www.wikidata.org/entity/Q35794,grid.5335.0,
2,3,2,Stanford University,Stanford-University,unitedstates,73.4,41.1,72.2,88.5,70.9,72.3,65,http://www.wikidata.org/entity/Q41506,grid.168010.e,
3,4,3,"University of California, Berkeley",University-of-California-Berkeley,unitedstates,72.8,71.8,76,69.4,73.9,72.2,52.7,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
4,5,4,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),unitedstates,70.1,74,80.6,66.7,65.8,64.3,53,http://www.wikidata.org/entity/Q49108,grid.116068.8,
5,6,5,California Institute of Technology,California-Institute-of-Technology,unitedstates,67.1,59.2,68.6,59.8,65.8,52.5,100,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
6,7,6,Columbia University,Columbia-University,unitedstates,62.3,79.4,60.6,56.1,54.2,69.5,45.4,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
7,8,7,Princeton University,Princeton-University,unitedstates,60.9,63.4,76.8,60.9,48.7,48.5,59.1,http://www.wikidata.org/entity/Q21578,grid.16750.35,
8,9,8,University of Chicago,University-of-Chicago,unitedstates,60.1,75.6,81.9,50.3,44.7,56.4,42.2,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,10,2,University of Oxford,University-of-Oxford,unitedkingdom,59.7,64.3,59.1,48.4,55.6,68.4,53.2,http://www.wikidata.org/entity/Q34433,grid.4991.5,
10,11,9,Yale University,Yale-University,unitedstates,56.9,52.1,44.5,60.3,57.2,63.9,49.3,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,Cornell University,Cornell-University,unitedstates,54.6,46.5,52.4,55,48.8,66.3,39.8,http://www.wikidata.org/entity/Q49115,grid.5386.8,
12,13,11,"University of California, San Diego",University-of-California-San-Diego,unitedstates,51,17.7,34.7,59.8,56.5,64.5,46.6,http://www.wikidata.org/entity/Q622664,grid.266100.3,
13,14,12,"University of California, Los Angeles",University-of-California-Los-Angeles,unitedstates,50.6,27.3,32.8,56.7,50.1,75.6,34.3,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
14,15,13,University of Pennsylvania,University-of-Pennsylvania,unitedstates,50.2,35.5,35.1,56.7,42.9,71.8,39.1,http://www.wikidata.org/entity/Q49117,grid.25879.31,
15,16,14,University of Wisconsin - Madison,University-of-Wisconsin---Madison,unitedstates,49.2,43,36.3,52.1,46.3,68.7,29,http://www.wikidata.org/entity/Q838330,grid.14003.36,
16,17,15,University of Washington,University-of-Washington,unitedstates,48.4,28.8,32.4,53.9,47.1,73.8,27.2,http://www.wikidata.org/entity/Q219563,grid.34477.33,
17,18,16,"University of California, San Francisco",University-of-California-San-Francisco,unitedstates,47.8,0,37.6,55.6,57.9,58.8,45.2,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
18,19,17,The Johns Hopkins University,The-Johns-Hopkins-University,unitedstates,46.9,51.4,28.3,41.6,52.2,67.7,24.9,,grid.21107.35,103
19,20,1,The University of Tokyo,The-University-of-Tokyo,japan,46.7,36,14.4,38.5,52.1,86.5,34.7,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
20,21,18,University of Michigan - Ann Arbor,University-of-Michigan---Ann-Arbor,unitedstates,44.9,43,0,61.9,43,76.5,30.9,,grid.214458.e,103
21,22,2,Kyoto University,Kyoto-University,japan,43.8,39.7,34.1,34.2,37,72.3,31.1,http://www.wikidata.org/entity/Q336264,grid.258799.8,
22,23,3,"The Imperial College of Science, Technology and Medicine",The-Imperial-College-of-Science-Technology-and-Medicine,unitedkingdom,43.7,20.8,38.1,40.8,38.2,64.6,40.3,,grid.7445.2,103
