,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,unitedstates,100,100,100,100,100,100,74.1,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,2,Stanford University,Stanford-University,unitedstates,73.7,40,78.7,86.6,68.9,71.6,66.9,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,3,"University of California, Berkeley",University-of-California-Berkeley,unitedstates,71.4,69,77.1,68.8,70.6,70,53,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
3,4,1,University of Cambridge,University-of-Cambridge,unitedkingdom,70.4,90.3,91.5,53.6,56,64.1,65,http://www.wikidata.org/entity/Q35794,grid.5335.0,
4,5,4,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),unitedstates,69.6,71,80.6,65.6,68.7,61.6,53.9,http://www.wikidata.org/entity/Q49108,grid.116068.8,
5,6,5,California Institute of Technology,California-Institute-of-Technology,unitedstates,65.4,52.8,69.1,57.4,66.1,49.7,100,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
6,7,6,Columbia University,Columbia-University,unitedstates,62.5,72.4,65.7,56.5,52.3,70.5,46.6,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
7,8,7,Princeton University,Princeton-University,unitedstates,58.9,59.3,80.4,61.9,40.5,44.8,59.3,http://www.wikidata.org/entity/Q21578,grid.16750.35,
8,9,8,University of Chicago,University-of-Chicago,unitedstates,57.1,67.4,81.9,50.5,39.5,51.9,41.3,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,10,2,University of Oxford,University-of-Oxford,unitedkingdom,56.8,59,57.9,48.4,52,66,45.7,http://www.wikidata.org/entity/Q34433,grid.4991.5,
10,11,9,Yale University,Yale-University,unitedstates,54.9,48.5,43.6,57,55.7,62.4,48.7,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,Cornell University,Cornell-University,unitedstates,54.1,41.5,51.3,54.1,52.3,64.7,40.4,http://www.wikidata.org/entity/Q49115,grid.5386.8,
12,13,11,"University of California, Los Angeles",University-of-California-Los-Angeles,unitedstates,52.4,24.4,42.8,57.4,48.9,75.7,36,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
13,14,12,"University of California, San Diego",University-of-California-San-Diego,unitedstates,50.3,15.8,34,59.7,53,66.7,47.4,http://www.wikidata.org/entity/Q622664,grid.266100.3,
14,15,13,University of Pennsylvania,University-of-Pennsylvania,unitedstates,49,31.7,34.4,58.3,41.3,69,39.2,http://www.wikidata.org/entity/Q49117,grid.25879.31,
15,16,14,University of Washington,University-of-Washington,unitedstates,48.3,25.7,31.8,53.1,49.5,74.1,28,http://www.wikidata.org/entity/Q219563,grid.34477.33,
16,17,15,University of Wisconsin - Madison,University-of-Wisconsin---Madison,unitedstates,47.4,38.4,35.5,52.6,41.2,68.1,28.8,http://www.wikidata.org/entity/Q838330,grid.14003.36,
17,18,16,"University of California, San Francisco",University-of-California-San-Francisco,unitedstates,46.6,0,36.8,54.1,51.5,60.8,47.5,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
18,19,1,The University of Tokyo,The-University-of-Tokyo,japan,46.4,32.2,14.1,43.1,51.9,83.3,35,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
19,20,17,The Johns Hopkins University,The-Johns-Hopkins-University,unitedstates,45.5,45.8,27.8,43.1,48.7,68.5,24.8,,grid.21107.35,103
20,21,18,University of Michigan - Ann Arbor,University-of-Michigan---Ann-Arbor,unitedstates,44.2,38.4,0,60.6,41.7,78.1,31.4,,grid.214458.e,103
21,22,3,University College London,University-College-London,unitedkingdom,44,31.2,32.2,38.6,44.3,65.8,35.4,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
22,23,2,Kyoto University,Kyoto-University,japan,43.5,35.4,33.4,38.6,35.8,70.6,31.5,http://www.wikidata.org/entity/Q336264,grid.258799.8,
23,24,1,Swiss Federal Institute of Technology Zurich,Swiss-Federal-Institute-of-Technology-Zurich,switzerland,43.1,35.9,36.3,36.1,38.1,53.6,56,http://www.wikidata.org/entity/Q11942,grid.5801.c,
24,24,1,University of Toronto,University-of-Toronto,canada,43.1,25,19.3,38.6,37,79.8,45.8,http://www.wikidata.org/entity/Q180865,grid.17063.33,
25,26,19,University of Illinois at Urbana-Champaign,University-of-Illinois-at-Urbana-Champaign,unitedstates,42.9,37.1,36.6,43.8,36.1,60.3,26.9,http://www.wikidata.org/entity/Q457281,grid.35403.31,
26,27,4,"The Imperial College of Science, Technology and Medicine",The-Imperial-College-of-Science-Technology-and-Medicine,unitedkingdom,42.4,18.6,37.4,39.9,38.2,61.8,39.4,,grid.7445.2,103
27,28,20,"University of Minnesota, Twin Cities",University-of-Minnesota-Twin-Cities,unitedstates,40.4,32.2,16.3,50,34.8,67.5,24.4,http://www.wikidata.org/entity/Q238101,grid.17635.36,
28,29,21,Washington University in St. Louis,Washington-University-in-St-Louis,unitedstates,40.1,22.4,26,38.6,43.2,56,40.5,http://www.wikidata.org/entity/Q777403,grid.4367.6,
29,30,22,Northwestern University,Northwestern-University,unitedstates,38.1,19.4,18.9,46.7,32.8,58.7,37.7,http://www.wikidata.org/entity/Q309350,grid.16753.36,
30,31,23,New York University,New-York-University,unitedstates,37.4,34.1,24.5,39.9,34.4,53.4,25.9,http://www.wikidata.org/entity/Q49210,grid.137628.9,
31,32,24,Duke University,Duke-University,unitedstates,37.2,18.6,0,46.1,42.6,63.4,39.8,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
32,32,24,Rockefeller University,Rockefeller-University,unitedstates,37.2,20.2,58.6,29.2,42.2,22.3,37.9,http://www.wikidata.org/entity/Q270272,grid.134907.8,
33,34,26,University of Colorado at Boulder,University-of-Colorado-at-Boulder,unitedstates,36.4,14.8,30.8,39.3,39.4,45.5,30.4,http://www.wikidata.org/entity/Q736674,grid.266190.a,
34,35,2,University of British Columbia,University-of-British-Columbia,canada,36.3,18.6,18.9,31.8,31.9,65.8,38.2,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
35,36,27,"University of California, Santa Barbara",University-of-California-Santa-Barbara,unitedstates,35.5,0,35.3,41.9,34.9,43.2,35.4,http://www.wikidata.org/entity/Q263064,grid.133342.4,
36,37,28,"University of Maryland, College Park",University-of-Maryland-College-Park,unitedstates,34.6,23.1,20,40.6,30.4,53.1,26.1,http://www.wikidata.org/entity/Q503415,grid.164295.d,
37,38,29,University of North Carolina at Chapel Hill,University-of-North-Carolina-at-Chapel-Hill,unitedstates,33.9,11.2,16.3,37.9,28.8,62,29.1,http://www.wikidata.org/entity/Q192334,grid.10698.36,
38,39,30,The University of Texas at Austin,The-University-of-Texas-at-Austin,unitedstates,33.7,19.4,16.7,46.1,26.7,54.2,21.3,http://www.wikidata.org/entity/Q49213,grid.89336.37,
39,40,5,The University of Manchester,The-University-of-Manchester,unitedkingdom,33.6,24.4,18.9,28.2,28.3,60.5,30.4,http://www.wikidata.org/entity/Q230899,grid.5379.8,
40,41,31,The University of Texas Southwestern Medical Center at Dallas,The-University-of-Texas-Southwestern-Medical-Center-at-Dallas,unitedstates,33.3,21.7,33.2,30.9,31.7,39.3,32.1,http://www.wikidata.org/entity/Q2725999,grid.267313.2,
41,42,32,Pennsylvania State University - University Park,Pennsylvania-State-University---University-Park,unitedstates,33.1,12.5,0,45.5,38.5,58.9,24.4,http://www.wikidata.org/entity/Q739627,grid.29857.31,
42,42,1,Pierre and Marie  Curie University - Paris 6,Pierre-and-Marie--Curie-University---Paris-6,france,33.1,36.6,23.6,23.1,27.3,58.2,21.3,,grid.5805.8,103
43,42,32,Vanderbilt University,Vanderbilt-University,unitedstates,33.1,18.6,29.6,30.9,23.1,50.3,36,http://www.wikidata.org/entity/Q29052,grid.152326.1,
44,45,1,University of Copenhagen,University-of-Copenhagen,denmark,33,27.4,24.2,26.3,25.4,54.5,33.4,http://www.wikidata.org/entity/Q186285,grid.5254.6,
45,46,34,"University of California, Irvine",University-of-California-Irvine,unitedstates,32.8,0,29.4,37.2,27.5,49.3,32.9,http://www.wikidata.org/entity/Q868421,grid.266093.8,
46,47,1,Utrecht University,Utrecht-University,netherlands,32.4,27.4,20.9,28.2,28.8,53.3,26,http://www.wikidata.org/entity/Q221653,grid.5477.1,
47,48,35,"University of California, Davis",University-of-California-Davis,unitedstates,32.2,0,0,46.7,31.7,63.2,30,http://www.wikidata.org/entity/Q129421,grid.27860.3b,
48,49,2,University of Paris Sud (Paris 11),University-of-Paris-Sud-(Paris-11),france,32.1,33.3,46.2,14.6,20.4,47,23.1,http://www.wikidata.org/entity/Q1480643,grid.5842.b,
49,50,36,University of Southern California,University-of-Southern-California,unitedstates,32,0,26.8,38.6,24.7,52.6,26.7,http://www.wikidata.org/entity/Q4614,grid.42505.36,
50,51,1,Karolinska Institute,Karolinska-Institute,sweden,31.6,27.4,27.3,31.8,18.3,50.1,25.7,http://www.wikidata.org/entity/Q219564,grid.4714.6,
51,52,37,University of Pittsburgh,University-of-Pittsburgh,unitedstates,31.3,22.4,0,40.6,23.2,63.1,28.3,,grid.21925.3d,101
52,53,2,University of Zurich,University-of-Zurich,switzerland,31,11.2,26.8,24.7,27.5,50.2,32.4,http://www.wikidata.org/entity/Q206702,grid.7400.3,
53,54,38,"Rutgers, The State University of New Jersey",Rutgers-The-State-University-of-New-Jersey,unitedstates,30.9,13.7,20,39.9,27.9,44,23.8,,grid.430387.b,103
