,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,usa,100.0,100.0,100.0,100.0,100.0,100.0,75.3,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,2,Stanford University,Stanford-University,usa,72.1,41.8,82.8,79.8,71.1,70.9,51.9,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,3,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),usa,70.5,68.4,80.7,60.6,73.6,61.5,67.1,http://www.wikidata.org/entity/Q49108,grid.116068.8,
3,4,4,University of California-Berkeley,University-of-California-Berkeley,usa,70.1,66.8,79.4,65.3,67.5,68.1,55.9,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
4,5,1,University of Cambridge,University-of-Cambridge,uk,69.2,79.1,96.6,50.8,56.2,66.5,55.2,http://www.wikidata.org/entity/Q35794,grid.5335.0,
5,6,5,Princeton University,Princeton-University,usa,60.7,52.1,88.5,57.1,46.2,44.2,68.1,http://www.wikidata.org/entity/Q21578,grid.16750.35,
6,7,6,California Institute of Technology,California-Institute-of-Technology,usa,60.5,48.5,66.7,49.3,60.0,44.9,100.0,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
7,8,7,Columbia University,Columbia-University,usa,59.6,65.1,65.9,51.6,55.0,69.1,33.1,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
8,9,8,University of Chicago,University-of-Chicago,usa,57.4,61.4,86.3,48.4,43.0,50.7,41.5,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,9,2,University of Oxford,University-of-Oxford,uk,57.4,51.0,54.9,52.8,52.7,72.7,43.0,http://www.wikidata.org/entity/Q34433,grid.4991.5,
10,11,9,Yale University,Yale-University,usa,55.2,48.8,50.4,51.0,61.5,62.9,37.7,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,"University of California, Los Angeles",University-of-California-Los-Angeles,usa,51.9,30.2,47.1,52.8,50.9,71.3,31.7,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
12,13,11,Cornell University,Cornell-University,usa,50.6,37.6,49.8,50.4,46.9,61.0,39.7,http://www.wikidata.org/entity/Q49115,grid.5386.8,
13,14,12,"University of California, San Diego",University-of-California-San-Diego,usa,49.3,19.7,35.5,56.1,55.7,65.0,36.5,http://www.wikidata.org/entity/Q622664,grid.266100.3,
14,15,13,University of Washington,University-of-Washington,usa,48.1,21.7,31.6,53.0,53.1,71.6,29.0,http://www.wikidata.org/entity/Q219563,grid.34477.33,
15,16,14,University of Pennsylvania,University-of-Pennsylvania,usa,47.1,32.4,33.8,49.6,44.6,66.9,37.3,http://www.wikidata.org/entity/Q49117,grid.25879.31,
16,17,15,The Johns Hopkins University,The-Johns-Hopkins-University,usa,47.0,38.7,33.6,44.0,47.8,70.2,28.7,,grid.21107.35,103.0
17,18,16,"University of California, San Francisco",University-of-California-San-Francisco,usa,45.2,0.0,39.9,46.8,56.5,59.9,34.9,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
18,19,1,Swiss Federal Institute of Technology Zurich,Swiss-Federal-Institute-of-Technology-Zurich,switzerland,43.9,30.2,35.5,38.4,46.7,55.6,45.8,http://www.wikidata.org/entity/Q11942,grid.5801.c,
19,20,3,University College London,University-College-London,uk,43.3,28.8,29.5,39.2,40.7,71.6,31.5,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
