,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,unitedstates,100.0,100.0,100.0,100.0,100.0,100.0,72.5,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,2,Stanford University,Stanford-University,unitedstates,72.6,40.0,80.7,88.9,68.7,69.4,50.4,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,3,"University of California, Berkeley",University-of-California-Berkeley,unitedstates,71.3,67.8,79.0,69.7,68.5,68.1,54.7,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
3,4,4,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),unitedstates,71.1,68.0,81.3,68.2,69.7,60.1,65.0,http://www.wikidata.org/entity/Q49108,grid.116068.8,
4,5,1,University of Cambridge,University-of-Cambridge,unitedkingdom,69.6,79.1,97.3,54.6,54.0,66.2,53.3,http://www.wikidata.org/entity/Q35794,grid.5335.0,
5,6,5,California Institute of Technology,California-Institute-of-Technology,unitedstates,62.9,47.8,67.2,57.4,62.0,45.2,100.0,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
6,7,6,Princeton University,Princeton-University,unitedstates,61.9,52.9,89.2,62.2,45.8,44.0,66.9,http://www.wikidata.org/entity/Q21578,grid.16750.35,
7,8,7,Columbia University,Columbia-University,unitedstates,59.8,66.1,66.4,57.4,49.8,68.0,31.9,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
8,9,8,University of Chicago,University-of-Chicago,unitedstates,57.1,60.9,83.4,52.2,41.9,49.8,39.5,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,10,2,University of Oxford,University-of-Oxford,unitedkingdom,55.9,51.8,55.3,48.9,51.3,69.9,41.2,http://www.wikidata.org/entity/Q34433,grid.4991.5,
10,11,9,Yale University,Yale-University,unitedstates,55.4,47.5,44.5,59.7,60.7,62.4,36.3,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,"University of California, Los Angeles",University-of-California-Los-Angeles,unitedstates,52.9,27.3,47.4,57.7,51.7,71.2,31.1,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
12,13,11,Cornell University,Cornell-University,unitedstates,50.0,38.2,50.2,54.9,45.0,55.2,37.6,http://www.wikidata.org/entity/Q49115,grid.5386.8,
13,14,12,"University of California, San Diego",University-of-California-San-Diego,unitedstates,49.9,20.0,35.8,60.3,55.5,63.4,35.5,http://www.wikidata.org/entity/Q622664,grid.266100.3,
14,15,13,University of Pennsylvania,University-of-Pennsylvania,unitedstates,49.6,33.0,34.1,57.9,47.4,66.7,37.7,http://www.wikidata.org/entity/Q49117,grid.25879.31,
15,16,14,University of Washington,University-of-Washington,unitedstates,48.3,22.0,31.8,55.1,52.3,70.8,27.9,http://www.wikidata.org/entity/Q219563,grid.34477.33,
16,17,15,The Johns Hopkins University,The-Johns-Hopkins-University,unitedstates,46.9,39.3,33.9,42.2,49.7,68.8,27.4,,grid.21107.35,103.0
17,18,16,"University of California, San Francisco",University-of-California-San-Francisco,unitedstates,46.2,0.0,40.2,53.7,54.1,59.3,34.1,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
18,19,17,University of Wisconsin - Madison,University-of-Wisconsin---Madison,unitedstates,44.9,32.1,35.0,52.1,39.3,63.3,25.1,http://www.wikidata.org/entity/Q838330,grid.14003.36,
19,20,1,Swiss Federal Institute of Technology Zurich,Swiss-Federal-Institute-of-Technology-Zurich,switzerland,43.5,30.7,35.8,36.7,46.6,54.7,44.4,http://www.wikidata.org/entity/Q11942,grid.5801.c,
20,21,1,The University of Tokyo,The-University-of-Tokyo,japan,43.0,32.1,14.2,42.5,50.0,72.2,27.8,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
21,21,3,University College London,University-College-London,unitedkingdom,43.0,29.3,29.7,39.6,42.1,67.5,31.3,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
22,23,18,University of Michigan - Ann Arbor,University-of-Michigan---Ann-Arbor,unitedstates,42.6,33.4,0.0,60.5,42.0,75.7,24.7,,grid.214458.e,103.0
23,24,4,"The Imperial College of Science, Technology and Medicine",The-Imperial-College-of-Science-Technology-and-Medicine,unitedkingdom,41.6,15.1,36.1,41.6,39.0,60.4,35.7,,grid.7445.2,103.0
24,25,19,University of Illinois at Urbana-Champaign,University-of-Illinois-at-Urbana-Champaign,unitedstates,41.1,31.2,36.5,43.3,35.9,54.2,28.4,http://www.wikidata.org/entity/Q457281,grid.35403.31,
25,26,2,Kyoto University,Kyoto-University,japan,40.8,30.7,37.5,38.9,35.1,60.2,23.2,http://www.wikidata.org/entity/Q336264,grid.258799.8,
26,27,20,New York University,New-York-University,unitedstates,40.5,29.3,32.2,42.2,40.8,55.5,22.8,http://www.wikidata.org/entity/Q49210,grid.137628.9,
27,28,1,University of Toronto,University-of-Toronto,canada,40.3,20.7,17.3,39.0,38.2,77.6,27.4,http://www.wikidata.org/entity/Q180865,grid.17063.33,
28,29,21,"University of Minnesota, Twin Cities",University-of-Minnesota-Twin-Cities,unitedstates,39.7,27.3,16.4,51.1,34.7,64.3,25.5,http://www.wikidata.org/entity/Q238101,grid.17635.36,
29,30,22,Northwestern University,Northwestern-University,unitedstates,38.9,16.0,22.2,48.5,39.1,57.5,27.1,http://www.wikidata.org/entity/Q309350,grid.16753.36,
30,31,23,Duke University,Duke-University,unitedstates,38.1,16.0,15.0,46.5,42.8,61.6,22.5,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
31,32,24,Washington University in St. Louis,Washington-University-in-St-Louis,unitedstates,37.5,19.3,25.1,39.0,44.2,52.1,24.9,http://www.wikidata.org/entity/Q777403,grid.4367.6,
32,33,25,University of Colorado at Boulder,University-of-Colorado-at-Boulder,unitedstates,37.3,13.1,34.3,39.6,39.2,45.0,33.6,http://www.wikidata.org/entity/Q736674,grid.266190.a,
33,34,26,Rockefeller University,Rockefeller-University,unitedstates,37.1,17.7,60.2,28.9,43.1,20.4,38.1,http://www.wikidata.org/entity/Q270272,grid.134907.8,
34,35,27,"University of California, Santa Barbara",University-of-California-Santa-Barbara,unitedstates,35.9,15.1,35.4,42.7,30.9,39.3,37.2,http://www.wikidata.org/entity/Q263064,grid.133342.4,
35,36,28,The University of Texas at Austin,The-University-of-Texas-at-Austin,unitedstates,35.4,16.9,16.4,45.7,34.9,54.2,25.5,http://www.wikidata.org/entity/Q49213,grid.89336.37,
36,37,1,Pierre and Marie  Curie University - Paris 6,Pierre-and-Marie--Curie-University---Paris-6,france,35.3,35.1,27.6,25.1,30.8,59.1,22.8,,grid.5805.8,103.0
37,38,29,"University of Maryland, College Park",University-of-Maryland-College-Park,unitedstates,34.7,20.0,20.1,41.5,31.5,52.6,26.3,http://www.wikidata.org/entity/Q503415,grid.164295.d,
38,39,2,University of Paris Sud (Paris 11),University-of-Paris-Sud-(Paris-11),france,34.5,31.6,54.7,16.2,19.7,48.7,25.7,http://www.wikidata.org/entity/Q1480643,grid.5842.b,
39,40,2,University of British Columbia,University-of-British-Columbia,canada,34.2,16.0,19.0,32.4,31.9,63.6,22.9,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
40,41,5,The University of Manchester,The-University-of-Manchester,unitedkingdom,34.0,19.3,32.8,27.7,26.0,57.0,24.4,http://www.wikidata.org/entity/Q230899,grid.5379.8,
41,42,1,University of Copenhagen,University-of-Copenhagen,denmark,33.8,22.7,19.0,25.9,30.3,60.2,35.0,http://www.wikidata.org/entity/Q186285,grid.5254.6,
42,43,30,University of North Carolina at Chapel Hill,University-of-North-Carolina-at-Chapel-Hill,unitedstates,33.7,9.3,16.4,39.6,32.8,58.6,23.5,http://www.wikidata.org/entity/Q192334,grid.10698.36,
43,44,1,Karolinska Institute,Karolinska-Institute,sweden,32.7,23.3,26.8,32.4,20.9,49.2,35.9,http://www.wikidata.org/entity/Q219564,grid.4714.6,
44,45,31,"University of California, Irvine",University-of-California-Irvine,unitedstates,32.4,0.0,29.5,36.9,30.7,46.8,27.1,http://www.wikidata.org/entity/Q868421,grid.266093.8,
45,46,32,The University of Texas Southwestern Medical Center at Dallas,The-University-of-Texas-Southwestern-Medical-Center-at-Dallas,unitedstates,31.4,19.3,34.7,30.6,32.9,34.6,20.6,http://www.wikidata.org/entity/Q2725999,grid.267313.2,
46,47,33,"University of California, Davis",University-of-California-Davis,unitedstates,31.3,0.0,0.0,47.3,33.6,58.6,25.8,http://www.wikidata.org/entity/Q129421,grid.27860.3b,
47,47,33,University of Southern California,University-of-Southern-California,unitedstates,31.3,0.0,26.8,39.6,25.1,51.3,19.1,http://www.wikidata.org/entity/Q4614,grid.42505.36,
48,49,35,Vanderbilt University,Vanderbilt-University,unitedstates,31.0,16.0,29.2,32.4,21.0,50.9,18.4,http://www.wikidata.org/entity/Q29052,grid.152326.1,
49,50,1,Technical University Munich,Technical-University-Munich,germany,30.6,36.3,21.7,24.6,22.4,46.7,30.4,http://www.wikidata.org/entity/Q157808,grid.6936.a,
50,51,6,The University of Edinburgh,The-University-of-Edinburgh,unitedkingdom,30.5,21.4,13.4,27.1,33.6,50.9,25.3,http://www.wikidata.org/entity/Q160302,grid.4305.2,
51,52,36,Carnegie Mellon University,Carnegie-Mellon-University,unitedstates,30.4,33.0,31.8,30.7,18.1,34.0,33.6,http://www.wikidata.org/entity/Q190080,grid.147455.6,
52,52,1,Utrecht University,Utrecht-University,netherlands,30.4,23.9,20.1,29.9,25.9,47.1,25.1,http://www.wikidata.org/entity/Q221653,grid.5477.1,
53,54,37,Pennsylvania State University - University Park,Pennsylvania-State-University---University-Park,unitedstates,30.2,10.7,0.0,47.1,31.4,52.0,21.8,http://www.wikidata.org/entity/Q739627,grid.29857.31,
54,54,2,University of Heidelberg,University-of-Heidelberg,germany,30.2,14.1,25.5,19.1,28.5,51.1,30.9,,grid.7700.0,103.0
55,54,1,University of Melbourne,University-of-Melbourne,australia,30.2,17.7,13.4,24.0,24.4,62.5,27.1,,grid.1008.9,101.0
56,57,38,Purdue University - West Lafayette,Purdue-University---West-Lafayette,unitedstates,30.1,14.1,23.2,28.9,26.7,49.6,21.7,http://www.wikidata.org/entity/Q217741,grid.169077.e,
57,58,3,McGill University,McGill-University,canada,29.9,31.6,0.0,31.5,26.1,58.8,25.9,http://www.wikidata.org/entity/Q201492,grid.14709.3b,
58,59,1,The Hebrew University of Jerusalem,The-Hebrew-University-of-Jerusalem,israel,29.8,33.4,28.4,25.1,21.5,38.7,28.8,http://www.wikidata.org/entity/Q174158,grid.9619.7,
59,60,2,University of Zurich,University-of-Zurich,switzerland,29.7,5.3,24.2,25.9,28.1,50.9,25.3,http://www.wikidata.org/entity/Q206702,grid.7400.3,
60,61,39,"Rutgers, The State University of New Jersey - New Brunswick",Rutgers-The-State-University-of-New-Jersey---New-Brunswick,unitedstates,29.5,10.7,19.0,38.9,26.2,43.0,22.1,http://www.wikidata.org/entity/Q499451,grid.430387.b,
61,61,3,University of Munich,University-of-Munich,germany,29.5,26.7,19.3,16.2,28.1,51.2,30.4,http://www.wikidata.org/entity/Q55044,grid.5252.0,
62,61,39,University of Pittsburgh,University-of-Pittsburgh,unitedstates,29.5,19.3,0.0,42.2,21.8,60.8,18.0,,grid.21925.3d,101.0
63,64,7,University of Bristol,University-of-Bristol,unitedkingdom,29.2,7.6,16.4,28.9,32.8,45.7,28.8,http://www.wikidata.org/entity/Q459506,grid.5337.2,
64,65,41,The Ohio State University - Columbus,The-Ohio-State-University---Columbus,unitedstates,29.0,13.1,0.0,40.5,25.9,58.9,18.0,http://www.wikidata.org/entity/Q309331,grid.261331.4,
65,66,2,The Australian National University,The-Australian-National-University,australia,28.9,14.1,19.4,32.3,24.0,43.0,29.3,http://www.wikidata.org/entity/Q127990,grid.1001.0,
66,67,42,Brown University,Brown-University,unitedstates,28.8,15.1,13.4,32.4,27.7,42.6,32.6,http://www.wikidata.org/entity/Q49114,grid.40263.33,
67,67,8,King's College London,Kings-College-London,unitedkingdom,28.8,13.1,21.2,30.7,17.4,52.5,23.2,http://www.wikidata.org/entity/Q245247,grid.13097.3c,
68,69,3,University of Geneva,University-of-Geneva,switzerland,28.7,22.7,28.4,20.5,27.9,37.7,27.5,http://www.wikidata.org/entity/Q503473,grid.8591.5,
69,69,1,University of Oslo,University-of-Oslo,norway,28.7,18.5,32.8,17.7,16.5,50.6,25.6,http://www.wikidata.org/entity/Q486156,grid.5510.1,
70,71,3,Ecole Normale Superieure - Paris,Ecole-Normale-Superieure---Paris,france,28.5,51.0,28.2,12.4,16.7,26.7,58.3,http://www.wikidata.org/entity/Q83259,grid.5607.4,
71,71,43,University of Florida,University-of-Florida,unitedstates,28.5,17.7,0.0,37.4,22.5,61.0,17.6,http://www.wikidata.org/entity/Q501758,grid.15276.37,
72,73,2,Uppsala University,Uppsala-University,sweden,28.0,18.5,27.6,14.5,24.7,47.9,24.7,http://www.wikidata.org/entity/Q185246,grid.8993.b,
73,74,2,Leiden University,Leiden-University,netherlands,27.8,18.5,9.5,28.9,23.0,47.9,33.1,http://www.wikidata.org/entity/Q156598,grid.5132.5,
