,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,unitedstates,100,100,100,100,100,100,71.1,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,2,Stanford University,Stanford-University,unitedstates,72.8,38,79.7,88.9,71.6,69.6,49.2,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,3,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),unitedstates,71.8,69,83.2,68.2,69.2,61.6,64.1,http://www.wikidata.org/entity/Q49108,grid.116068.8,
3,4,4,"University of California, Berkeley",University-of-California-Berkeley,unitedstates,71.6,67.5,80.9,69.7,68.5,68.1,53.4,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
4,5,1,University of Cambridge,University-of-Cambridge,unitedkingdom,69.8,80.3,97.2,54.6,55,65.9,52.1,http://www.wikidata.org/entity/Q35794,grid.5335.0,
5,6,5,California Institute of Technology,California-Institute-of-Technology,unitedstates,64.1,48.5,68.8,57.4,64.8,46.2,100,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
6,7,6,Princeton University,Princeton-University,unitedstates,62.1,52.3,91.3,62.2,44.4,44.5,66.3,http://www.wikidata.org/entity/Q21578,grid.16750.35,
7,8,7,Columbia University,Columbia-University,unitedstates,60.1,64.2,68,57.4,51.2,67.8,31,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
8,9,8,University of Chicago,University-of-Chicago,unitedstates,57.2,61.8,85.3,52.2,40.6,49.2,38.9,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,10,2,University of Oxford,University-of-Oxford,unitedkingdom,56.1,51.2,56.6,48.9,52.1,68.9,40.3,http://www.wikidata.org/entity/Q34433,grid.4991.5,
10,11,9,Yale University,Yale-University,unitedstates,54.8,45.7,45.5,59.7,58,62.3,35.9,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,"University of California, Los Angeles",University-of-California-Los-Angeles,unitedstates,52.2,27.7,43.4,57.7,51.5,72.2,30.1,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
12,13,11,Cornell University,Cornell-University,unitedstates,50.8,38.7,51.3,54.9,47,55.5,37.2,http://www.wikidata.org/entity/Q49115,grid.5386.8,
13,14,12,University of Pennsylvania,University-of-Pennsylvania,unitedstates,50.5,33.4,34.9,57.9,49.3,67.9,37,http://www.wikidata.org/entity/Q49117,grid.25879.31,
14,15,13,"University of California, San Diego",University-of-California-San-Diego,unitedstates,49.6,20.3,36.6,60.3,52.8,64,34.1,http://www.wikidata.org/entity/Q622664,grid.266100.3,
15,16,14,University of Washington,University-of-Washington,unitedstates,48.4,22.4,32.5,55.1,51.2,71.3,27.2,http://www.wikidata.org/entity/Q219563,grid.34477.33,
16,17,15,The Johns Hopkins University,The-Johns-Hopkins-University,unitedstates,47.4,39.9,34.6,42.2,49.9,69.5,28.3,,grid.21107.35,103
