,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,unitedstates,100,100,100,100,100,100,74.8,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,2,Stanford University,Stanford-University,unitedstates,73.1,39,78.7,87.1,67.3,70.1,66.9,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,3,"University of California, Berkeley",University-of-California-Berkeley,unitedstates,71,67.4,77.1,68.4,71.1,69,53.2,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
3,4,1,University of Cambridge,University-of-Cambridge,unitedkingdom,70.2,89.4,91.5,53.8,53.9,65.4,65.5,http://www.wikidata.org/entity/Q35794,grid.5335.0,
4,5,4,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),unitedstates,69.5,71,80.6,65.7,67.9,62,54.4,http://www.wikidata.org/entity/Q49108,grid.116068.8,
5,6,5,California Institute of Technology,California-Institute-of-Technology,unitedstates,64.8,51.5,69.1,57.1,66.2,47.7,100,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
6,7,6,Columbia University,Columbia-University,unitedstates,61.7,70.6,67.7,55.7,49.1,69.6,46.5,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
7,8,7,Princeton University,Princeton-University,unitedstates,60.2,57.8,85.2,61.6,41.5,45.7,61.4,http://www.wikidata.org/entity/Q21578,grid.16750.35,
8,9,8,University of Chicago,University-of-Chicago,unitedstates,57,65.8,84.3,49.7,38.6,51.6,41.8,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,10,2,University of Oxford,University-of-Oxford,unitedkingdom,56.3,57.6,57.9,48.9,49.8,66.1,45.7,http://www.wikidata.org/entity/Q34433,grid.4991.5,
10,11,9,Yale University,Yale-University,unitedstates,55.2,49.8,43.6,57.6,55.7,62.7,49.5,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,Cornell University,Cornell-University,unitedstates,53.1,40.5,51.3,54.3,51.7,61.2,39.9,http://www.wikidata.org/entity/Q49115,grid.5386.8,
12,13,11,"University of California, Los Angeles",University-of-California-Los-Angeles,unitedstates,52.3,23.8,42.8,57.4,50.3,74.5,36.2,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
13,14,12,"University of California, San Diego",University-of-California-San-Diego,unitedstates,50.7,15.5,35.9,60.3,53.9,65.2,48,http://www.wikidata.org/entity/Q622664,grid.266100.3,
14,15,13,University of Pennsylvania,University-of-Pennsylvania,unitedstates,49.3,30.9,34.4,57.6,44.1,69,39.8,http://www.wikidata.org/entity/Q49117,grid.25879.31,
15,16,14,University of Washington,University-of-Washington,unitedstates,48,25,31.8,53.3,48.8,73.7,28.1,http://www.wikidata.org/entity/Q219563,grid.34477.33,
16,17,15,University of Wisconsin - Madison,University-of-Wisconsin---Madison,unitedstates,46.7,37.5,35.5,52.3,39.8,66.7,28.6,http://www.wikidata.org/entity/Q838330,grid.14003.36,
17,18,16,"University of California, San Francisco",University-of-California-San-Francisco,unitedstates,45.9,0,36.8,53.8,49.7,59.9,46.7,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
18,19,17,The Johns Hopkins University,The-Johns-Hopkins-University,unitedstates,45.2,44.7,27.8,41.7,49.1,67.1,24.9,,grid.21107.35,103
19,20,1,The University of Tokyo,The-University-of-Tokyo,japan,45.1,34.1,14.1,42.9,49,79.7,34.1,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
20,21,3,University College London,University-College-London,unitedkingdom,44.6,30.4,32.2,40.4,45.2,66,36.1,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
21,22,18,University of Michigan - Ann Arbor,University-of-Michigan---Ann-Arbor,unitedstates,43.8,37.5,0,60.3,41.4,77.3,31.4,,grid.214458.e,103
22,23,1,Swiss Federal Institute of Technology Zurich,Swiss-Federal-Institute-of-Technology-Zurich,switzerland,43.6,35,36.3,35.9,41.8,52.6,57,http://www.wikidata.org/entity/Q11942,grid.5801.c,
23,24,2,Kyoto University,Kyoto-University,japan,42.7,34.6,34.9,38.4,34.6,67.3,31,http://www.wikidata.org/entity/Q336264,grid.258799.8,
24,25,19,University of Illinois at Urbana-Champaign,University-of-Illinois-at-Urbana-Champaign,unitedstates,42.4,36.2,36.6,42.9,35.9,59.7,26.8,http://www.wikidata.org/entity/Q457281,grid.35403.31,
25,26,4,"The Imperial College of Science, Technology and Medicine",The-Imperial-College-of-Science-Technology-and-Medicine,unitedkingdom,41.9,18.1,37.4,40.4,35.9,61.7,39.4,,grid.7445.2,103
26,27,1,University of Toronto,University-of-Toronto,canada,40.5,24.4,19.3,39.1,35.1,78.2,27.5,http://www.wikidata.org/entity/Q180865,grid.17063.33,
27,28,20,"University of Minnesota, Twin Cities",University-of-Minnesota-Twin-Cities,unitedstates,40.4,31.4,16.3,49.7,35.3,67.5,24.6,http://www.wikidata.org/entity/Q238101,grid.17635.36,
28,29,21,Washington University in St. Louis,Washington-University-in-St-Louis,unitedstates,39.5,21.9,26,39.1,41.3,55,40.1,http://www.wikidata.org/entity/Q777403,grid.4367.6,
29,30,22,Northwestern University,Northwestern-University,unitedstates,38.7,18.9,18.9,47,34.8,59.1,38.5,http://www.wikidata.org/entity/Q309350,grid.16753.36,
30,31,23,Duke University,Duke-University,unitedstates,37.1,18.1,0,47,41.7,63,40,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
31,32,24,New York University,New-York-University,unitedstates,36.9,33.2,24.5,39.7,33.1,52.9,25.8,http://www.wikidata.org/entity/Q49210,grid.137628.9,
32,32,24,Rockefeller University,Rockefeller-University,unitedstates,36.9,19.7,58.6,29,41.9,21.6,37.6,http://www.wikidata.org/entity/Q270272,grid.134907.8,
33,34,26,University of Colorado at Boulder,University-of-Colorado-at-Boulder,unitedstates,36.4,14.5,30.8,39.1,39.8,45.2,30.6,http://www.wikidata.org/entity/Q736674,grid.266190.a,
34,35,27,"University of California, Santa Barbara",University-of-California-Santa-Barbara,unitedstates,35,0,35.3,41.7,33.8,42.3,35.2,http://www.wikidata.org/entity/Q263064,grid.133342.4,
35,36,2,University of British Columbia,University-of-British-Columbia,canada,34.4,18.1,18.9,31.6,31.3,64.8,23.7,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
36,37,28,"University of Maryland, College Park",University-of-Maryland-College-Park,unitedstates,34.1,22.5,20,40.4,28.1,53.6,26.1,http://www.wikidata.org/entity/Q503415,grid.164295.d,
37,38,29,The University of Texas at Austin,The-University-of-Texas-at-Austin,unitedstates,34,18.9,16.7,46.5,27.7,54.3,21.6,http://www.wikidata.org/entity/Q49213,grid.89336.37,
38,39,30,University of North Carolina at Chapel Hill,University-of-North-Carolina-at-Chapel-Hill,unitedstates,33.4,10.9,16.3,39.1,27,60.4,28.9,http://www.wikidata.org/entity/Q192334,grid.10698.36,
39,40,1,Pierre and Marie  Curie University - Paris 6,Pierre-and-Marie--Curie-University---Paris-6,france,33.3,35.7,23.6,22.9,27.7,59.3,21.7,,grid.5805.8,103
40,41,5,The University of Manchester,The-University-of-Manchester,unitedkingdom,33,23.8,18.9,28.1,28.5,58.3,29.9,http://www.wikidata.org/entity/Q230899,grid.5379.8,
41,41,31,Vanderbilt University,Vanderbilt-University,unitedstates,33,18.1,29.6,31.6,22.1,50.1,36.2,http://www.wikidata.org/entity/Q29052,grid.152326.1,
42,43,1,University of Copenhagen,University-of-Copenhagen,denmark,32.7,26.8,24.2,26.2,24.8,54.5,33.2,http://www.wikidata.org/entity/Q186285,grid.5254.6,
43,43,2,University of Paris Sud (Paris 11),University-of-Paris-Sud-(Paris-11),france,32.7,32.5,46.2,14.5,20.1,50.3,23.9,http://www.wikidata.org/entity/Q1480643,grid.5842.b,
44,45,32,Pennsylvania State University - University Park,Pennsylvania-State-University---University-Park,unitedstates,32.5,12.2,0,45.9,37.6,56.9,24.1,http://www.wikidata.org/entity/Q739627,grid.29857.31,
45,46,33,"University of California, Irvine",University-of-California-Irvine,unitedstates,32.4,0,29.4,37,26.1,48.9,32.8,http://www.wikidata.org/entity/Q868421,grid.266093.8,
46,46,33,University of Southern California,University-of-Southern-California,unitedstates,32.4,0,26.8,37.7,27,52.8,27.1,http://www.wikidata.org/entity/Q4614,grid.42505.36,
47,48,35,The University of Texas Southwestern Medical Center at Dallas,The-University-of-Texas-Southwestern-Medical-Center-at-Dallas,unitedstates,32.2,21.2,33.2,30.8,27.8,39.1,31.1,http://www.wikidata.org/entity/Q2725999,grid.267313.2,
48,49,36,"University of California, Davis",University-of-California-Davis,unitedstates,31.8,0,0,46.5,31,62.6,29.9,http://www.wikidata.org/entity/Q129421,grid.27860.3b,
49,50,1,Karolinska Institute,Karolinska-Institute,sweden,31.7,26.8,27.3,31.6,19.4,49.6,25.8,http://www.wikidata.org/entity/Q219564,grid.4714.6,
50,50,37,University of Pittsburgh,University-of-Pittsburgh,unitedstates,31.7,21.9,0,42.3,24.1,62.6,28.7,,grid.21925.3d,101
51,52,1,Utrecht University,Utrecht-University,netherlands,31.5,26.8,20.9,28.1,30.5,48.2,25.1,http://www.wikidata.org/entity/Q221653,grid.5477.1,
52,53,6,The University of Edinburgh,The-University-of-Edinburgh,unitedkingdom,31,19.7,16.7,27.1,32.2,50.1,30.5,http://www.wikidata.org/entity/Q160302,grid.4305.2,
53,54,2,University of Zurich,University-of-Zurich,switzerland,30.9,10.9,26.8,24.6,28.5,49,32.5,http://www.wikidata.org/entity/Q206702,grid.7400.3,
54,55,38,"Rutgers, The State University of New Jersey - New Brunswick",Rutgers-The-State-University-of-New-Jersey,unitedstates,30.4,13.4,20,40.4,25.8,43.4,23.6,,grid.430387.b,103
55,55,1,University of Munich,University-of-Munich,germany,30.4,32.3,22.9,16.2,24.5,52.5,31.4,http://www.wikidata.org/entity/Q55044,grid.5252.0,
56,57,2,Technical University Munich,Technical-University-Munich,germany,30.2,40.1,23.6,25.1,18.1,45.2,30.4,http://www.wikidata.org/entity/Q157808,grid.6936.a,
57,58,39,University of Florida,University-of-Florida,unitedstates,29.8,19.7,0,37,21.2,64.1,26.4,http://www.wikidata.org/entity/Q501758,grid.15276.37,
58,59,40,Carnegie Mellon University,Carnegie-Mellon-University,unitedstates,29.6,30.4,32.8,30.8,14.6,35.1,31,http://www.wikidata.org/entity/Q190080,grid.147455.6,
59,59,1,The Australian National University,The-Australian-National-University,australia,29.6,15.5,12.6,36.3,27.2,44.1,32.2,http://www.wikidata.org/entity/Q127990,grid.1001.0,
60,61,7,University of Bristol,University-of-Bristol,unitedkingdom,29.5,9.5,17.9,29,28.6,46.7,33.7,http://www.wikidata.org/entity/Q459506,grid.5337.2,
61,62,41,The Ohio State University - Columbus,The-Ohio-State-University---Columbus,unitedstates,29.1,15.5,0,41.7,20.9,61.3,20.2,http://www.wikidata.org/entity/Q309331,grid.261331.4,
62,63,3,University of Heidelberg,University-of-Heidelberg,germany,28.7,17.3,27.2,17.8,22.5,49,29.5,,grid.7700.0,103
63,64,1,The Hebrew University of Jerusalem,The-Hebrew-University-of-Jerusalem,israel,28.6,28.9,20,24.1,22.6,43.9,28.5,http://www.wikidata.org/entity/Q174158,grid.9619.7,
64,65,8,King's College London,Kings-College-London,unitedkingdom,28.5,14.5,23.1,29,15,49.2,30.4,http://www.wikidata.org/entity/Q245247,grid.13097.3c,
65,65,3,McGill University,McGill-University,canada,28.5,25,0,32.4,22.8,58.6,24.9,http://www.wikidata.org/entity/Q201492,grid.14709.3b,
66,65,42,Purdue University - West Lafayette,Purdue-University---West-Lafayette,unitedstates,28.5,16.4,16.7,29.9,21.9,51.7,20.9,http://www.wikidata.org/entity/Q217741,grid.169077.e,
67,65,1,University of Oslo,University-of-Oslo,norway,28.5,22.5,33.4,17.8,16.1,45.6,29.2,http://www.wikidata.org/entity/Q486156,grid.5510.1,
68,69,43,Brown University,Brown-University,unitedstates,28.4,16.4,13.6,31.6,28.6,41,30.7,http://www.wikidata.org/entity/Q49114,grid.40263.33,
69,70,3,Ecole Normale Superieure - Paris,Ecole-Normale-Superieure---Paris,france,28.1,52.1,24.5,12.6,17.9,27.6,57.1,http://www.wikidata.org/entity/Q83259,grid.5607.4,
70,71,3,Osaka University,Osaka-University,japan,27.8,10.9,0,26.2,27.8,62,28.3,http://www.wikidata.org/entity/Q651233,grid.136593.b,
71,72,2,Leiden University,Leiden-University,netherlands,27.7,21.9,15.5,29,17.9,47.2,29.1,http://www.wikidata.org/entity/Q156598,grid.5132.5,
72,72,1,University of Helsinki,University-of-Helsinki,finland,27.7,16.4,17.9,21.8,20.7,51.8,29.2,http://www.wikidata.org/entity/Q28695,grid.7737.4,
73,74,44,Boston University,Boston-University,unitedstates,27.3,13.4,11.5,29.9,24.8,51.5,17.9,http://www.wikidata.org/entity/Q49110,grid.189504.1,
74,75,2,University of Melbourne,University-of-Melbourne,australia,27.2,13.4,14.1,22.9,17.2,58.5,26.7,,grid.1008.9,101
75,76,2,Uppsala University,Uppsala-University,sweden,27.1,22.5,32.2,12.6,17.6,48.3,20.6,http://www.wikidata.org/entity/Q185246,grid.8993.b,
76,77,1,Moscow State University,Moscow-State-University,russia,26.9,47.9,34.2,0,8.2,48.7,31.7,http://www.wikidata.org/entity/Q13164,grid.14476.30,
77,77,45,University of Arizona,University-of-Arizona,unitedstates,26.9,0,0,29.9,36.5,51.7,25.5,http://www.wikidata.org/entity/Q503419,grid.134563.6,
78,77,45,University of Rochester,University-of-Rochester,unitedstates,26.9,28.9,8.9,27.1,19.4,43.4,35.5,http://www.wikidata.org/entity/Q149990,grid.16416.34,
79,80,47,University of Utah,University-of-Utah,unitedstates,26.6,0,11.5,30.8,27.3,47.2,25.9,http://www.wikidata.org/entity/Q168515,grid.223827.e,
80,81,9,The University of Sheffield,The-University-of-Sheffield,unitedkingdom,26.3,20.4,14.1,21.8,23,44.6,28.5,http://www.wikidata.org/entity/Q823917,grid.11835.3e,
81,82,4,Nagoya University,Nagoya-University,japan,26,25,14.1,16.2,22.6,48.1,25.9,http://www.wikidata.org/entity/Q1191132,grid.27476.30,
82,83,10,University of Nottingham,University-of-Nottingham,unitedkingdom,25.9,13.4,20,24.1,15.1,46.4,28.3,http://www.wikidata.org/entity/Q472316,grid.4563.4,
83,84,5,Tohoku University,Tohoku-University,japan,25.8,16.4,0,21.8,22.3,59.7,27.5,http://www.wikidata.org/entity/Q1062129,grid.69566.3a,
84,85,3,University of Basel,University-of-Basel,switzerland,25.6,22.5,17.1,22.9,19.4,36.1,35.5,http://www.wikidata.org/entity/Q372608,grid.6612.3,
85,86,48,Michigan State University,Michigan-State-University,unitedstates,25.5,10.9,0,37,19.8,52.4,18.8,http://www.wikidata.org/entity/Q270222,grid.17088.36,
86,87,49,Case Western Reserve University,Case-Western-Reserve-University,unitedstates,25.3,35.4,11.5,21.8,15.1,41.6,31.3,http://www.wikidata.org/entity/Q1047060,grid.67105.35,
87,88,3,Stockholm University,Stockholm-University,sweden,25.2,25.6,29.6,16.2,19.2,35.1,19.6,http://www.wikidata.org/entity/Q221645,grid.10548.38,
88,88,50,Texas A&M; University - College Station,Texas-AM-University---College-Station,unitedstates,25.2,0,0,33.2,23.9,54.9,21.1,,grid.264756.4,103
89,90,4,University of Goettingen,University-of-Goettingen,germany,24.9,33.7,20,14.5,16.6,40.7,25.6,http://www.wikidata.org/entity/Q152838,grid.7450.6,
90,91,4,McMaster University,McMaster-University,canada,24.6,14.5,18.9,22.9,14.4,45.3,22.6,http://www.wikidata.org/entity/Q632891,grid.25073.33,
91,91,51,University of Virginia,University-of-Virginia,unitedstates,24.6,0,0,33.2,27,46.8,25.8,http://www.wikidata.org/entity/Q213439,grid.27755.32,
92,93,52,Indiana University Bloomington,Indiana-University-Bloomington,unitedstates,24.4,12.2,17.9,26.2,19.3,40.4,18.2,http://www.wikidata.org/entity/Q1079140,grid.411377.7,
93,94,53,Arizona State University - Tempe,Arizona-State-University---Tempe,unitedstates,24.3,0,14.1,22.9,27.6,44.4,19.1,,grid.215654.1,103
94,94,11,University of Birmingham,University-of-Birmingham,unitedkingdom,24.3,21.9,10.9,21.8,15.5,45.4,27.4,http://www.wikidata.org/entity/Q223429,grid.6572.6,
95,94,3,University of Sydney,University-of-Sydney,australia,24.3,17.3,0,20.5,18.4,57.4,27,http://www.wikidata.org/entity/Q487556,grid.1013.3,
96,97,2,Aarhus University,Aarhus-University,denmark,24.2,13.4,18.9,7.3,24,47.6,26.6,http://www.wikidata.org/entity/Q924265,grid.7048.b,
97,98,5,University of Bonn,University-of-Bonn,germany,24.1,17.3,20,14.5,20.9,41.1,24.7,http://www.wikidata.org/entity/Q152171,grid.10388.32,
98,99,54,Rice University,Rice-University,unitedstates,23.9,18.9,21.9,21.8,18,30.7,29.5,http://www.wikidata.org/entity/Q842909,grid.21940.3e,
99,100,55,Emory University,Emory-University,unitedstates,23.8,0,0,31.6,22.2,50.4,24,http://www.wikidata.org/entity/Q621043,grid.189967.8,
100,101-151,56-70,Baylor College of Medicine,Baylor-College-of-Medicine,unitedstates,,0,0,19.2,32.2,39.1,24.9,http://www.wikidata.org/entity/Q2892284,grid.39382.33,
101,101-151,4-Jan,Catholic University of Leuven,Catholic-University-of-Leuven,belgium,,0,0,21.8,14,52.1,25.3,,grid.5596.f,103
102,101-151,4-Jan,Catholic University of Louvain,Catholic-University-of-Louvain,belgium,,12.2,13.6,17.8,13.9,40.4,27,http://www.wikidata.org/entity/Q378134,grid.7942.8,
103,101-151,56-70,Dartmouth College,Dartmouth-College,unitedstates,,21.2,0,21.8,18.3,31.1,28.1,http://www.wikidata.org/entity/Q49116,grid.254880.3,
104,101-151,56-70,Georgia Institute of Technology,Georgia-Institute-of-Technology,unitedstates,,14.5,0,25.1,22.9,45.3,28.1,http://www.wikidata.org/entity/Q864855,grid.213917.f,
105,101-151,4-Jan,Ghent University,Ghent-University,belgium,,7.7,15.5,16.2,11,52.7,30.1,http://www.wikidata.org/entity/Q1137665,grid.5342.0,
106,101-151,4,Lund University,Lund-University,sweden,,25.6,0,25.1,17.7,50.7,18.4,http://www.wikidata.org/entity/Q218506,grid.4514.4,
107,101-151,56-70,Mayo Medical School,Mayo-Medical-School,unitedstates,,0,0,25.1,16.2,48.4,26.1,http://www.wikidata.org/entity/Q48977467,grid.66875.3a,103
108,101-151,1,National Taiwan University,National-Taiwan-University,"taiwan,china",,13.4,0,10.3,9.9,59.6,18.3,http://www.wikidata.org/entity/Q32746,grid.19188.39,
109,101-151,1,National University of Singapore,National-University-of-Singapore,singapore,,0,0,14.5,13.4,57.4,27.9,http://www.wikidata.org/entity/Q738236,grid.4280.e,
110,101-151,56-70,North Carolina State University - Raleigh,North-Carolina-State-University---Raleigh,unitedstates,,0,0,28.1,16.2,43.7,19,http://www.wikidata.org/entity/Q1132346,grid.40803.3f,
111,101-151,56-70,Oregon State University,Oregon-State-University,unitedstates,,13.4,0,26.7,24.5,35.8,27.8,http://www.wikidata.org/entity/Q861888,grid.4391.f,
112,101-151,5-Apr,Swiss Federal Institute of Technology of Lausanne,Swiss-Federal-Institute-of-Technology-of-Lausanne,switzerland,,0,0,25.1,17.9,40.3,43.9,,grid.5333.6,103
113,101-151,3-Feb,Technion-Israel Institute of Technology,Technion-Israel-Institute-of-Technology,israel,,16.4,23.1,14.5,12.3,38.5,23,http://www.wikidata.org/entity/Q333705,grid.6451.6,
114,101-151,3-Feb,Tel Aviv University,Tel-Aviv-University,israel,,0,0,24.1,17.1,50,26.7,http://www.wikidata.org/entity/Q319239,grid.12136.37,
115,101-151,56-70,The University of Georgia,The-University-of-Georgia,unitedstates,,0,0,26.2,18.5,43.7,17.7,http://www.wikidata.org/entity/Q761534,grid.213876.9,
116,101-151,15-Dec,The University of Glasgow,The-University-of-Glasgow,unitedkingdom,,10.9,0,21.8,15.9,43,23.5,http://www.wikidata.org/entity/Q192775,grid.8756.c,
117,101-151,5-Apr,The University of Queensland,The-University-of-Queensland,australia,,14.5,0,12.6,22.5,53.5,26.3,http://www.wikidata.org/entity/Q866012,grid.1003.2,
118,101-151,5-Apr,The University of Western Australia,The-University-of-Western-Australia,australia,,15.5,14.1,20.5,11.9,41.1,27.6,http://www.wikidata.org/entity/Q1517021,grid.1012.2,
119,101-151,6,Tokyo Institute of Technology,Tokyo-Institute-of-Technology,japan,,14.5,0,21.8,23.8,45.8,30.4,http://www.wikidata.org/entity/Q587326,grid.32197.3e,
120,101-151,56-70,Tufts University,Tufts-University,unitedstates,,16.4,16.7,22.9,13.6,38,25.6,http://www.wikidata.org/entity/Q49120,grid.429997.8,
121,101-151,4-Jan,University Libre Bruxelles,University-Libre-Bruxelles,belgium,,18.9,18.9,12.6,15.3,31.8,27.3,,grid.4989.c,103
122,101-151,6-May,University of Alberta,University-of-Alberta,canada,,13.4,0,20.5,20.4,54.8,21.8,http://www.wikidata.org/entity/Q640694,grid.17089.37,
123,101-151,6-Mar,University of Amsterdam,University-of-Amsterdam,netherlands,,7.7,0,19.2,23.2,49.1,23.6,http://www.wikidata.org/entity/Q214341,grid.7177.6,
124,101-151,56-70,"University of California, Riverside",University-of-California-Riverside,unitedstates,,14.5,0,27.1,24.4,35.7,27.4,http://www.wikidata.org/entity/Q1075148,grid.266097.c,
125,101-151,56-70,"University of California, Santa Cruz",University-of-California-Santa-Cruz,unitedstates,,0,0,27.1,31.7,30.6,30.8,http://www.wikidata.org/entity/Q1047293,grid.205975.c,
126,101-151,11-Jun,University of Frankfurt,University-of-Frankfurt,germany,,35,8.9,19.2,16.8,38.9,24.6,http://www.wikidata.org/entity/Q50662,grid.7839.5,
127,101-151,11-Jun,University of Freiburg,University-of-Freiburg,germany,,21.9,20.9,16.2,18.5,36.5,23.5,http://www.wikidata.org/entity/Q153987,grid.5963.9,
128,101-151,5-Apr,University of Geneva,University-of-Geneva,switzerland,,25.6,0,20.5,22.2,35.3,23.9,http://www.wikidata.org/entity/Q503473,grid.8591.5,
129,101-151,6-Mar,University of Groningen,University-of-Groningen,netherlands,,0,20,17.8,16.7,45.4,21.4,http://www.wikidata.org/entity/Q850730,grid.4830.f,
130,101-151,56-70,University of Hawaii at Manoa,University-of-Hawaii-at-Manoa,unitedstates,,0,0,26.2,29.8,38.3,23.1,http://www.wikidata.org/entity/Q2000129,grid.410445.0,
131,101-151,56-70,University of Iowa,University-of-Iowa,unitedstates,,0,0,33.2,21.9,48,21.1,http://www.wikidata.org/entity/Q182973,grid.214572.7,
132,101-151,15-Dec,University of Leeds,University-of-Leeds,unitedkingdom,,19.7,0,12.6,21.9,43.6,23.9,http://www.wikidata.org/entity/Q503424,grid.9909.9,
133,101-151,15-Dec,University of Liverpool,University-of-Liverpool,unitedkingdom,,20.4,15.5,12.6,18.9,40.7,28,http://www.wikidata.org/entity/Q499510,grid.10025.36,
134,101-151,11-Jun,University of Mainz,University-of-Mainz,germany,,0,8.2,17.8,21.3,37.9,21.9,http://www.wikidata.org/entity/Q161982,grid.5802.f,
135,101-151,56-70,University of Massachusetts Amherst,University-of-Massachusetts-Amherst,unitedstates,,15.5,0,33.2,17.9,36.7,22.3,http://www.wikidata.org/entity/Q15142,grid.266683.f,
136,101-151,56-70,University of Massachusetts Medical School - Worcester,University-of-Massachusetts-Medical-School---Worcester,unitedstates,,0,20,14.5,25.9,27.7,20.8,http://www.wikidata.org/entity/Q7895715,grid.168645.8,
137,101-151,56-70,University of Miami,University-of-Miami,unitedstates,,0,0,24.1,18.7,41.2,23.9,http://www.wikidata.org/entity/Q738258,grid.26790.3a,
138,101-151,3-Jan,University of Milan,University-of-Milan,italy,,19.7,0,19.2,13.2,50.4,20,http://www.wikidata.org/entity/Q46210,grid.4708.b,
139,101-151,6-May,University of Montreal,University-of-Montreal,canada,,13.4,0,14.5,17,51.8,20.1,http://www.wikidata.org/entity/Q392189,grid.14848.31,
140,101-151,11-Jun,University of Muenster,University-of-Muenster,germany,,21.9,15.5,12.6,13.3,36.5,21.3,http://www.wikidata.org/entity/Q168426,grid.5949.1,
141,101-151,5-Apr,University of Paris Diderot (Paris 7),University-of-Paris-Diderot-(Paris-7),france,,15.9,13.8,14.5,20.1,41.1,16.2,,grid.7452.4,103
142,101-151,3-Jan,University of Pisa,University-of-Pisa,italy,,16.4,23.6,16.2,5.3,38.4,18.5,http://www.wikidata.org/entity/Q645663,grid.5395.a,
143,101-151,3-Jan,University of Roma - La Sapienza,University-of-Roma---La-Sapienza,italy,,14.5,15.5,10.3,13.7,52.6,14.5,,grid.7841.a,103
144,101-151,1,University of Sao Paulo,University-of-Sao-Paulo,brazil,,0,0,10.3,12.6,69.3,32.7,http://www.wikidata.org/entity/Q835960,grid.11899.38,
145,101-151,5-Apr,University of Strasbourg,University-of-Strasbourg,france,,25.6,22.5,17.8,16.2,34.5,19,http://www.wikidata.org/entity/Q157575,grid.11843.3f,
146,101-151,15-Dec,University of Sussex,University-of-Sussex,unitedkingdom,,0,22.8,19.2,15,26.9,31.1,http://www.wikidata.org/entity/Q1161297,grid.12082.39,
