,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,usa,100.0,100.0,100.0,100.0,100.0,100.0,79.2,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,2,Stanford University,Stanford-University,usa,74.7,42.9,89.6,80.1,73.6,73.1,55.8,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,3,"University of California, Berkeley",University-of-California-Berkeley,usa,70.1,65.1,79.4,64.9,68.7,68.4,59.0,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
3,4,1,University of Cambridge,University-of-Cambridge,uk,69.6,78.3,96.6,51.3,56.7,67.8,58.5,http://www.wikidata.org/entity/Q35794,grid.5335.0,
4,5,4,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),usa,69.2,69.4,80.7,55.3,71.7,61.7,69.7,http://www.wikidata.org/entity/Q49108,grid.116068.8,
5,6,5,Princeton University,Princeton-University,usa,62.0,53.3,98.0,51.3,47.2,42.9,74.4,http://www.wikidata.org/entity/Q21578,grid.16750.35,
6,7,2,University of Oxford,University-of-Oxford,uk,58.9,49.7,54.9,56.2,55.0,74.5,46.1,http://www.wikidata.org/entity/Q34433,grid.4991.5,
7,8,6,California Institute of Technology,California-Institute-of-Technology,usa,57.8,51.0,66.7,39.7,57.3,43.6,100.0,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
8,9,7,Columbia University,Columbia-University,usa,56.7,63.5,65.9,41.0,53.3,68.9,33.3,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
9,10,8,University of Chicago,University-of-Chicago,usa,54.2,59.8,86.3,34.0,42.7,50.2,44.5,http://www.wikidata.org/entity/Q131252,grid.170205.1,
10,11,9,Yale University,Yale-University,usa,52.8,47.6,50.4,44.7,58.4,62.6,37.1,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,"University of California, Los Angeles",University-of-California-Los-Angeles,usa,51.5,29.5,47.1,58.0,44.5,71.4,33.4,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
12,13,11,Cornell University,Cornell-University,usa,49.0,42.0,49.8,41.0,47.0,60.5,40.9,http://www.wikidata.org/entity/Q49115,grid.5386.8,
13,14,12,"University of California, San Diego",University-of-California-San-Diego,usa,47.8,19.2,35.5,49.2,57.8,63.5,37.0,http://www.wikidata.org/entity/Q622664,grid.266100.3,
14,15,13,University of Washington,University-of-Washington,usa,47.3,21.2,31.6,49.2,52.1,72.6,31.0,http://www.wikidata.org/entity/Q219563,grid.34477.33,
15,16,14,Johns Hopkins University,Johns-Hopkins-University,usa,46.0,37.7,33.6,38.4,47.0,71.9,31.1,http://www.wikidata.org/entity/Q193727,grid.21107.35,
16,17,3,University College London,University-College-London,uk,45.3,28.1,36.2,39.7,41.6,73.9,32.2,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
17,18,15,University of Pennsylvania,University-of-Pennsylvania,usa,44.5,31.6,33.8,42.3,39.4,67.7,37.8,http://www.wikidata.org/entity/Q49117,grid.25879.31,
18,19,1,Swiss Federal Institute of Technology Zurich,Swiss-Federal-Institute-of-Technology-Zurich,switzerland,43.8,29.5,35.5,35.5,50.2,55.6,46.1,http://www.wikidata.org/entity/Q11942,grid.5801.c,
19,20,1,The University of Tokyo,The-University-of-Tokyo,japan,42.2,36.3,25.3,30.8,47.5,70.0,29.7,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
20,21,16,"University of California, San Francisco",University-of-California-San-Francisco,usa,41.9,0.0,39.9,37.0,52.1,59.3,33.5,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
21,22,4,"The Imperial College of Science, Technology and Medicine",The-Imperial-College-of-Science-Technology-and-Medicine,uk,41.6,14.5,35.8,43.5,32.9,64.0,39.9,,grid.7445.2,103.0
22,23,17,University of Michigan-Ann Arbor,University-of-Michigan-Ann-Arbor,usa,40.8,34.4,0.0,51.3,41.6,76.6,25.8,http://www.wikidata.org/entity/Q230492,grid.214458.e,
23,23,17,Washington University in St. Louis,Washington-University-in-St-Louis,usa,40.8,22.9,24.9,51.3,42.0,51.7,37.2,http://www.wikidata.org/entity/Q777403,grid.4367.6,
24,25,19,Duke University,Duke-University,usa,40.4,15.4,19.2,57.1,38.9,62.1,25.9,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
25,26,20,Northwestern University,Northwestern-University,usa,40.0,15.4,22.1,54.3,35.6,59.6,32.8,http://www.wikidata.org/entity/Q309350,grid.16753.36,
26,27,1,University of Toronto,University-of-Toronto,canada,39.4,19.9,17.2,32.4,38.2,80.1,30.3,http://www.wikidata.org/entity/Q180865,grid.17063.33,
27,28,21,University of Wisconsin - Madison,University-of-Wisconsin---Madison,usa,39.2,32.8,34.8,30.8,35.0,62.7,24.3,http://www.wikidata.org/entity/Q838330,grid.14003.36,
28,29,22,New York University,New-York-University,usa,38.0,28.1,31.9,32.4,39.5,57.3,22.0,http://www.wikidata.org/entity/Q49210,grid.137628.9,
29,30,1,University of Copenhagen,University-of-Copenhagen,denmark,37.7,21.8,18.8,32.4,36.2,65.2,41.9,http://www.wikidata.org/entity/Q186285,grid.5254.6,
30,30,23,University of Illinois at Urbana-Champaign,University-of-Illinois-at-Urbana-Champaign,usa,37.7,29.9,36.2,30.8,33.1,55.1,29.1,http://www.wikidata.org/entity/Q457281,grid.35403.31,
31,32,2,Kyoto University,Kyoto-University,japan,37.2,31.6,37.2,27.1,31.5,58.4,23.8,http://www.wikidata.org/entity/Q336264,grid.258799.8,
32,33,24,"University of Minnesota, Twin Cities",University-of-Minnesota-Twin-Cities,usa,36.8,29.5,16.3,39.7,32.5,64.8,24.1,http://www.wikidata.org/entity/Q238101,grid.17635.36,
33,34,2,University of British Columbia,University-of-British-Columbia,canada,36.7,15.4,18.8,42.3,32.7,64.5,27.2,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
34,35,5,The University of Manchester,The-University-of-Manchester,uk,36.4,18.5,32.6,37.0,26.4,58.4,29.0,http://www.wikidata.org/entity/Q230899,grid.5379.8,
35,35,25,University of North Carolina at Chapel Hill,University-of-North-Carolina-at-Chapel-Hill,usa,36.4,8.9,23.7,39.7,32.6,60.8,33.8,http://www.wikidata.org/entity/Q192334,grid.10698.36,
36,37,26,Rockefeller University,Rockefeller-University,usa,36.1,17.0,59.8,27.1,41.8,19.3,40.0,http://www.wikidata.org/entity/Q270272,grid.134907.8,
37,38,27,University of Colorado at Boulder,University-of-Colorado-at-Boulder,usa,35.1,12.6,34.1,30.8,36.8,46.2,35.1,http://www.wikidata.org/entity/Q736674,grid.266190.a,
38,39,1,Pierre and Marie  Curie University - Paris 6,Pierre-and-Marie--Curie-University---Paris-6,france,34.5,33.6,27.4,20.5,29.7,61.9,25.3,,grid.5805.8,103.0
39,40,1,The University of Melbourne,The-University-of-Melbourne,australia,33.9,17.0,13.3,35.5,24.8,67.9,32.2,http://www.wikidata.org/entity/Q319078,grid.1008.9,
40,41,6,The University of Edinburgh,The-University-of-Edinburgh,uk,33.6,20.5,24.9,32.4,31.3,52.1,26.8,http://www.wikidata.org/entity/Q160302,grid.4305.2,
41,42,28,"University of California, Santa Barbara",University-of-California-Santa-Barbara,usa,33.3,14.5,39.1,32.4,27.3,37.7,38.2,http://www.wikidata.org/entity/Q263064,grid.133342.4,
42,43,29,The University of Texas Southwestern Medical Center at Dallas,The-University-of-Texas-Southwestern-Medical-Center-at-Dallas,usa,32.9,18.5,34.5,30.8,37.6,34.9,27.7,http://www.wikidata.org/entity/Q2725999,grid.267313.2,
43,44,1,Karolinska Institute,Karolinska-Institute,sweden,32.7,25.6,26.6,22.9,25.1,52.6,40.2,http://www.wikidata.org/entity/Q219564,grid.4714.6,
44,44,30,The University of Texas at Austin,The-University-of-Texas-at-Austin,usa,32.7,16.2,16.3,29.0,37.0,56.3,26.6,http://www.wikidata.org/entity/Q49213,grid.89336.37,
45,46,2,University of Paris-Sud (Paris 11),University-of-Paris-Sud-(Paris-11),france,32.5,30.3,54.3,10.3,17.6,47.9,27.7,http://www.wikidata.org/entity/Q1480643,grid.5842.b,
46,47,1,Heidelberg University,Heidelberg-University,germany,32.3,19.9,25.3,22.9,30.6,51.8,34.9,http://www.wikidata.org/entity/Q151510,grid.7700.0,
47,47,1,Technical University Munich,Technical-University-Munich,germany,32.3,34.8,21.6,29.0,23.3,49.7,34.6,http://www.wikidata.org/entity/Q157808,grid.6936.a,
48,49,31,University of Southern California,University-of-Southern-California,usa,32.2,0.0,31.7,35.5,23.4,53.9,26.2,http://www.wikidata.org/entity/Q4614,grid.42505.36,
49,50,7,King's College London,Kings-College-London,uk,31.6,21.2,21.0,34.0,19.6,55.3,27.9,http://www.wikidata.org/entity/Q245247,grid.13097.3c,
50,51,3,University of Munich,University-of-Munich,germany,31.4,25.6,19.1,25.1,29.4,50.3,33.9,http://www.wikidata.org/entity/Q55044,grid.5252.0,
51,52,32,"University of Maryland, College Park",University-of-Maryland-College-Park,usa,31.0,19.2,20.0,22.9,32.8,52.7,27.6,http://www.wikidata.org/entity/Q503415,grid.164295.d,
52,53,2,University of Geneva,University-of-Geneva,switzerland,30.7,27.1,28.2,25.1,28.6,38.2,32.8,http://www.wikidata.org/entity/Q503473,grid.8591.5,
53,54,3,University of Zurich,University-of-Zurich,switzerland,30.5,5.1,24.0,25.1,28.7,53.1,31.7,http://www.wikidata.org/entity/Q206702,grid.7400.3,
54,55,2,The University of Queensland,The-University-of-Queensland,australia,30.2,12.6,0.0,34.0,26.0,64.6,33.6,http://www.wikidata.org/entity/Q866012,grid.1003.2,
55,56,1,University of Helsinki,University-of-Helsinki,finland,29.9,12.6,16.3,32.4,22.8,51.9,33.5,http://www.wikidata.org/entity/Q28695,grid.7737.4,
56,57,8,University of Bristol,University-of-Bristol,uk,29.7,7.3,16.3,29.0,34.2,46.7,31.5,http://www.wikidata.org/entity/Q459506,grid.5337.2,
57,58,1,Tsinghua University,Tsinghua-University,china,29.6,10.3,0.0,27.1,32.5,68.3,23.2,http://www.wikidata.org/entity/Q16955,grid.12527.33,
58,58,33,"University of California, Irvine",University-of-California-Irvine,usa,29.6,0.0,29.3,29.0,28.1,45.0,26.8,http://www.wikidata.org/entity/Q868421,grid.266093.8,
59,60,2,Uppsala University,Uppsala-University,sweden,29.3,17.8,27.4,17.8,24.8,50.2,28.5,http://www.wikidata.org/entity/Q185246,grid.8993.b,
60,60,34,Vanderbilt University,Vanderbilt-University,usa,29.3,15.4,29.0,25.1,20.4,51.0,19.9,http://www.wikidata.org/entity/Q29052,grid.152326.1,
61,62,1,Ghent University,Ghent-University,belgium,29.1,5.1,13.3,32.4,18.6,57.9,35.7,http://www.wikidata.org/entity/Q1137665,grid.5342.0,
