,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,unitedstates,100,100,100,100,100,100,73.6,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,1,University of Cambridge,University-of-Cambridge,unitedkingdom,72.6,96.3,91.5,53.8,59.5,67.1,66.5,http://www.wikidata.org/entity/Q35794,grid.5335.0,
2,3,2,Stanford University,Stanford-University,unitedstates,72.5,39.7,70.7,88.4,70,71.4,65.3,http://www.wikidata.org/entity/Q41506,grid.168010.e,
3,4,3,"University of California, Berkeley",University-of-California-Berkeley,unitedstates,72.1,70.6,74.5,70.5,72.2,71.9,53.1,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
4,5,4,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),unitedstates,69.7,72.9,80.6,66.6,66.4,62.2,53.6,http://www.wikidata.org/entity/Q49108,grid.116068.8,
5,6,5,California Institute of Technology,California-Institute-of-Technology,unitedstates,66,57.1,69.1,59.1,64.5,50.1,100,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
6,7,6,Columbia University,Columbia-University,unitedstates,61.8,78.2,59.4,56,53.6,69.8,45.8,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
7,8,7,Princeton University,Princeton-University,unitedstates,58.6,61.1,75.3,59.6,43.5,47.3,58,http://www.wikidata.org/entity/Q21578,grid.16750.35,
8,8,7,University of Chicago,University-of-Chicago,unitedstates,58.6,72.9,80.2,49.9,43.7,54.1,41.8,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,10,2,University of Oxford,University-of-Oxford,unitedkingdom,57.6,62,57.9,48,54.3,66,46,http://www.wikidata.org/entity/Q34433,grid.4991.5,
10,11,9,Yale University,Yale-University,unitedstates,55.9,50.3,43.6,59.1,56.6,63,49.3,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,Cornell University,Cornell-University,unitedstates,54.1,44.9,51.3,56,48.4,65.2,40.1,http://www.wikidata.org/entity/Q49115,grid.5386.8,
12,13,11,"University of California, San Diego",University-of-California-San-Diego,unitedstates,50.5,17.1,34,59.6,54.8,65.6,47.1,http://www.wikidata.org/entity/Q622664,grid.266100.3,
13,14,12,"University of California, Los Angeles",University-of-California-Los-Angeles,unitedstates,50.4,26.4,32.1,57.6,47.5,77.3,34.9,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
14,15,13,University of Pennsylvania,University-of-Pennsylvania,unitedstates,50.1,34.2,34.4,57,41.7,73.6,40,http://www.wikidata.org/entity/Q49117,grid.25879.31,
15,16,14,University of Wisconsin - Madison,University-of-Wisconsin---Madison,unitedstates,48.8,41.5,35.5,53.3,45.1,68.3,29.3,http://www.wikidata.org/entity/Q838330,grid.14003.36,
16,17,15,University of Washington,University-of-Washington,unitedstates,48.5,27.7,31.8,53.3,47.6,75.5,27.8,http://www.wikidata.org/entity/Q219563,grid.34477.33,
17,18,16,"University of California, San Francisco",University-of-California-San-Francisco,unitedstates,47.7,0,36.8,55.5,54.8,61.1,48.2,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
18,19,1,The University of Tokyo,The-University-of-Tokyo,japan,46.7,34.8,14.1,41.4,51.5,85.5,35.2,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
19,20,17,The Johns Hopkins University,The-Johns-Hopkins-University,unitedstates,46.6,49.5,27.8,40.7,52.2,68.8,25.3,,grid.21107.35,103
20,21,18,University of Michigan - Ann Arbor,University-of-Michigan---Ann-Arbor,unitedstates,44.5,41.5,0,61.5,41.6,76.9,31.2,,grid.214458.e,103
21,22,2,Kyoto University,Kyoto-University,japan,43.9,38.3,33.4,36.9,36.2,72.4,31.7,http://www.wikidata.org/entity/Q336264,grid.258799.8,
22,23,3,"The Imperial College of Science, Technology and Medicine",The-Imperial-College-of-Science-Technology-and-Medicine,unitedkingdom,43.4,20.1,37.4,40,39.7,64.2,40.2,,grid.7445.2,103
23,24,1,University of Toronto,University-of-Toronto,canada,42.8,27.1,19.3,38.5,36.5,78.3,44.8,http://www.wikidata.org/entity/Q180865,grid.17063.33,
24,25,19,University of Illinois at Urbana-Champaign,University-of-Illinois-at-Urbana-Champaign,unitedstates,42.5,40.1,36.6,45.5,33.6,57.7,26.3,http://www.wikidata.org/entity/Q457281,grid.35403.31,
25,26,4,University College London,University-College-London,unitedkingdom,42.2,29.6,32.2,38.5,43.2,60,33.4,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
26,27,1,Swiss Federal Institute of Technology Zurich,Swiss-Federal-Institute-of-Technology-Zurich,switzerland,41.2,38.8,36.3,35.3,39.9,43.5,52.6,http://www.wikidata.org/entity/Q11942,grid.5801.c,
