,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,usa,100.0,100.0,100.0,100.0,100.0,100.0,79.5,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,2,Stanford University,Stanford-University,usa,76.5,44.5,88.5,87.3,74.4,73.7,56.8,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,1,University of Cambridge,University-of-Cambridge,uk,70.9,81.4,95.4,54.6,57.3,69.8,59.1,http://www.wikidata.org/entity/Q35794,grid.5335.0,
3,4,3,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),usa,70.4,68.7,82.3,56.7,72.4,63.5,70.8,http://www.wikidata.org/entity/Q49108,grid.116068.8,
4,5,4,"University of California, Berkeley",University-of-California-Berkeley,usa,69.1,64.4,78.4,63.6,68.1,66.7,58.7,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
5,6,5,Princeton University,Princeton-University,usa,61.1,54.4,97.9,47.6,46.6,43.3,73.5,http://www.wikidata.org/entity/Q21578,grid.16750.35,
6,7,2,University of Oxford,University-of-Oxford,uk,60.1,50.8,54.2,62.7,52.5,75.8,47.2,http://www.wikidata.org/entity/Q34433,grid.4991.5,
7,8,6,Columbia University,Columbia-University,usa,58.8,62.8,65.1,50.0,53.8,70.3,34.3,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
8,9,7,California Institute of Technology,California-Institute-of-Technology,usa,57.3,50.5,65.8,39.3,56.0,44.0,100.0,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
9,10,8,University of Chicago,University-of-Chicago,usa,53.9,59.2,85.1,36.2,41.1,50.3,43.1,http://www.wikidata.org/entity/Q131252,grid.170205.1,
10,11,9,Yale University,Yale-University,usa,52.8,47.1,49.7,48.8,57.1,61.0,37.2,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,"University of California, Los Angeles",University-of-California-Los-Angeles,usa,52.5,29.2,46.4,63.6,44.9,70.9,33.6,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
12,13,11,University of Washington,University-of-Washington,usa,50.3,20.9,37.4,56.7,51.2,74.3,32.7,http://www.wikidata.org/entity/Q219563,grid.34477.33,
13,14,12,Cornell University,Cornell-University,usa,49.6,43.1,49.1,43.6,46.1,61.1,42.6,http://www.wikidata.org/entity/Q49115,grid.5386.8,
14,15,13,"University of California, San Diego",University-of-California-San-Diego,usa,49.5,19.0,35.1,58.8,56.4,63.7,38.3,http://www.wikidata.org/entity/Q622664,grid.266100.3,
15,16,3,University College London,University-College-London,uk,47.1,27.8,35.8,47.6,39.6,77.0,33.5,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
16,17,14,University of Pennsylvania,University-of-Pennsylvania,usa,46.0,31.3,33.4,50.0,38.7,68.0,39.5,http://www.wikidata.org/entity/Q49117,grid.25879.31,
17,18,15,Johns Hopkins University,Johns-Hopkins-University,usa,45.7,37.3,33.2,40.8,42.8,73.3,30.0,http://www.wikidata.org/entity/Q193727,grid.21107.35,
18,19,1,Swiss Federal Institute of Technology Zurich,Swiss-Federal-Institute-of-Technology-Zurich,switzerland,44.1,29.2,35.1,36.2,49.5,56.9,47.4,http://www.wikidata.org/entity/Q11942,grid.5801.c,
19,20,16,Washington University in St. Louis,Washington-University-in-St-Louis,usa,43.3,22.7,24.6,60.7,43.3,52.0,40.0,http://www.wikidata.org/entity/Q777403,grid.4367.6,
20,21,17,"University of California, San Francisco",University-of-California-San-Francisco,usa,42.4,0.0,39.4,39.3,50.8,61.4,33.3,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
21,22,18,Northwestern University,Northwestern-University,usa,41.9,15.2,27.6,59.8,34.1,59.3,34.3,http://www.wikidata.org/entity/Q309350,grid.16753.36,
22,23,1,University of Toronto,University-of-Toronto,canada,41.6,19.7,17.0,40.8,39.6,80.6,31.7,http://www.wikidata.org/entity/Q180865,grid.17063.33,
23,24,1,The University of Tokyo,The-University-of-Tokyo,japan,41.5,38.3,25.0,28.9,45.2,70.3,29.5,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
24,24,19,University of Michigan-Ann Arbor,University-of-Michigan-Ann-Arbor,usa,41.5,34.1,0.0,54.6,40.7,77.9,26.0,http://www.wikidata.org/entity/Q230492,grid.214458.e,
25,26,20,Duke University,Duke-University,usa,41.0,15.2,19.0,61.7,37.8,61.5,26.5,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
26,27,4,Imperial College London,Imperial-College-London,uk,40.9,14.4,35.4,42.3,30.9,64.8,39.5,http://www.wikidata.org/entity/Q189022,grid.7445.2,
27,28,21,University of Wisconsin - Madison,University-of-Wisconsin---Madison,usa,39.7,32.5,34.3,34.5,33.4,63.5,24.5,http://www.wikidata.org/entity/Q838330,grid.14003.36,
28,29,22,New York University,New-York-University,usa,38.6,29.6,31.5,34.5,38.4,58.9,21.6,http://www.wikidata.org/entity/Q49210,grid.137628.9,
29,30,1,University of Copenhagen,University-of-Copenhagen,denmark,38.5,21.5,18.6,34.5,36.6,66.7,43.1,http://www.wikidata.org/entity/Q186285,grid.5254.6,
30,31,2,University of British Columbia,University-of-British-Columbia,canada,37.7,15.2,18.6,47.6,31.2,65.6,28.4,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
31,32,5,The University of Edinburgh,The-University-of-Edinburgh,uk,37.0,24.3,24.6,46.3,29.7,53.8,29.0,http://www.wikidata.org/entity/Q160302,grid.4305.2,
32,33,23,University of North Carolina at Chapel Hill,University-of-North-Carolina-at-Chapel-Hill,usa,36.9,8.8,23.4,42.3,31.8,61.5,35.2,http://www.wikidata.org/entity/Q192334,grid.10698.36,
33,34,24,"University of Minnesota, Twin Cities",University-of-Minnesota-Twin-Cities,usa,36.8,29.2,16.1,39.3,33.1,65.2,24.1,http://www.wikidata.org/entity/Q238101,grid.17635.36,
34,35,2,Kyoto University,Kyoto-University,japan,36.7,31.3,36.7,24.4,31.8,59.3,23.8,http://www.wikidata.org/entity/Q336264,grid.258799.8,
35,36,25,Rockefeller University,Rockefeller-University,usa,36.6,16.8,59.0,30.9,41.1,19.6,40.5,http://www.wikidata.org/entity/Q270272,grid.134907.8,
36,37,26,University of Illinois at Urbana-Champaign,University-of-Illinois-at-Urbana-Champaign,usa,36.2,29.6,35.8,24.4,30.8,57.4,28.1,http://www.wikidata.org/entity/Q457281,grid.35403.31,
37,38,6,The University of Manchester,The-University-of-Manchester,uk,36.1,18.3,32.2,32.7,28.7,59.7,28.8,http://www.wikidata.org/entity/Q230899,grid.5379.8,
38,39,1,The University of Melbourne,The-University-of-Melbourne,australia,35.9,16.8,13.1,45.0,22.8,69.7,33.9,http://www.wikidata.org/entity/Q319078,grid.1008.9,
39,40,1,Pierre and Marie  Curie University - Paris 6,Pierre-and-Marie--Curie-University---Paris-6,france,35.5,33.3,27.1,24.4,28.0,62.9,29.5,,grid.5805.8,103.0
40,41,2,University of Paris-Sud (Paris 11),University-of-Paris-Sud-(Paris-11),france,35.0,30.0,53.6,18.9,18.7,48.6,33.2,http://www.wikidata.org/entity/Q1480643,grid.5842.b,
41,42,1,Heidelberg University,Heidelberg-University,germany,34.8,19.7,25.0,34.5,28.8,53.6,37.5,http://www.wikidata.org/entity/Q151510,grid.7700.0,
42,43,27,University of Colorado at Boulder,University-of-Colorado-at-Boulder,usa,34.7,12.4,33.6,28.9,37.1,46.6,34.8,http://www.wikidata.org/entity/Q736674,grid.266190.a,
43,44,1,Karolinska Institute,Karolinska-Institute,sweden,33.3,25.4,26.3,24.4,23.7,53.3,45.8,http://www.wikidata.org/entity/Q219564,grid.4714.6,
44,45,28,"University of California, Santa Barbara",University-of-California-Santa-Barbara,usa,33.2,14.4,38.6,32.7,26.7,38.3,38.0,http://www.wikidata.org/entity/Q263064,grid.133342.4,
