,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,usa,100.0,100.0,100.0,100.0,100.0,100.0,79.6,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,2,Stanford University,Stanford-University,usa,75.6,44.5,88.5,76.6,78.6,76.5,56.0,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,1,University of Cambridge,University-of-Cambridge,uk,71.8,82.3,95.4,56.7,57.6,70.9,59.5,http://www.wikidata.org/entity/Q35794,grid.5335.0,
3,4,3,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),usa,69.9,70.9,83.6,52.5,71.4,64.4,70.3,http://www.wikidata.org/entity/Q49108,grid.116068.8,
4,5,4,"University of California, Berkeley",University-of-California-Berkeley,usa,68.3,65.6,78.4,61.3,67.8,65.1,58.2,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
5,6,5,Princeton University,Princeton-University,usa,61.0,55.8,97.9,44.9,47.1,44.2,73.3,http://www.wikidata.org/entity/Q21578,grid.16750.35,
6,7,2,University of Oxford,University-of-Oxford,uk,60.0,50.8,54.2,61.3,52.6,77.1,46.8,http://www.wikidata.org/entity/Q34433,grid.4991.5,
7,8,6,Columbia University,Columbia-University,usa,58.2,62.8,67.2,41.8,56.4,71.5,33.7,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
8,9,7,California Institute of Technology,California-Institute-of-Technology,usa,57.4,53.5,67.5,34.5,57.6,45.0,100.0,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
9,10,8,University of Chicago,University-of-Chicago,usa,55.5,59.2,90.1,35.8,42.5,52.0,44.2,http://www.wikidata.org/entity/Q131252,grid.170205.1,
10,11,9,"University of California, Los Angeles",University-of-California-Los-Angeles,usa,51.2,29.2,46.4,55.9,44.9,73.1,32.1,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
11,12,10,Cornell University,Cornell-University,usa,50.7,43.1,49.1,46.9,47.3,61.6,43.4,http://www.wikidata.org/entity/Q49115,grid.5386.8,
12,12,10,Yale University,Yale-University,usa,50.7,47.1,49.7,44.9,53.4,58.7,35.7,http://www.wikidata.org/entity/Q49112,grid.47100.32,
13,14,12,University of Washington,University-of-Washington,usa,50.0,24.9,37.4,54.2,49.1,75.9,31.4,http://www.wikidata.org/entity/Q219563,grid.34477.33,
14,15,13,"University of California, San Diego",University-of-California-San-Diego,usa,47.8,19.0,35.1,53.3,53.0,65.4,35.9,http://www.wikidata.org/entity/Q622664,grid.266100.3,
15,16,14,University of Pennsylvania,University-of-Pennsylvania,usa,46.4,31.3,33.4,46.9,41.7,69.7,39.7,http://www.wikidata.org/entity/Q49117,grid.25879.31,
16,17,3,University College London,University-College-London,uk,46.1,27.8,35.8,41.8,39.0,78.8,32.6,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
17,18,15,Johns Hopkins University,Johns-Hopkins-University,usa,45.4,37.3,33.2,37.1,43.4,75.7,28.7,http://www.wikidata.org/entity/Q193727,grid.21107.35,
18,19,1,Swiss Federal Institute of Technology Zurich,Swiss-Federal-Institute-of-Technology-Zurich,switzerland,43.9,29.2,35.1,33.2,49.9,58.7,47.5,http://www.wikidata.org/entity/Q11942,grid.5801.c,
19,20,16,Washington University in St. Louis,Washington-University-in-St-Louis,usa,42.1,22.7,24.6,55.0,42.3,53.8,38.6,http://www.wikidata.org/entity/Q777403,grid.4367.6,
20,21,17,"University of California, San Francisco",University-of-California-San-Francisco,usa,41.9,0.0,39.4,35.8,50.9,63.2,32.0,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
21,22,1,The University of Tokyo,The-University-of-Tokyo,japan,41.5,38.3,25.0,25.3,46.0,72.8,29.8,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
22,23,1,University of Toronto,University-of-Toronto,canada,40.9,19.7,17.0,35.8,38.9,83.1,31.7,http://www.wikidata.org/entity/Q180865,grid.17063.33,
23,24,4,Imperial College London,Imperial-College-London,uk,40.1,14.4,35.4,35.8,31.0,67.7,39.1,http://www.wikidata.org/entity/Q189022,grid.7445.2,
24,25,18,Northwestern University,Northwestern-University,usa,39.9,15.2,27.6,48.8,33.3,62.2,31.7,http://www.wikidata.org/entity/Q309350,grid.16753.36,
25,26,19,Duke University,Duke-University,usa,39.7,15.2,19.0,55.9,35.6,63.9,25.5,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
26,27,20,University of Michigan-Ann Arbor,University-of-Michigan-Ann-Arbor,usa,39.4,34.1,0.0,41.8,41.0,80.8,25.0,http://www.wikidata.org/entity/Q230492,grid.214458.e,
27,28,21,University of Wisconsin - Madison,University-of-Wisconsin---Madison,usa,38.9,32.5,34.3,30.3,32.3,65.0,24.3,http://www.wikidata.org/entity/Q838330,grid.14003.36,
28,29,1,University of Copenhagen,University-of-Copenhagen,denmark,38.7,21.5,18.6,33.2,37.6,67.8,42.9,http://www.wikidata.org/entity/Q186285,grid.5254.6,
29,30,22,Rockefeller University,Rockefeller-University,usa,37.9,16.8,61.4,33.2,42.4,19.5,41.5,http://www.wikidata.org/entity/Q270272,grid.134907.8,
30,30,22,University of North Carolina at Chapel Hill,University-of-North-Carolina-at-Chapel-Hill,usa,37.9,8.8,23.4,45.9,30.2,64.7,34.4,http://www.wikidata.org/entity/Q192334,grid.10698.36,
31,32,24,New York University,New-York-University,usa,37.2,29.6,31.5,25.3,39.5,60.6,20.8,http://www.wikidata.org/entity/Q49210,grid.137628.9,
32,32,5,The University of Edinburgh,The-University-of-Edinburgh,uk,37.2,27.3,24.6,42.8,30.9,55.9,28.7,http://www.wikidata.org/entity/Q160302,grid.4305.2,
33,34,6,The University of Manchester,The-University-of-Manchester,uk,37.0,18.3,32.2,34.5,30.9,60.0,28.9,http://www.wikidata.org/entity/Q230899,grid.5379.8,
34,35,2,Kyoto University,Kyoto-University,japan,36.4,31.3,36.7,21.4,31.7,60.8,23.9,http://www.wikidata.org/entity/Q336264,grid.258799.8,
35,36,1,Sorbonne University,Sorbonne-University,france,36.1,33.3,27.1,25.3,29.9,64.7,26.2,,grid.462844.8,101.0
36,37,25,"University of Minnesota, Twin Cities",University-of-Minnesota-Twin-Cities,usa,35.9,29.2,16.1,34.5,31.2,67.5,23.7,http://www.wikidata.org/entity/Q238101,grid.17635.36,
37,38,1,The University of Melbourne,The-University-of-Melbourne,australia,35.7,16.8,13.1,42.8,21.4,72.3,33.6,http://www.wikidata.org/entity/Q319078,grid.1008.9,
38,38,26,University of Colorado at Boulder,University-of-Colorado-at-Boulder,usa,35.7,12.4,33.6,31.8,37.4,48.5,35.0,http://www.wikidata.org/entity/Q736674,grid.266190.a,
39,40,27,The University of Texas at Austin,The-University-of-Texas-at-Austin,usa,35.6,20.9,16.1,38.3,36.4,58.6,29.2,http://www.wikidata.org/entity/Q49213,grid.89336.37,
40,41,28,University of Illinois at Urbana-Champaign,University-of-Illinois-at-Urbana-Champaign,usa,35.4,29.6,35.8,19.2,31.8,57.8,28.0,http://www.wikidata.org/entity/Q457281,grid.35403.31,
41,42,2,University of Paris-Sud (Paris 11),University-of-Paris-Sud-(Paris-11),france,35.1,30.0,53.6,19.2,18.5,49.0,33.4,http://www.wikidata.org/entity/Q1480643,grid.5842.b,
42,43,2,University of British Columbia,University-of-British-Columbia,canada,34.8,15.2,18.6,34.5,29.6,66.6,26.7,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
43,44,1,Karolinska Institute,Karolinska-Institute,sweden,34.7,25.4,26.3,25.3,24.9,56.6,48.6,http://www.wikidata.org/entity/Q219564,grid.4714.6,
44,45,1,Tsinghua University,Tsinghua-University,china,34.1,10.2,0.0,37.1,38.4,74.6,24.1,http://www.wikidata.org/entity/Q16955,grid.12527.33,
45,46,29,"University of California, Santa Barbara",University-of-California-Santa-Barbara,usa,33.4,14.4,38.6,30.3,28.7,40.1,37.5,http://www.wikidata.org/entity/Q263064,grid.133342.4,
46,47,1,Heidelberg University,Heidelberg-University,germany,33.2,19.7,25.0,28.7,27.7,53.6,35.6,http://www.wikidata.org/entity/Q151510,grid.7700.0,
47,48,2,Technical University Munich,Technical-University-Munich,germany,33.0,36.6,21.3,25.3,25.2,53.6,35.5,http://www.wikidata.org/entity/Q157808,grid.6936.a,
48,48,30,The University of Texas Southwestern Medical Center at Dallas,The-University-of-Texas-Southwestern-Medical-Center-at-Dallas,usa,33.0,18.3,34.0,28.7,39.4,36.7,27.0,http://www.wikidata.org/entity/Q2725999,grid.267313.2,
49,50,31,Vanderbilt University,Vanderbilt-University,usa,32.8,15.2,28.6,30.3,23.0,53.4,35.3,http://www.wikidata.org/entity/Q29052,grid.152326.1,
50,51,32,"University of Maryland, College Park",University-of-Maryland-College-Park,usa,32.3,19.0,19.7,25.3,33.5,55.3,29.3,http://www.wikidata.org/entity/Q503415,grid.164295.d,
51,51,1,Utrecht University,Utrecht-University,netherlands,32.3,22.7,19.7,35.8,26.5,50.1,29.3,http://www.wikidata.org/entity/Q221653,grid.5477.1,
