,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,usa,100.0,100.0,100.0,100.0,100.0,100.0,76.6,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,2,Stanford University,Stanford-University,usa,73.3,40.7,89.6,80.1,70.1,70.6,53.8,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,3,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),usa,70.4,68.2,80.7,60.6,73.1,61.1,68.0,http://www.wikidata.org/entity/Q49108,grid.116068.8,
3,4,4,"University of California, Berkeley",University-of-California-Berkeley,usa,69.6,65.1,79.4,66.1,65.6,67.9,56.5,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
4,5,1,University of Cambridge,University-of-Cambridge,uk,68.8,77.1,96.6,50.8,55.6,66.4,55.8,http://www.wikidata.org/entity/Q35794,grid.5335.0,
5,6,5,Princeton University,Princeton-University,usa,61.0,53.3,93.4,57.1,43.0,42.4,70.3,http://www.wikidata.org/entity/Q21578,grid.16750.35,
6,7,6,California Institute of Technology,California-Institute-of-Technology,usa,59.6,49.5,66.7,49.3,56.4,44.0,100.0,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
7,8,7,Columbia University,Columbia-University,usa,58.8,63.5,65.9,52.1,51.9,68.8,33.2,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
8,9,8,University of Chicago,University-of-Chicago,usa,57.1,59.8,86.3,49.0,42.9,49.8,42.0,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,10,2,University of Oxford,University-of-Oxford,uk,56.6,49.7,54.9,52.3,51.9,70.9,43.1,http://www.wikidata.org/entity/Q34433,grid.4991.5,
10,11,9,Yale University,Yale-University,usa,54.5,47.6,50.4,51.0,58.8,63.0,37.8,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,"University of California, Los Angeles",University-of-California-Los-Angeles,usa,50.7,29.5,47.1,52.3,47.2,70.7,31.6,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
12,13,11,Cornell University,Cornell-University,usa,50.5,42.0,49.8,50.4,45.3,59.9,40.2,http://www.wikidata.org/entity/Q49115,grid.5386.8,
13,14,12,"University of California, San Diego",University-of-California-San-Diego,usa,48.7,19.2,35.5,56.6,55.1,62.9,36.6,http://www.wikidata.org/entity/Q622664,grid.266100.3,
14,15,13,University of Washington,University-of-Washington,usa,47.8,21.2,31.6,53.0,51.7,71.9,29.3,http://www.wikidata.org/entity/Q219563,grid.34477.33,
15,16,14,Johns Hopkins University,Johns-Hopkins-University,usa,46.3,37.7,33.6,44.0,44.9,70.2,28.8,http://www.wikidata.org/entity/Q193727,grid.21107.35,
16,17,15,University of Pennsylvania,University-of-Pennsylvania,usa,46.1,31.6,33.8,49.6,39.6,67.7,37.4,http://www.wikidata.org/entity/Q49117,grid.25879.31,
17,18,3,University College London,University-College-London,uk,44.5,28.1,36.2,38.5,40.6,71.7,32.7,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
18,18,16,"University of California, San Francisco",University-of-California-San-Francisco,usa,44.5,0.0,39.9,46.8,53.5,59.5,34.9,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
19,20,1,Swiss Federal Institute of Technology Zurich,Swiss-Federal-Institute-of-Technology-Zurich,switzerland,43.7,29.5,35.5,38.4,45.9,55.7,46.3,http://www.wikidata.org/entity/Q11942,grid.5801.c,
20,21,1,The University of Tokyo,The-University-of-Tokyo,japan,42.0,30.8,14.1,41.9,48.6,70.8,28.8,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
21,22,17,University of Michigan-Ann Arbor,University-of-Michigan-Ann-Arbor,usa,41.7,34.4,0.0,56.2,41.3,75.9,25.6,http://www.wikidata.org/entity/Q230492,grid.214458.e,
22,23,4,"The Imperial College of Science, Technology and Medicine",The-Imperial-College-of-Science-Technology-and-Medicine,uk,41.5,14.5,35.8,44.2,34.5,62.0,38.0,,grid.7445.2,103.0
23,24,18,University of Wisconsin - Madison,University-of-Wisconsin---Madison,usa,41.1,30.8,34.8,40.2,35.7,62.5,24.6,http://www.wikidata.org/entity/Q838330,grid.14003.36,
24,25,1,University of Toronto,University-of-Toronto,canada,40.6,19.9,17.2,38.8,38.6,79.1,29.3,http://www.wikidata.org/entity/Q180865,grid.17063.33,
25,26,2,Kyoto University,Kyoto-University,japan,38.9,31.6,37.2,33.6,32.6,59.0,23.5,http://www.wikidata.org/entity/Q336264,grid.258799.8,
26,27,19,New York University,New-York-University,usa,38.8,28.1,31.9,35.2,40.3,56.2,23.3,http://www.wikidata.org/entity/Q49210,grid.137628.9,
27,27,19,Northwestern University,Northwestern-University,usa,38.8,15.4,22.1,50.3,37.0,58.1,28.8,http://www.wikidata.org/entity/Q309350,grid.16753.36,
28,29,21,University of Illinois at Urbana-Champaign,University-of-Illinois-at-Urbana-Champaign,usa,38.6,29.9,36.2,34.9,32.4,55.5,28.6,http://www.wikidata.org/entity/Q457281,grid.35403.31,
