,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
113,102-150,55-70,Oregon State University,Oregon-State-University,unitedstates,,14.4,0,26.7,26.9,37.7,28.5,http://www.wikidata.org/entity/Q861888,grid.4391.f,
114,102-150,4,Swiss Federal Institute of Technology of Lausanne,Swiss-Federal-Institute-of-Technology-of-Lausanne,switzerland,,0,0,21,17.5,39.9,40.9,,grid.5333.6,103
115,102-150,2,Technion-Israel Institute of Technology,Technion-Israel-Institute-of-Technology,israel,,17.6,23.1,14.8,15.1,39.2,23.3,http://www.wikidata.org/entity/Q333705,grid.6451.6,
116,102-150,2,Tel Aviv University,Tel-Aviv-University,israel,,0,0,24.6,19.1,51.3,27.1,http://www.wikidata.org/entity/Q319239,grid.12136.37,
117,102-150,55-70,The University of Georgia,The-University-of-Georgia,unitedstates,,0,0,26.7,19.3,45,17.8,http://www.wikidata.org/entity/Q761534,grid.213876.9,
118,102-150,15-Dec,The University of Glasgow,The-University-of-Glasgow,unitedkingdom,,11.8,0,22.2,17.5,42.1,23,http://www.wikidata.org/entity/Q192775,grid.8756.c,
119,102-150,3,The University of Queensland,The-University-of-Queensland,australia,,15.6,0,14.8,21.8,52.7,25.5,http://www.wikidata.org/entity/Q866012,grid.1003.2,
120,102-150,3,The University of Western Australia,The-University-of-Western-Australia,australia,,16.6,14.1,19.6,11.9,39.4,26.1,http://www.wikidata.org/entity/Q1517021,grid.1012.2,
121,102-150,55-70,Tufts University,Tufts-University,unitedstates,,17.6,16.7,19.6,16.7,37.9,24.8,http://www.wikidata.org/entity/Q49120,grid.429997.8,
122,102-150,4-Jan,University Libre Bruxelles,University-Libre-Bruxelles,belgium,,20.4,18.9,12.8,13.9,31.4,26.4,,grid.4989.c,103
123,102-150,5,University of Alberta,University-of-Alberta,canada,,14.4,0,18.2,16.9,54.5,27.4,http://www.wikidata.org/entity/Q640694,grid.17089.37,
124,102-150,3,University of Amsterdam,University-of-Amsterdam,netherlands,,8.3,0,18.2,25.1,48.6,23.1,http://www.wikidata.org/entity/Q214341,grid.7177.6,
125,102-150,55-70,"University of California, Riverside",University-of-California-Riverside,unitedstates,,15.6,0,27.7,27.3,35.8,27.8,http://www.wikidata.org/entity/Q1075148,grid.266097.c,
126,102-150,55-70,"University of California, Santa Cruz",University-of-California-Santa-Cruz,unitedstates,,0,0,26.7,29.7,29.3,28.7,http://www.wikidata.org/entity/Q1047293,grid.205975.c,
127,102-150,11-Jul,University of Frankfurt,University-of-Frankfurt,germany,,34.3,8.9,19.6,15.5,37.5,23.4,http://www.wikidata.org/entity/Q50662,grid.7839.5,
128,102-150,4,University of Geneva,University-of-Geneva,switzerland,,27.6,0,21,23.3,35,23.8,http://www.wikidata.org/entity/Q503473,grid.8591.5,
129,102-150,3,University of Groningen,University-of-Groningen,netherlands,,0,20,14.8,17.5,45.8,20.8,http://www.wikidata.org/entity/Q850730,grid.4830.f,
130,102-150,11-Jul,University of Hamburg,University-of-Hamburg,germany,,15.6,0,18.2,20,39.2,22,http://www.wikidata.org/entity/Q156725,grid.9026.d,
131,102-150,55-70,University of Hawaii at Manoa,University-of-Hawaii-at-Manoa,unitedstates,,0,0,26.7,29,35.3,21.6,http://www.wikidata.org/entity/Q2000129,grid.410445.0,
132,102-150,55-70,University of Illinois at Chicago,University-of-Illinois-at-Chicago,unitedstates,,0,0,26.7,15,47.4,21.2,http://www.wikidata.org/entity/Q955764,grid.185648.6,
133,102-150,15-Dec,University of Leeds,University-of-Leeds,unitedkingdom,,21.2,0,10.5,26.1,42.2,23.6,http://www.wikidata.org/entity/Q503424,grid.9909.9,
134,102-150,15-Dec,University of Liverpool,University-of-Liverpool,unitedkingdom,,22,15.5,12.8,18.2,40.1,27.2,http://www.wikidata.org/entity/Q499510,grid.10025.36,
135,102-150,55-70,University of Massachusetts Amherst,University-of-Massachusetts-Amherst,unitedstates,,16.6,0,33.1,23,37.8,22.8,http://www.wikidata.org/entity/Q15142,grid.266683.f,
136,102-150,55-70,University of Massachusetts Medical School - Worcester,University-of-Massachusetts-Medical-School---Worcester,unitedstates,,0,20,14.8,23.9,28.2,20.1,http://www.wikidata.org/entity/Q7895715,grid.168645.8,
137,102-150,1,University of Milan,University-of-Milan,italy,,21.2,0,18.2,14.1,51,19.8,http://www.wikidata.org/entity/Q46210,grid.4708.b,
138,102-150,11-Jul,University of Muenster,University-of-Muenster,germany,,23.5,15.5,12.8,13.7,37.2,21.4,http://www.wikidata.org/entity/Q168426,grid.5949.1,
139,102-150,5,University of Paris Diderot (Paris 7),University-of-Paris-Diderot-(Paris-7),france,,17.1,13.8,14.8,19.1,35,20.9,,grid.7452.4,103
140,102-150,1,University of Pisa,University-of-Pisa,italy,,17.6,23.6,14.8,5.9,39.3,18.2,http://www.wikidata.org/entity/Q645663,grid.5395.a,
141,102-150,1,University of Roma - La Sapienza,University-of-Roma---La-Sapienza,italy,,15.6,15.5,10.5,17.9,52.6,14.4,,grid.7841.a,103
142,102-150,1,University of Sao Paulo,University-of-Sao-Paulo,brazil,,0,0,10.5,13.1,65.3,30.4,http://www.wikidata.org/entity/Q835960,grid.11899.38,
143,102-150,15-Dec,University of Sussex,University-of-Sussex,unitedkingdom,,0,22.8,18.2,17.5,27.9,31.1,http://www.wikidata.org/entity/Q1161297,grid.12082.39,
144,102-150,3,University of Sydney,University-of-Sydney,australia,,18.6,0,19.6,16,55.3,25.3,http://www.wikidata.org/entity/Q487556,grid.1013.3,
145,102-150,7,University of Tsukuba,University-of-Tsukuba,japan,,0,20,12.8,9.9,41,20.4,http://www.wikidata.org/entity/Q743615,grid.20515.33,
146,102-150,11-Jul,University of Tuebingen,University-of-Tuebingen,germany,,27.6,0,16.6,21.2,41.4,23.9,http://www.wikidata.org/entity/Q153978,grid.10392.39,
147,102-150,55-70,University of Virginia,University-of-Virginia,unitedstates,,0,0,31.4,22.2,45.8,23.8,http://www.wikidata.org/entity/Q213439,grid.27755.32,
148,102-150,11-Jul,University of Wuerzburg,University-of-Wuerzburg,germany,,23.5,8.9,23.4,14.1,37.2,22.5,http://www.wikidata.org/entity/Q161976,grid.8379.5,
149,102-150,2,Weizmann Institute of Science,Weizmann-Institute-of-Science,israel,,0,0,24.6,30.7,31.1,22.6,http://www.wikidata.org/entity/Q4182,grid.13992.30,
150,151-202,16-23,Cardiff University,Cardiff-University,unitedkingdom,,0,0,10.5,19.3,42.4,22.9,http://www.wikidata.org/entity/Q1035745,grid.5600.3,
151,151-202,71-88,Colorado State University,Colorado-State-University,unitedstates,,0,0,27.7,15.5,38.9,22.6,http://www.wikidata.org/entity/Q1111640,grid.47894.36,
152,151-202,9-May,Delft University of Technology,Delft-University-of-Technology,netherlands,,14.4,0,7.4,23.4,36,16.3,http://www.wikidata.org/entity/Q752663,grid.5292.c,
153,151-202,9-May,Erasmus University Rotterdam,Erasmus-University,netherlands,,0,15.5,19.6,6.2,31.5,18,,grid.6906.9,101
154,151-202,71-88,Florida State University,Florida-State-University,unitedstates,,0,0,21,22,39,19.4,http://www.wikidata.org/entity/Q861548,grid.255986.5,
155,151-202,71-88,Iowa State University,Iowa-State-University,unitedstates,,0,0,23.4,12.2,44,18.1,http://www.wikidata.org/entity/Q1136919,grid.34421.30,
156,151-202,6,Joseph Fourier University (Grenoble 1),Joseph-Fourier-University-(Grenoble-1),france,,0,15.5,10.5,16,33.6,18.8,,grid.9621.c,103
157,151-202,9,Kyushu University,Kyushu-University,japan,,0,0,14.8,17.1,51.1,20.8,http://www.wikidata.org/entity/Q1188786,grid.177174.3,
158,151-202,16-23,London School of Economics and Political Science,London-School-of-Economics-and-Political-Science,unitedkingdom,,18.6,0,16.6,,25.3,28.4,http://www.wikidata.org/entity/Q174570,grid.13063.37,
