,Rank,Name,score_list,Academic_reputation,Employer_reputation,Faculty_Student,International_Faculty,International_Students,Citations,href,location,QS_World_University_ID,item,GRID_ID,fuzz
0,1,Massachusetts Institute of Technology (MIT),100.0,100.0,99.9,100.0,100.0,100.0,96.1,/universities/massachusetts-institute-technology-mit,United States,massachusetts-institute-technology-mit,http://www.wikidata.org/entity/Q49108,grid.116068.8,
1,2,Stanford University,98.7,100.0,99.4,100.0,100.0,99.6,72.7,/universities/stanford-university,United States,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,Harvard University,98.4,100.0,99.9,100.0,98.3,96.5,75.2,/universities/harvard-university,United States,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
3,4,California Institute of Technology (Caltech),97.7,99.5,100.0,85.4,100.0,93.4,89.2,/universities/california-institute-technology-caltech,United States,california-institute-technology-caltech,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
4,5,University of Cambridge,95.6,100.0,78.3,100.0,100.0,97.4,97.7,/universities/university-cambridge,United Kingdom,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
5,6,University of Oxford,95.3,100.0,76.3,100.0,100.0,98.6,98.5,/universities/university-oxford,United Kingdom,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
6,7,UCL (University College London),94.6,99.7,74.7,99.5,99.1,96.6,100.0,/universities/ucl-university-college-london,United Kingdom,ucl-university-college-london,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
7,8,Imperial College London,93.7,99.4,68.7,100.0,100.0,100.0,100.0,/universities/imperial-college-london,United Kingdom,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
8,9,University of Chicago,93.5,99.9,85.9,92.9,96.5,71.9,79.8,/universities/university-chicago,United States,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,10,ETH Zurich - Swiss Federal Institute of Technology,93.3,99.6,98.7,99.4,68.2,100.0,98.8,/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,eth-zurich-swiss-federal-institute-technology,http://www.wikidata.org/entity/Q11942,grid.5801.c,
