,Rank,Name,score_list,Academic_reputation,Employer_reputation,Faculty_Student,International_Faculty,International_Students,Citations,href,location,QS_World_University_ID,item,GRID_ID,fuzz
10,11,"Nanyang Technological University, Singapore (NTU)",92.2,93.9,83.3,96.6,93.6,100.0,88.2,/universities/nanyang-technological-university-singapore-ntu,Singapore,nanyang-technological-university-singapore-ntu,http://www.wikidata.org/entity/Q721064,grid.59025.3b,
11,12,EPFL - Ecole Polytechnique Federale de Lausanne,91.2,83.0,99.2,95.5,92.0,100.0,100.0,/universities/epfl-ecole-polytechnique-federale-de-lausanne,Switzerland,epfl-ecole-polytechnique-federale-de-lausanne,http://www.wikidata.org/entity/Q262760,grid.5333.6,
12,13,Princeton University,91.0,100.0,100.0,97.3,70.9,67.4,70.8,/universities/princeton-university,United States,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
13,14,Cornell University,90.7,99.6,96.2,93.7,67.4,92.2,79.2,/universities/cornell-university,United States,cornell-university,http://www.wikidata.org/entity/Q49115,grid.5386.8,
14,15,National University of Singapore (NUS),90.5,100.0,66.2,99.9,88.8,100.0,86.1,/universities/national-university-singapore-nus,Singapore,national-university-singapore-nus,http://www.wikidata.org/entity/Q738236,grid.4280.e,
15,16,Yale University,90.4,100.0,63.2,99.8,100.0,90.7,61.7,/universities/yale-university,United States,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
16,17,Johns Hopkins University,89.8,94.3,83.9,66.4,100.0,87.9,81.3,/universities/johns-hopkins-university,United States,johns-hopkins-university,http://www.wikidata.org/entity/Q193727,grid.21107.35,
17,18,Columbia University,88.9,99.9,62.3,98.1,100.0,34.7,94.9,/universities/columbia-university,United States,columbia-university,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
18,19,University of Pennsylvania,88.7,97.4,67.4,94.9,100.0,67.1,64.5,/universities/university-pennsylvania,United States,university-pennsylvania,http://www.wikidata.org/entity/Q49117,grid.25879.31,
19,20,The Australian National University,87.1,99.3,85.6,90.4,55.3,100.0,98.8,/universities/australian-national-university,Australia,australian-national-university,http://www.wikidata.org/entity/Q127990,grid.1001.0,
20,=21,Duke University,87.0,94.0,91.4,78.1,98.1,,56.6,/universities/duke-university,United States,duke-university,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
21,=21,University of Michigan,87.0,99.7,66.7,92.2,89.6,78.0,51.2,/universities/university-michigan,United States,university-michigan,http://www.wikidata.org/entity/Q230492,grid.214458.e,
22,=23,King's College London,86.9,92.8,64.8,92.4,87.6,97.4,99.2,/universities/kings-college-london,United Kingdom,kings-college-london,http://www.wikidata.org/entity/Q245247,grid.13097.3c,
23,=23,The University of Edinburgh,86.9,99.1,55.5,96.6,83.2,94.9,98.6,/universities/university-edinburgh,United Kingdom,university-edinburgh,http://www.wikidata.org/entity/Q160302,grid.4305.2,
24,25,Tsinghua University,85.6,99.2,75.3,99.6,86.7,42.1,25.6,/universities/tsinghua-university,China,tsinghua-university,http://www.wikidata.org/entity/Q16955,grid.12527.33,
25,26,The University of Hong Kong,85.5,99.1,46.3,93.4,85.3,100.0,99.4,/universities/university-hong-kong,Hong Kong,university-hong-kong,http://www.wikidata.org/entity/Q15568,grid.194645.b,
26,27,"University of California, Berkeley (UCB)",84.9,100.0,99.3,99.9,36.2,97.7,54.6,/universities/university-california-berkeley-ucb,United States,university-california-berkeley-ucb,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
27,=28,Northwestern University,84.8,91.3,75.4,76.6,98.6,57.9,55.0,/universities/northwestern-university,United States,northwestern-university,http://www.wikidata.org/entity/Q309350,grid.16753.36,
28,=28,The University of Tokyo,84.8,100.0,73.3,99.8,92.6,,,/universities/university-tokyo,Japan,university-tokyo,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
29,30,The Hong Kong University of Science and Technology,84.3,93.0,87.7,87.2,54.9,100.0,93.0,/universities/hong-kong-university-science-technology,Hong Kong,hong-kong-university-science-technology,http://www.wikidata.org/entity/Q1333303,grid.24515.37,
30,31,University of Toronto,84.0,99.7,50.0,95.6,74.5,97.0,92.1,/universities/university-toronto,Canada,university-toronto,http://www.wikidata.org/entity/Q180865,grid.17063.33,
31,32,McGill University,83.9,96.9,61.4,96.1,69.4,88.9,95.6,/universities/mcgill-university,Canada,mcgill-university,http://www.wikidata.org/entity/Q201492,grid.14709.3b,
32,33,"University of California, Los Angeles (UCLA)",83.6,100.0,97.5,99.4,43.7,54.0,50.0,/universities/university-california-los-angeles-ucla,United States,university-california-los-angeles-ucla,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
33,34,The University of Manchester,83.0,97.4,47.5,99.4,75.4,89.3,98.3,/universities/university-manchester,United Kingdom,university-manchester,http://www.wikidata.org/entity/Q230899,grid.5379.8,
34,35,London School of Economics and Political Science (LSE),81.8,90.3,71.7,100.0,55.9,100.0,100.0,/universities/london-school-economics-political-science-lse,United Kingdom,london-school-economics-political-science-lse,http://www.wikidata.org/entity/Q174570,grid.13063.37,
35,=36,Kyoto University,81.5,99.7,56.4,94.9,95.7,,,/universities/kyoto-university,Japan,kyoto-university,http://www.wikidata.org/entity/Q336264,grid.258799.8,
36,=36,Seoul National University,81.5,98.9,70.6,97.4,79.8,23.0,,/universities/seoul-national-university,South Korea,seoul-national-university,http://www.wikidata.org/entity/Q39913,grid.31501.36,
37,=38,Peking University,80.8,99.8,61.7,99.9,66.6,52.8,48.5,/universities/peking-university,China,peking-university,http://www.wikidata.org/entity/Q16952,grid.11135.37,
38,=38,"University of California, San Diego (UCSD)",80.8,96.0,90.3,61.3,58.9,64.6,59.9,/universities/university-california-san-diego-ucsd,United States,university-california-san-diego-ucsd,http://www.wikidata.org/entity/Q622664,grid.266100.3,
39,40,Fudan University,80.6,91.4,63.7,97.1,76.1,79.5,45.2,/universities/fudan-university,China,fudan-university,http://www.wikidata.org/entity/Q495015,grid.8547.e,
40,=41,KAIST - Korea Advanced Institute of Science & Technology,80.4,89.4,99.5,87.4,70.1,25.2,,/universities/kaist-korea-advanced-institute-science-technology,South Korea,kaist-korea-advanced-institute-science-technology,http://www.wikidata.org/entity/Q39949,grid.37172.30,
41,=41,The University of Melbourne,80.4,99.8,77.2,99.5,26.2,94.7,99.7,/universities/university-melbourne,Australia,university-melbourne,http://www.wikidata.org/entity/Q319078,grid.1008.9,
42,43,"Ecole normale supérieure, Paris",79.9,80.2,100.0,78.6,60.4,94.4,60.4,/universities/ecole-normale-superieure-paris,France,ecole-normale-superieure-paris,,grid.5607.4,103.0
43,44,University of Bristol,79.5,85.7,56.4,95.5,79.2,87.9,79.2,/universities/university-bristol,United Kingdom,university-bristol,http://www.wikidata.org/entity/Q459506,grid.5337.2,
44,45,The University of New South Wales (UNSW Sydney),78.9,96.4,79.8,98.4,,100.0,97.8,/universities/university-new-south-wales-unsw-sydney,Australia,university-new-south-wales-unsw-sydney,http://www.wikidata.org/entity/Q734764,grid.1005.4,
45,46,The Chinese University of Hong Kong (CUHK),78.8,94.3,50.7,83.3,66.0,99.8,84.9,/universities/chinese-university-hong-kong-cuhk,Hong Kong,chinese-university-hong-kong-cuhk,http://www.wikidata.org/entity/Q15570,grid.10784.3a,
46,=47,Carnegie Mellon University,78.6,85.0,95.6,85.1,43.2,62.3,100.0,/universities/carnegie-mellon-university,United States,carnegie-mellon-university,http://www.wikidata.org/entity/Q190080,grid.147455.6,
47,=47,The University of Queensland,78.6,94.6,83.4,84.1,30.8,100.0,87.3,/universities/university-queensland,Australia,university-queensland,http://www.wikidata.org/entity/Q866012,grid.1003.2,
48,49,City University of Hong Kong,78.4,70.8,91.5,50.5,83.6,100.0,97.5,/universities/city-university-hong-kong,Hong Kong,city-university-hong-kong,http://www.wikidata.org/entity/Q787360,grid.35030.35,
49,50,The University of Sydney,78.0,99.3,70.3,98.3,,100.0,98.1,/universities/university-sydney,Australia,university-sydney,http://www.wikidata.org/entity/Q487556,grid.1013.3,
50,51,University of British Columbia,77.9,99.1,63.7,95.5,37.9,91.5,72.2,/universities/university-british-columbia,Canada,university-british-columbia,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
51,52,New York University (NYU),77.3,97.9,23.4,92.6,95.5,,84.1,/universities/new-york-university-nyu,United States,new-york-university-nyu,http://www.wikidata.org/entity/Q49210,grid.137628.9,
52,53,Brown University,76.5,72.5,92.5,56.9,80.3,80.2,60.9,/universities/brown-university,United States,brown-university,http://www.wikidata.org/entity/Q49114,grid.40263.33,
53,54,Delft University of Technology,76.1,79.7,91.6,91.0,36.7,97.7,87.4,/universities/delft-university-technology,Netherlands,delft-university-technology,http://www.wikidata.org/entity/Q752663,grid.5292.c,
54,55,University of Wisconsin-Madison,75.8,94.0,54.2,62.1,84.0,53.2,30.9,/universities/university-wisconsin-madison,United States,university-wisconsin-madison,http://www.wikidata.org/entity/Q838330,grid.14003.36,
55,56,Tokyo Institute of Technology,74.8,83.1,62.4,83.7,90.1,26.5,24.4,/universities/tokyo-institute-technology,Japan,tokyo-institute-technology,http://www.wikidata.org/entity/Q587326,grid.32197.3e,
56,57,The University of Warwick,74.4,83.5,54.1,98.9,51.2,98.0,99.0,/universities/university-warwick,United Kingdom,university-warwick,http://www.wikidata.org/entity/Q865528,grid.7372.1,
57,58,University of Amsterdam,74.3,90.1,83.5,66.1,45.2,75.4,38.9,/universities/university-amsterdam,Netherlands,university-amsterdam,http://www.wikidata.org/entity/Q214341,grid.7177.6,
58,59,Ecole Polytechnique,74.0,61.2,50.8,99.9,99.3,96.4,90.8,/universities/ecole-polytechnique,France,ecole-polytechnique,http://www.wikidata.org/entity/Q273626,grid.10877.39,
59,60,Monash University,73.1,93.6,68.5,95.2,,100.0,97.7,/universities/monash-university,Australia,monash-university,http://www.wikidata.org/entity/Q598841,grid.1002.3,
60,61,University of Washington,72.9,92.3,98.8,56.7,28.0,57.2,39.4,/universities/university-washington,United States,university-washington,http://www.wikidata.org/entity/Q219563,grid.34477.33,
61,62,Shanghai Jiao Tong University,72.5,87.0,81.5,97.4,36.7,69.2,,/universities/shanghai-jiao-tong-university,China,shanghai-jiao-tong-university,http://www.wikidata.org/entity/Q525169,grid.16821.3c,
62,63,Osaka University,72.1,88.5,63.1,75.4,71.9,21.5,,/universities/osaka-university,Japan,osaka-university,http://www.wikidata.org/entity/Q651233,grid.136593.b,
63,64,Technical University of Munich,72.0,86.3,26.6,98.7,86.4,53.0,44.8,/universities/technical-university-munich,Germany,technical-university-munich,http://www.wikidata.org/entity/Q157808,grid.6936.a,
64,65,University of Glasgow,71.6,80.4,55.5,66.6,60.7,90.5,96.6,/universities/university-glasgow,United Kingdom,university-glasgow,http://www.wikidata.org/entity/Q192775,grid.8756.c,
65,66,Ludwig-Maximilians-Universität München,70.8,95.8,55.1,88.2,38.9,54.8,38.6,/universities/ludwig-maximilians-universitat-munchen,Germany,ludwig-maximilians-universitat-munchen,http://www.wikidata.org/entity/Q55044,grid.5252.0,
66,67,University of Texas at Austin,70.6,97.6,95.7,82.1,,,,/universities/university-texas-austin,United States,university-texas-austin,http://www.wikidata.org/entity/Q49213,grid.89336.37,
67,68,Ruprecht-Karls-Universität Heidelberg,70.4,87.6,34.8,76.5,76.6,50.5,55.2,/universities/ruprecht-karls-universitat-heidelberg,Germany,ruprecht-karls-universitat-heidelberg,http://www.wikidata.org/entity/Q151510,grid.7700.0,
68,69,University of Illinois at Urbana-Champaign,70.3,95.1,93.5,59.8,,20.4,71.2,/universities/university-illinois-urbana-champaign,United States,university-illinois-urbana-champaign,http://www.wikidata.org/entity/Q457281,grid.35403.31,
69,70,Georgia Institute of Technology,70.1,79.1,99.1,79.4,31.7,,72.1,/universities/georgia-institute-technology,United States,georgia-institute-technology,http://www.wikidata.org/entity/Q864855,grid.213917.f,
70,=71,KU Leuven,69.4,88.1,88.9,78.0,,84.8,41.6,/universities/ku-leuven,Belgium,ku-leuven,http://www.wikidata.org/entity/Q833670,grid.5596.f,
71,=71,Pohang University of Science And Technology (POSTECH),69.4,50.9,99.8,65.6,99.5,42.4,,/universities/pohang-university-science-technology-postech,South Korea,pohang-university-science-technology-postech,http://www.wikidata.org/entity/Q40018,grid.49100.3c,
72,=73,University of Copenhagen,69.2,81.7,26.9,54.2,99.9,84.9,26.5,/universities/university-copenhagen,Denmark,university-copenhagen,http://www.wikidata.org/entity/Q186285,grid.5254.6,
73,=73,University of Zurich,69.2,68.3,31.9,78.1,98.1,100.0,59.2,/universities/university-zurich,Switzerland,university-zurich,http://www.wikidata.org/entity/Q206702,grid.7400.3,
74,75,Universidad de Buenos Aires (UBA),69.1,94.5,,95.5,75.1,50.3,70.6,/universities/universidad-de-buenos-aires-uba,Argentina,universidad-de-buenos-aires-uba,http://www.wikidata.org/entity/Q194223,grid.7345.5,
75,=76,National Taiwan University (NTU),69.0,95.6,74.1,74.2,33.3,,,/universities/national-taiwan-university-ntu,Taiwan,national-taiwan-university-ntu,http://www.wikidata.org/entity/Q32746,grid.19188.39,
76,=76,Tohoku University,69.0,78.3,48.4,66.0,98.1,,,/universities/tohoku-university,Japan,tohoku-university,http://www.wikidata.org/entity/Q1062129,grid.69566.3a,
77,=78,Durham University,68.5,66.8,76.3,97.1,37.5,94.8,87.8,/universities/durham-university,United Kingdom,durham-university,http://www.wikidata.org/entity/Q458393,grid.8250.f,
78,=78,Lund University,68.5,80.0,51.8,71.8,53.7,88.3,73.8,/universities/lund-university,Sweden,lund-university,http://www.wikidata.org/entity/Q218506,grid.4514.4,
79,80,"University of North Carolina, Chapel Hill",67.8,77.5,61.5,48.1,86.9,28.5,,/universities/university-north-carolina-chapel-hill,United States,university-north-carolina-chapel-hill,http://www.wikidata.org/entity/Q192334,grid.10698.36,
80,81,Boston University,67.2,71.3,59.8,78.5,66.4,22.1,86.5,/universities/boston-university,United States,boston-university,http://www.wikidata.org/entity/Q49110,grid.189504.1,
81,=82,The University of Auckland,67.0,92.2,48.1,77.3,,85.5,89.6,/universities/university-auckland,New Zealand,university-auckland,http://www.wikidata.org/entity/Q492467,grid.9654.e,
82,=82,The University of Sheffield,67.0,69.8,50.1,69.9,64.3,83.6,96.8,/universities/university-sheffield,United Kingdom,university-sheffield,http://www.wikidata.org/entity/Q823917,grid.11835.3e,
83,=84,University of Nottingham,66.8,69.9,46.3,87.5,59.5,89.5,86.5,/universities/university-nottingham,United Kingdom,university-nottingham,http://www.wikidata.org/entity/Q472316,grid.4563.4,
84,=84,University of Birmingham,66.8,74.7,47.2,88.6,48.2,90.9,86.0,/universities/university-birmingham,United Kingdom,university-birmingham,http://www.wikidata.org/entity/Q223429,grid.6572.6,
85,86,The Ohio State University,66.1,75.3,40.3,60.6,77.7,79.3,44.7,/universities/ohio-state-university,United States,ohio-state-university,http://www.wikidata.org/entity/Q309331,grid.261331.4,
86,87,Zhejiang University,65.9,74.0,80.2,87.1,37.2,54.2,25.9,/universities/zhejiang-university,China,zhejiang-university,http://www.wikidata.org/entity/Q197543,grid.13402.34,
87,88,"Trinity College Dublin, The University of Dublin",65.7,73.8,68.3,68.9,30.7,98.4,89.5,/universities/trinity-college-dublin-university-dublin,Ireland,trinity-college-dublin-university-dublin,http://www.wikidata.org/entity/Q258464,grid.8217.c,
88,89,Rice University,65.6,45.5,96.7,,83.9,87.5,87.7,/universities/rice-university,United States,rice-university,http://www.wikidata.org/entity/Q842909,grid.21940.3e,
89,=90,Korea University,65.5,76.8,32.8,88.1,82.8,,36.7,/universities/korea-university,South Korea,korea-university,http://www.wikidata.org/entity/Q39997,grid.222754.4,
90,=90,University of Alberta,65.5,73.0,49.6,61.1,56.6,93.0,82.4,/universities/university-alberta,Canada,university-alberta,http://www.wikidata.org/entity/Q640694,grid.17089.37,
91,92,University of St Andrews,65.3,53.0,69.6,57.1,72.0,98.0,99.9,/universities/university-st-andrews,United Kingdom,university-st-andrews,http://www.wikidata.org/entity/Q216273,grid.11914.3c,
92,=93,Pennsylvania State University,65.2,84.6,80.2,75.1,,,42.9,/universities/pennsylvania-state-university,United States,pennsylvania-state-university,http://www.wikidata.org/entity/Q739627,grid.29857.31,
93,=93,The University of Western Australia,65.2,71.6,82.3,64.1,,100.0,72.9,/universities/university-western-australia,Australia,university-western-australia,http://www.wikidata.org/entity/Q1517021,grid.1012.2,
94,=95,Lomonosov Moscow State University,65.0,82.0,,79.6,99.7,,48.7,/universities/lomonosov-moscow-state-university,Russia,lomonosov-moscow-state-university,http://www.wikidata.org/entity/Q13164,grid.14476.30,
95,=95,The Hong Kong Polytechnic University,65.0,70.2,54.5,52.4,58.0,100.0,80.2,/universities/hong-kong-polytechnic-university,Hong Kong,hong-kong-polytechnic-university,http://www.wikidata.org/entity/Q1187271,grid.16890.36,
96,97,University of Science and Technology of China,64.9,62.9,96.7,57.9,67.6,,,/universities/university-science-technology-china,China,university-science-technology-china,http://www.wikidata.org/entity/Q1074103,grid.59053.3a,
97,=98,KTH Royal Institute of Technology,64.7,57.2,70.0,87.0,62.5,88.1,42.0,/universities/kth-royal-institute-technology,Sweden,kth-royal-institute-technology,http://www.wikidata.org/entity/Q854280,grid.5037.1,
98,=98,University of Geneva,64.7,57.7,82.1,41.4,55.1,100.0,98.9,/universities/university-geneva,Switzerland,university-geneva,http://www.wikidata.org/entity/Q503473,grid.8591.5,
99,100,Washington University in St. Louis,64.6,51.0,78.3,,99.6,57.8,62.4,/universities/washington-university-st-louis,United States,washington-university-st-louis,http://www.wikidata.org/entity/Q777403,grid.4367.6,
100,101,University of Leeds,64.5,74.4,42.3,86.9,47.0,79.4,81.3,/universities/university-leeds,United Kingdom,university-leeds,http://www.wikidata.org/entity/Q503424,grid.9909.9,
101,=102,University of Helsinki,63.9,76.4,41.5,51.4,83.4,53.6,,/universities/university-helsinki,Finland,university-helsinki,http://www.wikidata.org/entity/Q28695,grid.7737.4,
102,=102,University of Southampton,63.9,62.1,56.0,58.4,62.6,92.7,95.3,/universities/university-southampton,United Kingdom,university-southampton,http://www.wikidata.org/entity/Q76473,grid.5491.9,
103,104,Eindhoven University of Technology,63.6,39.1,83.3,54.4,93.1,98.4,43.8,/universities/eindhoven-university-technology,Netherlands,eindhoven-university-technology,http://www.wikidata.org/entity/Q280824,grid.6852.9,
104,105,Purdue University,63.2,73.7,58.0,70.7,31.6,97.2,73.7,/universities/purdue-university,United States,purdue-university,http://www.wikidata.org/entity/Q217741,grid.169077.e,
105,106,Yonsei University,62.3,71.8,31.8,87.7,79.6,,32.6,/universities/yonsei-university,South Korea,yonsei-university,http://www.wikidata.org/entity/Q39988,grid.15444.30,
106,107,"KIT, Karlsruhe Institute of Technology",61.9,57.2,69.8,96.8,47.0,61.1,55.5,/universities/kit-karlsruhe-institute-technology,Germany,kit-karlsruhe-institute-technology,http://www.wikidata.org/entity/Q309988,grid.7892.4,
107,108,Sungkyunkwan University (SKKU),61.6,62.4,37.9,96.5,85.1,,27.6,/universities/sungkyunkwan-university-skku,South Korea,sungkyunkwan-university-skku,http://www.wikidata.org/entity/Q41085,grid.264381.a,
108,=109,Leiden University,61.5,77.9,70.9,42.1,33.7,69.2,33.0,/universities/leiden-university,Netherlands,leiden-university,http://www.wikidata.org/entity/Q156598,grid.5132.5,
109,=109,The University of Adelaide,61.5,73.0,55.2,58.5,28.5,93.3,98.8,/universities/university-adelaide,Australia,university-adelaide,http://www.wikidata.org/entity/Q15574,grid.1010.0,
110,=109,Utrecht University,61.5,74.6,75.5,43.6,41.8,57.2,,/universities/utrecht-university,Netherlands,utrecht-university,http://www.wikidata.org/entity/Q221653,grid.5477.1,
111,112,Uppsala University,61.4,75.7,56.5,49.4,46.2,46.7,64.1,/universities/uppsala-university,Sweden,uppsala-university,http://www.wikidata.org/entity/Q185246,grid.8993.b,
112,113,University of Groningen,61.3,60.9,53.6,36.3,65.3,89.7,99.1,/universities/university-groningen,Netherlands,university-groningen,http://www.wikidata.org/entity/Q850730,grid.4830.f,
113,=114,Nanjing University,60.8,69.5,85.3,66.2,,69.7,,/universities/nanjing-university,China,nanjing-university,http://www.wikidata.org/entity/Q683580,grid.41156.37,
114,=114,Universiti Malaya (UM),60.8,65.7,24.3,57.5,87.8,65.4,59.7,/universities/universiti-malaya-um,Malaysia,universiti-malaya-um,http://www.wikidata.org/entity/Q1142924,grid.10347.31,
115,=116,Nagoya University,60.7,68.9,37.0,51.5,93.5,,,/universities/nagoya-university,Japan,nagoya-university,http://www.wikidata.org/entity/Q1191132,grid.27476.30,
116,=116,Technical University of Denmark,60.7,35.4,69.3,38.5,99.8,99.2,75.7,/universities/technical-university-denmark,Denmark,technical-university-denmark,http://www.wikidata.org/entity/Q1269766,grid.5170.3,
117,118,"University of California, Davis",60.4,80.7,61.6,47.1,36.1,42.0,33.3,/universities/university-california-davis,United States,university-california-davis,http://www.wikidata.org/entity/Q129421,grid.27860.3b,
118,119,Aarhus University,59.3,66.1,74.6,54.6,34.3,72.1,37.9,/universities/aarhus-university,Denmark,aarhus-university,http://www.wikidata.org/entity/Q924265,grid.7048.b,
119,120,Humboldt-Universität zu Berlin,59.2,94.0,33.6,73.4,,55.2,38.4,/universities/humboldt-universitat-zu-berlin,Germany,humboldt-universitat-zu-berlin,http://www.wikidata.org/entity/Q152087,grid.7468.d,
120,121,Universidade de São Paulo,59.1,94.8,25.7,90.2,31.4,,,/universities/universidade-de-sao-paulo,Brazil,universidade-de-sao-paulo,http://www.wikidata.org/entity/Q835960,grid.11899.38,
121,=122,Hokkaido University,59.0,68.5,35.1,59.5,85.0,,,/universities/hokkaido-university,Japan,hokkaido-university,http://www.wikidata.org/entity/Q1057199,grid.39158.36,
122,=122,Universidad Nacional Autónoma de México  (UNAM),59.0,95.8,,89.6,50.9,,,/universities/universidad-nacional-autonoma-de-mexico-unam,Mexico,universidad-nacional-autonoma-de-mexico-unam,http://www.wikidata.org/entity/Q222738,grid.9486.3,
123,124,Wageningen University,58.7,45.2,56.7,35.3,97.9,32.8,88.8,/universities/wageningen-university,Netherlands,wageningen-university,http://www.wikidata.org/entity/Q422208,grid.4818.5,
124,=125,Freie Universitaet Berlin,58.4,88.7,48.3,61.4,,60.2,51.1,/universities/freie-universitaet-berlin,Germany,freie-universitaet-berlin,http://www.wikidata.org/entity/Q153006,grid.14095.39,
125,=125,Ghent University,58.4,62.4,55.3,47.3,69.4,49.7,22.9,/universities/ghent-university,Belgium,ghent-university,http://www.wikidata.org/entity/Q1137665,grid.5342.0,
126,127,Queen Mary University of London,58.3,56.2,43.3,49.7,61.0,98.0,99.6,/universities/queen-mary-university-london,United Kingdom,queen-mary-university-london,http://www.wikidata.org/entity/Q195668,grid.4868.2,
127,128,Kyushu University,58.2,63.6,31.9,62.0,91.1,,,/universities/kyushu-university,Japan,kyushu-university,http://www.wikidata.org/entity/Q1188786,grid.177174.3,
128,129,"University of Maryland, College Park",58.1,63.8,75.8,33.2,55.0,26.1,33.1,/universities/university-maryland-college-park,United States,university-maryland-college-park,http://www.wikidata.org/entity/Q503415,grid.164295.d,
129,130,Université de Montréal,57.7,67.2,49.9,73.5,,91.3,79.4,/universities/universite-de-montreal,Canada,universite-de-montreal,http://www.wikidata.org/entity/Q392189,grid.14848.31,
130,131,Université Pierre et Marie Curie (UPMC),57.5,63.0,81.0,53.5,34.5,23.3,50.7,/universities/universite-pierre-et-marie-curie-upmc,France,universite-pierre-et-marie-curie-upmc,,grid.5805.8,103.0
131,132,University of Southern California,57.2,64.8,70.4,55.0,27.8,44.6,75.8,/universities/university-southern-california,United States,university-southern-california,http://www.wikidata.org/entity/Q4614,grid.42505.36,
132,133,Chalmers University of Technology,57.1,42.1,70.3,75.7,60.5,84.9,44.2,/universities/chalmers-university-technology,Sweden,chalmers-university-technology,http://www.wikidata.org/entity/Q836805,grid.5371.0,
133,134,"University of California, Santa Barbara (UCSB)",56.9,75.7,97.5,,,47.2,,/universities/university-california-santa-barbara-ucsb,United States,university-california-santa-barbara-ucsb,http://www.wikidata.org/entity/Q263064,grid.133342.4,
134,=135,Lancaster University,56.3,50.2,63.2,47.1,46.2,91.2,98.0,/universities/lancaster-university,United Kingdom,lancaster-university,http://www.wikidata.org/entity/Q262854,grid.9835.7,
135,=135,University of York,56.3,52.2,53.0,50.2,58.9,90.9,66.2,/universities/university-york,United Kingdom,university-york,http://www.wikidata.org/entity/Q967165,grid.5685.e,
136,=137,Aalto University,56.0,46.5,63.8,53.5,65.1,81.0,41.0,/universities/aalto-university,Finland,aalto-university,http://www.wikidata.org/entity/Q300980,grid.5373.2,
137,=137,Cardiff University,56.0,57.1,39.5,63.0,56.6,70.9,79.6,/universities/cardiff-university,United Kingdom,cardiff-university,http://www.wikidata.org/entity/Q1035745,grid.5600.3,
138,=137,Pontificia Universidad Católica de Chile (UC),56.0,92.4,,94.6,30.3,,,/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc,Chile,pontificia-universidad-cat%C3%B3lica-de-chile-uc,,grid.7870.8,103.0
139,140,McMaster University,55.8,51.8,35.7,57.2,77.2,92.8,40.5,/universities/mcmaster-university,Canada,mcmaster-university,http://www.wikidata.org/entity/Q632891,grid.25073.33,
140,141,RWTH Aachen University,55.6,71.3,42.1,98.4,,32.6,58.8,/universities/rwth-aachen-university,Germany,rwth-aachen-university,http://www.wikidata.org/entity/Q273263,grid.1957.a,
141,=142,University of Oslo,55.5,62.8,48.9,41.5,51.7,78.4,42.4,/universities/university-oslo,Norway,university-oslo,http://www.wikidata.org/entity/Q486156,grid.5510.1,
142,=142,University of Pittsburgh,55.5,51.0,51.3,,97.7,24.3,25.2,/universities/university-pittsburgh,United States,university-pittsburgh,http://www.wikidata.org/entity/Q235034,grid.21925.3d,
