,Rank,Name,score_list,Academic_reputation,Employer_reputation,Faculty_Student,International_Faculty,International_Students,Citations,href,location,QS_World_University_ID,item,GRID_ID,fuzz
0,1,Massachusetts Institute of Technology (MIT),100.0,100.0,100.0,100.0,100.0,95.5,99.8,/universities/massachusetts-institute-technology-mit,United States,massachusetts-institute-technology-mit,http://www.wikidata.org/entity/Q49108,grid.116068.8,
1,2,Stanford University,98.6,100.0,100.0,100.0,99.8,70.5,99.0,/universities/stanford-university,United States,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,Harvard University,98.5,100.0,100.0,99.3,92.1,75.7,99.8,/universities/harvard-university,United States,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
3,4,California Institute of Technology (Caltech),97.2,98.7,81.2,100.0,96.8,90.3,100.0,/universities/california-institute-technology-caltech,United States,california-institute-technology-caltech,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
4,5,University of Oxford,96.8,100.0,100.0,100.0,99.6,98.8,83.0,/universities/university-oxford,United Kingdom,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
5,6,University of Cambridge,95.6,100.0,100.0,100.0,99.4,97.9,77.2,/universities/university-cambridge,United Kingdom,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
6,7,ETH Zurich - Swiss Federal Institute of Technology,95.3,98.2,96.2,82.4,100.0,98.6,98.7,/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,eth-zurich-swiss-federal-institute-technology,http://www.wikidata.org/entity/Q11942,grid.5801.c,
7,8,Imperial College London,93.3,98.7,99.9,99.9,100.0,100.0,67.8,/universities/imperial-college-london,United Kingdom,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
8,9,University of Chicago,93.2,99.6,90.7,97.4,74.2,82.5,83.6,/universities/university-chicago,United States,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,10,UCL (University College London),92.9,99.3,99.2,99.2,98.7,100.0,66.2,/universities/ucl-university-college-london,United Kingdom,ucl-university-college-london,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
10,11,National University of Singapore (NUS),92.0,99.8,99.1,91.8,100.0,80.7,72.8,/universities/national-university-singapore-nus,Singapore,national-university-singapore-nus,http://www.wikidata.org/entity/Q738236,grid.4280.e,
11,12,"Nanyang Technological University, Singapore (NTU)",91.3,90.3,92.6,95.0,100.0,83.5,87.5,/universities/nanyang-technological-university-singapore-ntu,Singapore,nanyang-technological-university-singapore-ntu,http://www.wikidata.org/entity/Q721064,grid.59025.3b,
12,13,Princeton University,90.9,99.9,96.7,70.3,70.1,69.2,100.0,/universities/princeton-university,United States,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
13,14,Cornell University,90.5,98.7,90.5,70.4,93.3,77.0,95.9,/universities/cornell-university,United States,cornell-university,http://www.wikidata.org/entity/Q49115,grid.5386.8,
14,15,Yale University,89.6,99.9,99.7,100.0,86.3,61.2,60.2,/universities/yale-university,United States,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
15,16,Columbia University,88.5,99.7,97.4,100.0,40.4,96.2,59.2,/universities/columbia-university,United States,columbia-university,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
16,17,Tsinghua University,87.2,97.0,99.4,91.5,60.6,29.2,77.4,/universities/tsinghua-university,China,tsinghua-university,http://www.wikidata.org/entity/Q16955,grid.12527.33,
17,18,The University of Edinburgh,86.9,97.3,94.0,85.5,97.4,98.8,57.2,/universities/university-edinburgh,United Kingdom,university-edinburgh,http://www.wikidata.org/entity/Q160302,grid.4305.2,
18,19,University of Pennsylvania,86.5,95.4,92.6,100.0,72.1,65.2,59.7,/universities/university-pennsylvania,United States,university-pennsylvania,http://www.wikidata.org/entity/Q49117,grid.25879.31,
19,20,University of Michigan,86.4,98.9,90.2,94.3,82.3,49.8,60.5,/universities/university-michigan,United States,university-michigan,http://www.wikidata.org/entity/Q230492,grid.214458.e,
20,21,Johns Hopkins University,85.9,89.7,56.9,100.0,79.9,81.6,80.2,/universities/johns-hopkins-university,United States,johns-hopkins-university,http://www.wikidata.org/entity/Q193727,grid.21107.35,
21,22,EPFL - Ecole Polytechnique Federale de Lausanne,85.8,72.8,78.2,94.5,100.0,100.0,98.9,/universities/epfl-ecole-polytechnique-federale-de-lausanne,Switzerland,epfl-ecole-polytechnique-federale-de-lausanne,http://www.wikidata.org/entity/Q262760,grid.5333.6,
22,23,The University of Tokyo,85.3,100.0,99.5,94.2,12.3,25.5,72.2,/universities/university-tokyo,Japan,university-tokyo,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
23,24,The Australian National University,84.4,97.1,82.6,47.9,100.0,99.5,87.8,/universities/australian-national-university,Australia,australian-national-university,http://www.wikidata.org/entity/Q127990,grid.1001.0,
24,25,The University of Hong Kong,84.3,96.7,83.7,88.1,100.0,99.4,47.1,/universities/university-hong-kong,Hong Kong,university-hong-kong,http://www.wikidata.org/entity/Q15568,grid.194645.b,
