,Rank,Name,score_list,Academic_reputation,Employer_reputation,Faculty_Student,International_Faculty,International_Students,Citations,href,location,QS_World_University_ID,item,GRID_ID,fuzz
0,1,Massachusetts Institute of Technology (MIT),100.0,100.0,100.0,100.0,100.0,95.5,100.0,/universities/massachusetts-institute-technology-mit,United States,massachusetts-institute-technology-mit,http://www.wikidata.org/entity/Q49108,grid.116068.8,
1,2,Harvard University,98.7,100.0,100.0,98.6,99.9,76.0,100.0,/universities/harvard-university,United States,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
2,=3,University of Cambridge,98.6,100.0,100.0,100.0,96.2,96.6,93.7,/universities/university-cambridge,United Kingdom,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
3,=3,Stanford University,98.6,100.0,100.0,99.5,97.6,72.8,99.9,/universities/stanford-university,United States,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
4,5,California Institute of Technology (Caltech),97.9,99.8,89.6,100.0,90.2,85.2,100.0,/universities/california-institute-technology-caltech,United States,california-institute-technology-caltech,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
5,6,University of Oxford,97.7,100.0,100.0,100.0,97.8,96.6,88.9,/universities/university-oxford,United Kingdom,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
6,7,UCL (University College London),97.2,99.9,99.8,98.6,95.5,99.9,88.0,/universities/ucl-university-college-london,United Kingdom,ucl-university-college-london,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
7,8,Imperial College London,96.1,99.9,100.0,99.9,100.0,100.0,79.6,/universities/imperial-college-london,United Kingdom,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
8,9,ETH Zurich - Swiss Federal Institute of Technology,95.5,99.9,99.0,78.6,100.0,98.0,98.8,/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,eth-zurich-swiss-federal-institute-technology,http://www.wikidata.org/entity/Q11942,grid.5801.c,
9,10,University of Chicago,94.6,99.9,96.3,93.8,73.4,81.6,91.5,/universities/university-chicago,United States,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
10,11,Princeton University,94.4,100.0,98.5,92.9,47.2,68.2,100.0,/universities/princeton-university,United States,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
11,12,National University of Singapore (NUS),94.2,100.0,100.0,92.9,100.0,92.5,78.9,/universities/national-university-singapore-nus,Singapore,national-university-singapore-nus,http://www.wikidata.org/entity/Q738236,grid.4280.e,
12,13,"Nanyang Technological University, Singapore (NTU)",93.9,95.3,97.5,94.2,100.0,94.0,86.5,/universities/nanyang-technological-university-singapore-ntu,Singapore,nanyang-technological-university-singapore-ntu,http://www.wikidata.org/entity/Q721064,grid.59025.3b,
13,14,EPFL - Ecole Polytechnique Federale de Lausanne,93.8,89.1,93.6,93.6,100.0,100.0,99.3,/universities/epfl-ecole-polytechnique-federale-de-lausanne,Switzerland,epfl-ecole-polytechnique-federale-de-lausanne,http://www.wikidata.org/entity/Q262760,grid.5333.6,
