,Rank,Name,score_list,Academic_reputation,Employer_reputation,Faculty_Student,International_Faculty,International_Students,Citations,href,location,QS_World_University_ID,item,GRID_ID,fuzz
0,1,Massachusetts Institute of Technology (MIT),100.0,100.0,100.0,100.0,97.6,96.3,99.7,/universities/massachusetts-institute-technology-mit,United States,massachusetts-institute-technology-mit,http://www.wikidata.org/entity/Q49108,grid.116068.8,
1,2,Harvard University,99.2,100.0,100.0,99.3,94.1,85.3,100.0,/universities/harvard-university,United States,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
2,3,University of Cambridge,99.0,100.0,100.0,99.6,95.5,96.0,95.8,/universities/university-cambridge,United Kingdom,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
3,4,UCL (University College London),98.9,99.9,98.7,98.9,96.5,100.0,95.6,/universities/ucl-university-college-london,United Kingdom,ucl-university-college-london,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
4,5,Imperial College London,98.8,99.9,100.0,99.8,99.9,99.9,92.5,/universities/imperial-college-london,United Kingdom,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
5,6,University of Oxford,98.7,100.0,100.0,100.0,97.7,96.7,93.1,/universities/university-oxford,United Kingdom,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
6,7,Stanford University,96.8,100.0,100.0,94.4,75.6,76.0,100.0,/universities/stanford-university,United States,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
7,8,Yale University,96.5,100.0,100.0,100.0,94.4,72.7,88.8,/universities/yale-university,United States,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
8,9,University of Chicago,96.2,99.9,94.3,96.2,78.8,74.9,97.8,/universities/university-chicago,United States,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,=10,California Institute of Technology (Caltech),96.1,99.6,69.2,100.0,92.2,87.7,100.0,/universities/california-institute-technology-caltech,United States,california-institute-technology-caltech,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
10,=10,Princeton University,96.1,100.0,95.1,96.3,76.3,68.8,98.8,/universities/princeton-university,United States,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
11,12,ETH Zurich - Swiss Federal Institute of Technology,94.3,99.9,97.9,76.5,100.0,98.4,94.9,/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,eth-zurich-swiss-federal-institute-technology,http://www.wikidata.org/entity/Q11942,grid.5801.c,
12,13,University of Pennsylvania,93.8,98.4,93.8,99.9,55.0,69.8,92.7,/universities/university-pennsylvania,United States,university-pennsylvania,http://www.wikidata.org/entity/Q49117,grid.25879.31,
13,14,Columbia University,93.6,100.0,100.0,95.9,16.2,78.8,96.8,/universities/columbia-university,United States,columbia-university,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
14,15,Cornell University,92.5,99.8,97.8,75.1,87.8,64.6,99.2,/universities/cornell-university,United States,cornell-university,http://www.wikidata.org/entity/Q49115,grid.5386.8,
15,16,Johns Hopkins University,92.1,96.0,64.1,100.0,78.9,69.7,97.8,/universities/johns-hopkins-university,United States,johns-hopkins-university,http://www.wikidata.org/entity/Q193727,grid.21107.35,
16,=17,The University of Edinburgh,91.3,99.7,98.3,75.1,89.8,97.3,84.5,/universities/university-edinburgh,United Kingdom,university-edinburgh,http://www.wikidata.org/entity/Q160302,grid.4305.2,
17,=17,University of Toronto,91.3,99.9,95.9,78.8,97.7,86.8,82.2,/universities/university-toronto,Canada,university-toronto,http://www.wikidata.org/entity/Q180865,grid.17063.33,
18,=19,EPFL - Ecole Polytechnique Federale de Lausanne,90.9,87.9,88.3,94.5,100.0,100.0,88.2,/universities/epfl-ecole-polytechnique-federale-de-lausanne,Switzerland,epfl-ecole-polytechnique-federale-de-lausanne,http://www.wikidata.org/entity/Q262760,grid.5333.6,
19,=19,King's College London,90.9,94.6,93.7,89.9,93.9,96.6,79.3,/universities/kings-college-london,United Kingdom,kings-college-london,http://www.wikidata.org/entity/Q245247,grid.13097.3c,
20,21,McGill University,90.6,99.1,95.7,90.2,81.1,90.2,72.2,/universities/mcgill-university,Canada,mcgill-university,http://www.wikidata.org/entity/Q201492,grid.14709.3b,
21,22,University of Michigan,90.5,99.8,95.0,92.7,44.0,45.9,88.7,/universities/university-michigan,United States,university-michigan,http://www.wikidata.org/entity/Q230492,grid.214458.e,
22,23,Duke University,90.1,96.2,85.8,99.9,16.4,44.4,98.4,/universities/duke-university,United States,duke-university,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
23,24,National University of Singapore (NUS),89.4,100.0,99.9,89.1,100.0,96.6,57.3,/universities/national-university-singapore-nus,Singapore,national-university-singapore-nus,http://www.wikidata.org/entity/Q738236,grid.4280.e,
24,25,"University of California, Berkeley (UCB)",89.0,100.0,100.0,52.1,93.9,74.7,98.9,/universities/university-california-berkeley-ucb,United States,university-california-berkeley-ucb,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
