,Rank,Name,score_list,Academic_reputation,Employer_reputation,Faculty_Student,International_Faculty,International_Students,Citations,href,location,QS_World_University_ID,item,GRID_ID,fuzz
0,1,Massachusetts Institute of Technology (MIT),100.0,100.0,100.0,100.0,99.8,95.6,100.0,/universities/massachusetts-institute-technology-mit,United States,massachusetts-institute-technology-mit,http://www.wikidata.org/entity/Q49108,grid.116068.8,
1,=2,University of Cambridge,99.4,100.0,100.0,99.9,95.6,96.5,97.9,/universities/university-cambridge,United Kingdom,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
2,=2,Imperial College London,99.4,99.9,100.0,99.8,100.0,99.7,96.2,/universities/imperial-college-london,United Kingdom,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
3,4,Harvard University,99.3,100.0,100.0,99.7,98.1,83.8,100.0,/universities/harvard-university,United States,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
4,=5,University of Oxford,99.2,100.0,100.0,100.0,98.4,95.0,96.6,/universities/university-oxford,United Kingdom,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
5,=5,UCL (University College London),99.2,99.9,99.4,99.0,96.8,100.0,97.4,/universities/ucl-university-college-london,United Kingdom,ucl-university-college-london,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
6,7,Stanford University,98.3,100.0,100.0,98.5,92.6,74.1,100.0,/universities/stanford-university,United States,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
7,8,California Institute of Technology (Caltech),97.1,99.6,82.3,100.0,90.9,86.0,100.0,/universities/california-institute-technology-caltech,United States,california-institute-technology-caltech,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
8,9,Princeton University,96.6,100.0,97.7,98.4,74.2,66.6,99.5,/universities/princeton-university,United States,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
9,10,Yale University,96.5,100.0,100.0,100.0,93.2,62.7,92.2,/universities/yale-university,United States,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
10,11,University of Chicago,95.5,99.9,96.7,95.3,67.8,66.9,99.2,/universities/university-chicago,United States,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
