,Rank,Name,score_list,Academic_reputation,Employer_reputation,Faculty_Student,International_Faculty,International_Students,Citations,href,location,QS_World_University_ID,item,GRID_ID,fuzz
0,1,Massachusetts Institute of Technology (MIT),100.0,100.0,100.0,99.9,86.4,96.5,99.3,/universities/massachusetts-institute-technology-mit,United States,massachusetts-institute-technology-mit,http://www.wikidata.org/entity/Q49108,grid.116068.8,
1,2,University of Cambridge,99.78,100.0,100.0,98.3,98.2,96.0,97.0,/universities/university-cambridge,United Kingdom,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
2,3,Harvard University,99.15,100.0,100.0,98.6,90.0,78.4,100.0,/universities/harvard-university,United States,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
3,4,UCL (University College London),98.69,99.6,95.6,98.4,96.3,99.9,94.0,/universities/ucl-university-college-london,United Kingdom,ucl-university-college-london,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
4,5,University of Oxford,98.57,100.0,100.0,100.0,98.0,95.8,89.4,/universities/university-oxford,United Kingdom,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
5,6,Imperial College London,98.31,99.8,100.0,99.8,99.8,99.6,87.3,/universities/imperial-college-london,United Kingdom,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
6,7,Yale University,97.48,100.0,100.0,100.0,92.7,63.9,93.3,/universities/yale-university,United States,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
7,8,University of Chicago,96.27,99.9,96.0,95.6,68.9,77.8,96.4,/universities/university-chicago,United States,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
8,9,Princeton University,95.37,100.0,88.5,90.7,85.5,63.5,99.8,/universities/princeton-university,United States,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
9,10,California Institute of Technology (Caltech),95.05,99.0,51.3,100.0,96.0,91.1,100.0,/universities/california-institute-technology-caltech,United States,california-institute-technology-caltech,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
