,Rank,Name,score_list,Academic_reputation,Employer_reputation,Faculty_Student,International_Faculty,International_Students,Citations,href,location,QS_World_University_ID,item,GRID_ID,fuzz
515,501-550,Chonbuk National University,,,,51.0,,,,/universities/chonbuk-national-university,South Korea,chonbuk-national-university,http://www.wikidata.org/entity/Q623851,grid.411545.0,
516,501-550,Czech Technical University in Prague,,,53.9,,,,39.0,/universities/czech-technical-university-prague,Czech Republic,czech-technical-university-prague,http://www.wikidata.org/entity/Q1329478,grid.6652.7,
517,501-550,Drexel University,,,,40.3,27.6,38.1,55.3,/universities/drexel-university,United States,drexel-university,http://www.wikidata.org/entity/Q603034,grid.166341.7,
518,501-550,Instituto Tecnológico de Buenos Aires (ITBA),,,48.2,65.7,,,,/universities/instituto-tecnologico-de-buenos-aires-itba,Argentina,instituto-tecnologico-de-buenos-aires-itba,http://www.wikidata.org/entity/Q3068593,grid.441574.7,
519,501-550,Abai Kazakh National Pedagogical University,,,,86.7,,,,/universities/abai-kazakh-national-pedagogical-university,Kazakhstan,abai-kazakh-national-pedagogical-university,http://www.wikidata.org/entity/Q1734795,grid.443468.9,
520,501-550,Kazan (Volga region) Federal University,,,,74.3,,,,/universities/kazan-volga-region-federal-university,Russia,kazan-volga-region-federal-university,http://www.wikidata.org/entity/Q113788,grid.77268.3c,
521,501-550,King Khalid University,,,,67.6,,100.0,27.1,/universities/king-khalid-university,Saudi Arabia,king-khalid-university,http://www.wikidata.org/entity/Q6411791,grid.412144.6,
522,501-550,"Kingston University, London",,,43.3,,,70.1,97.0,/universities/kingston-university-london,United Kingdom,kingston-university-london,http://www.wikidata.org/entity/Q2503809,grid.15538.3a,
523,501-550,Martin-Luther-Universität Halle-Wittenberg,,,,70.9,,,22.4,/universities/martin-luther-universitat-halle-wittenberg,Germany,martin-luther-universitat-halle-wittenberg,http://www.wikidata.org/entity/Q32120,grid.9018.0,
524,501-550,Michigan Technological University,,,,34.0,41.5,21.5,33.7,/universities/michigan-technological-university,United States,michigan-technological-university,http://www.wikidata.org/entity/Q12432,grid.259979.9,
525,501-550,Missouri University of Science and Technology,,,,,57.3,71.8,39.5,/universities/missouri-university-science-technology,United States,missouri-university-science-technology,http://www.wikidata.org/entity/Q4380853,grid.260128.f,
526,501-550,Murdoch University,,,,,27.8,96.9,42.1,/universities/murdoch-university,Australia,murdoch-university,http://www.wikidata.org/entity/Q1375146,grid.1025.6,
527,501-550,Nagasaki University,,,,85.4,,,,/universities/nagasaki-university,Japan,nagasaki-university,http://www.wikidata.org/entity/Q114892,grid.174567.6,
528,501-550,National Chung Hsing University,,,,,50.2,,,/universities/national-chung-hsing-university,Taiwan,national-chung-hsing-university,http://www.wikidata.org/entity/Q707573,grid.260542.7,
529,501-550,National University of Sciences And Technology (NUST) Islamabad,,,38.1,63.9,,,,/universities/national-university-sciences-technology-nust-islamabad,Pakistan,national-university-sciences-technology-nust-islamabad,http://www.wikidata.org/entity/Q3696003,grid.412117.0,
530,501-550,Okayama University,,,,76.1,,,,/universities/okayama-university,Japan,okayama-university,http://www.wikidata.org/entity/Q1067916,grid.261356.5,
531,501-550,Pontifícia Universidade Católica de São Paulo,,,45.2,55.2,,,,/universities/pontificia-universidade-catolica-de-sao-paulo,Brazil,pontificia-universidade-catolica-de-sao-paulo,http://www.wikidata.org/entity/Q1815994,grid.412529.9,
532,501-550,Sejong University,,,31.3,,23.9,17.5,,/universities/sejong-university,South Korea,sejong-university,http://www.wikidata.org/entity/Q491711,grid.263333.4,
533,501-550,Shandong University,,,,29.0,28.7,,,/universities/shandong-university,China,shandong-university,http://www.wikidata.org/entity/Q604470,grid.27255.37,
534,501-550,Southeast University,,,,31.8,49.4,,,/universities/southeast-university,China,southeast-university,http://www.wikidata.org/entity/Q3551770,grid.263826.b,
535,501-550,Tulane University,,,,63.2,23.0,,25.2,/universities/tulane-university,United States,tulane-university,http://www.wikidata.org/entity/Q1193547,grid.265219.b,
536,501-550,Umm Al-Qura University,,,,57.7,,99.4,22.3,/universities/umm-al-qura-university,Saudi Arabia,umm-al-qura-university,http://www.wikidata.org/entity/Q3133606,grid.412832.e,
537,501-550,Universidad de San Andrés - UdeSA,,,47.7,67.8,,,,/universities/universidad-de-san-andres-udesa,Argentina,universidad-de-san-andres-udesa,http://www.wikidata.org/entity/Q5242548,grid.441741.3,
538,501-550,Universidade Federal de São Paulo,,,,68.7,,,,/universities/universidade-federal-de-sao-paulo,Brazil,universidade-federal-de-sao-paulo,http://www.wikidata.org/entity/Q4384447,grid.411249.b,
539,501-550,University of Bayreuth,,,,27.3,33.0,38.5,,/universities/university-bayreuth,Germany,university-bayreuth,http://www.wikidata.org/entity/Q702482,grid.7384.8,
540,501-550,Universität des Saarlandes,,,,35.5,23.3,46.8,47.8,/universities/universitat-des-saarlandes,Germany,universitat-des-saarlandes,http://www.wikidata.org/entity/Q700758,grid.11749.3a,
541,501-550,Universität Regensburg,,,,28.5,35.1,39.3,,/universities/universitat-regensburg,Germany,universitat-regensburg,http://www.wikidata.org/entity/Q574571,grid.7727.5,
542,501-550,"Université Lille 1, Sciences et Technologies",,,,,25.5,21.8,65.9,/universities/universite-lille-1-sciences-et-technologies,France,universite-lille-1-sciences-et-technologies,,grid.4461.7,103.0
543,501-550,University of Guelph,,,,,40.1,49.1,,/universities/university-guelph,Canada,university-guelph,http://www.wikidata.org/entity/Q795988,grid.34429.38,
544,501-550,University of Kentucky,,,,,45.7,20.2,,/universities/university-kentucky,United States,university-kentucky,http://www.wikidata.org/entity/Q1360303,grid.266539.d,
545,501-550,University of Limerick,,,31.2,,25.0,97.9,24.6,/universities/university-limerick,Ireland,university-limerick,http://www.wikidata.org/entity/Q573954,grid.10049.3c,
546,501-550,University of Macau,,,,,23.0,100.0,96.8,/universities/university-macau,Macao,university-macau,http://www.wikidata.org/entity/Q1563050,grid.437123.0,
547,501-550,University of Manitoba,,,,42.7,24.2,,56.2,/universities/university-manitoba,Canada,university-manitoba,http://www.wikidata.org/entity/Q1191833,grid.21613.37,
548,501-550,University of Mons,,,,,77.2,31.8,52.5,/universities/university-mons,Belgium,university-mons,http://www.wikidata.org/entity/Q1742161,grid.8364.9,
549,501-550,University of Szeged,,,,43.9,,,42.5,/universities/university-szeged,Hungary,university-szeged,http://www.wikidata.org/entity/Q369839,grid.9008.1,
550,501-550,University of Tampere,,,,35.2,,17.4,,/universities/university-tampere,Finland,university-tampere,http://www.wikidata.org/entity/Q1544881,grid.5509.9,
551,551-600,Universidad Nacional de La Plata (UNLP),,40.6,36.5,,,,,/universities/universidad-nacional-de-la-plata-unlp,Argentina,universidad-nacional-de-la-plata-unlp,http://www.wikidata.org/entity/Q784171,grid.9499.d,
552,551-600,Chiang Mai University,,37.4,,,,,,/universities/chiang-mai-university,Thailand,chiang-mai-university,http://www.wikidata.org/entity/Q1071609,grid.7132.7,
553,551-600,Universidade Federal de Minas Gerais      ,,35.4,,,,,,/universities/universidade-federal-de-minas-gerais,,universidade-federal-de-minas-gerais,http://www.wikidata.org/entity/Q132140,grid.8430.f,
554,551-600,Cairo University,,33.9,57.3,,,,,/universities/cairo-university,Egypt,cairo-university,http://www.wikidata.org/entity/Q194445,grid.7776.1,
555,551-600,Universitat de Valencia,,33.2,,,,,,/universities/universitat-de-valencia,Spain,universitat-de-valencia,http://www.wikidata.org/entity/Q383568,grid.5338.d,
556,551-600,University of Pretoria,,31.0,38.4,,,38.3,,/universities/university-pretoria,South Africa,university-pretoria,http://www.wikidata.org/entity/Q604444,grid.49697.35,
557,551-600,University of Turin,,30.5,,,29.6,,,/universities/university-turin,Italy,university-turin,http://www.wikidata.org/entity/Q499911,grid.7605.4,
558,551-600,Universidade de Santiago de Compostela,,29.4,,,23.5,,,/universities/universidade-de-santiago-de-compostela,Spain,universidade-de-santiago-de-compostela,http://www.wikidata.org/entity/Q1473677,grid.11794.3a,
559,551-600,American University in Dubai,,,46.3,,,100.0,100.0,/universities/american-university-dubai,United Arab Emirates,american-university-dubai,http://www.wikidata.org/entity/Q467144,grid.444482.a,
560,551-600,Carleton University,,,,,31.3,29.1,54.7,/universities/carleton-university,Canada,carleton-university,http://www.wikidata.org/entity/Q1041737,grid.34428.39,
561,551-600,Charles Darwin University ,,,,,38.1,66.3,98.1,/universities/charles-darwin-university,,charles-darwin-university,http://www.wikidata.org/entity/Q1064071,grid.1043.6,
562,551-600,Chiba University,,,,48.4,,,,/universities/chiba-university,Japan,chiba-university,http://www.wikidata.org/entity/Q1321803,grid.136304.3,
563,551-600,College of William & Mary,,,,35.0,28.2,,,/universities/college-william-mary,United States,college-william-mary,http://www.wikidata.org/entity/Q875637,grid.264889.9,
564,551-600,East China Normal University,,,,28.0,29.2,,42.2,/universities/east-china-normal-university,China,east-china-normal-university,http://www.wikidata.org/entity/Q2034790,grid.22069.3f,
565,551-600,Far Eastern Federal University,,,,77.2,,,37.7,/universities/far-eastern-federal-university,Russia,far-eastern-federal-university,http://www.wikidata.org/entity/Q702303,grid.440624.0,
566,551-600,Flinders University,,,,,24.9,,55.3,/universities/flinders-university,Australia,flinders-university,http://www.wikidata.org/entity/Q15575,grid.1014.4,
567,551-600,Howard University,,,,71.4,,,,/universities/howard-university,United States,howard-university,http://www.wikidata.org/entity/Q1068752,grid.257127.4,
