rank_group,,rank_group,int_rank,name,region,subregion,country
0501-1000,879,0501-1000,1000,Istanbul University,Asia,Western Asia,Turkey
0501-1000,861,0501-1000,1000,Ferdowsi University of Mashhad,Asia,Southern Asia,Iran
0501-1000,617,0501-1000,800,Baylor University,Americas,Northern America,United States
0501-1000,539,0501-1000,600,ITMO University,Europe,Eastern Europe,Russian Federation
0501-1000,593,0501-1000,600,Tomsk State University,Europe,Eastern Europe,Russian Federation
0501-1000,958,0501-1000,1000,Showa University,Asia,Eastern Asia,Japan
1000+,1034,1000+,1103,Government College University Lahore,Asia,Southern Asia,Pakistan
1000+,1091,1000+,1103,Toyo University,Asia,Eastern Asia,Japan
1000+,1017,1000+,1103,Chiba Institute of Technology,Asia,Eastern Asia,Japan
1000+,1004,1000+,1103,Anadolu University,Asia,Western Asia,Turkey
1000+,1081,1000+,1103,Southwest Jiaotong University,Asia,Eastern Asia,China
1000+,1040,1000+,1103,Ivane Javakhishvili Tbilisi State University,Asia,Western Asia,Georgia
1000+,1084,1000+,1103,State University of Western Paraná (Unioeste),Americas,South America,Brazil
1000+,1006,1000+,1103,Ankara University,Asia,Western Asia,Turkey
1000+,1047,1000+,1103,Kogakuin University,Asia,Eastern Asia,Japan
1000+,1085,1000+,1103,Tamil Nadu Agricultural University,Asia,Southern Asia,India
1000+,1042,1000+,1103,Jawaharlal Nehru Technological University Anantapur (JNTUA),Asia,Southern Asia,India
1000+,1056,1000+,1103,Meijo University,Asia,Eastern Asia,Japan
1000+,1070,1000+,1103,PSG College of Technology,Asia,Southern Asia,India
1000+,1090,1000+,1103,Tottori University,Asia,Eastern Asia,Japan
1000+,1019,1000+,1103,Dokuz Eylül University,Asia,Western Asia,Turkey
