,name,rank_group,int_rank,region,subregion,country
83,Pontifical Catholic University of Paraná,0501-1000,1000,Americas,South America,Brazil
84,Istanbul University,0501-1000,1000,Asia,Western Asia,Turkey
85,Ferdowsi University of Mashhad,0501-1000,1000,Asia,Southern Asia,Iran
86,Baylor University,0501-1000,800,Americas,Northern America,United States
87,ITMO University,0501-1000,600,Europe,Eastern Europe,Russian Federation
88,Tomsk State University,0501-1000,600,Europe,Eastern Europe,Russian Federation
89,Showa University,0501-1000,1000,Asia,Eastern Asia,Japan
714,Monterrey Institute of Technology and Higher Education,0501-1000,800,Americas,Northern America,Mexico
859,Federal University of São Carlos,0501-1000,1000,Americas,South America,Brazil
843,University of Concepción,0501-1000,1000,Americas,South America,Chile
570,Pontifical Javeriana University,0501-1000,600,Americas,South America,Colombia
936,Pontifical Catholic University of Paraná,0501-1000,1000,Americas,South America,Brazil
775,University of Tabriz,0501-1000,800,Asia,Southern Asia,Iran
678,Indian Institute of Technology (Indian School of Mines) Dhanbad,0501-1000,800,Asia,Southern Asia,India
986,VIT University,0501-1000,1000,Asia,Southern Asia,India
269,Indian Institute of Science,0201-500,300,Asia,Southern Asia,India
931,Osmania University,0501-1000,1000,Asia,Southern Asia,India
170,University of Cape Town,0101-200,171,Africa,Southern Africa,South Africa
977,University of Tlemcen,0501-1000,1000,Africa,Northern Africa,Algeria
902,University of Marrakech Cadi Ayyad,0501-1000,1000,Africa,Northern Africa,Morocco
434,University of KwaZulu-Natal,0201-500,500,Africa,Southern Africa,South Africa
827,Cairo University,0501-1000,1000,Africa,Northern Africa,Egypt
